# Baseline 120788, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,219636,0,1.8183594397
0,1,950.0000000000,219542,0,1.8175812167
0,2,950.0000000000,219514,0,1.8173494056
0,3,950.0000000000,219426,0,1.8166208564
0,4,950.0000000000,219501,0,1.8172417790
0,5,950.0000000000,219730,0,1.8191376627
0,6,950.0000000000,219655,0,1.8185167401
0,7,950.0000000000,219478,0,1.8170513627
0,8,950.0000000000,219522,0,1.8174156373
0,9,950.0000000000,219340,0,1.8159088651
0,10,950.0000000000,219781,0,1.8195598901
0,11,950.0000000000,219657,0,1.8185332980
0,12,950.0000000000,219558,0,1.8177136802
0,13,950.0000000000,219649,0,1.8184670663
0,14,950.0000000000,219524,0,1.8174321953
0,15,950.0000000000,219598,0,1.8180448389
0,16,950.0000000000,219490,0,1.8171507103
0,17,950.0000000000,219516,0,1.8173659635
0,18,950.0000000000,219494,0,1.8171838262
0,19,950.0000000000,219477,0,1.8170430838
0,20,950.0000000000,219530,0,1.8174818691
0,21,950.0000000000,219469,0,1.8169768520
0,22,950.0000000000,219399,0,1.8163973242
0,23,950.0000000000,219526,0,1.8174487532
0,24,950.0000000000,219578,0,1.8178792595
0,25,950.0000000000,219584,0,1.8179289333
0,26,950.0000000000,219704,0,1.8189224095
0,27,950.0000000000,219639,0,1.8183842766
0,28,950.0000000000,219588,0,1.8179620492
0,29,950.0000000000,219648,0,1.8184587873
1,0,475.0000000000,195204,0,1.6160876908
2,0,237.5000000000,176021,0,1.4572722456
3,0,118.7500000000,161881,0,1.3402076365
4,0,59.3750000000,155608,0,1.2882736696
5,0,29.6875000000,152458,0,1.2621949200
6,0,14.8437500000,143764,1,1.1902175713
6,1,14.8437500000,143689,1,1.1895966487
6,2,14.8437500000,143766,1,1.1902341292
6,3,14.8437500000,143681,1,1.1895304169
6,4,14.8437500000,143740,1,1.1900188760
6,5,14.8437500000,143661,1,1.1893648376
6,6,14.8437500000,143682,1,1.1895386959
6,7,14.8437500000,143650,1,1.1892737689
6,8,14.8437500000,143728,1,1.1899195284
6,9,14.8437500000,143662,1,1.1893731165
6,10,14.8437500000,143643,1,1.1892158161
6,11,14.8437500000,143750,1,1.1901016657
6,12,14.8437500000,143675,1,1.1894807431
6,13,14.8437500000,143695,1,1.1896463225
6,14,14.8437500000,143619,1,1.1890171209
6,15,14.8437500000,143696,1,1.1896546015
6,16,14.8437500000,143565,1,1.1885700566
6,17,14.8437500000,143710,1,1.1897705070
6,18,14.8437500000,143683,1,1.1895469749
6,19,14.8437500000,143665,1,1.1893979534
6,20,14.8437500000,143743,1,1.1900437130
6,21,14.8437500000,143593,1,1.1888018677
6,22,14.8437500000,143680,1,1.1895221380
6,23,14.8437500000,143626,1,1.1890750737
6,24,14.8437500000,143705,1,1.1897291122
6,25,14.8437500000,143684,1,1.1895552538
6,26,14.8437500000,143667,1,1.1894145114
6,27,14.8437500000,143774,1,1.1903003610
6,28,14.8437500000,143674,1,1.1894724642
6,29,14.8437500000,143581,1,1.1887025201
7,0,22.2656250000,151665,0,1.2556296983
8,0,18.5546875000,149320,0,1.2362155181
9,0,16.6992187500,148278,0,1.2275888333
9,0,16.6992187500,151028,0,1.2503559956
10,0,15.7714843750,149525,0,1.2379127066
11,0,15.3076171875,145576,0,1.2052190615
12,0,15.0756835938,144887,1,1.1995148525
12,1,15.0756835938,145369,0,1.2035053151
13,0,14.9597167969,145326,0,1.2031493195
14,0,14.9017333984,144611,1,1.1972298573
14,1,14.9017333984,145252,0,1.2025366758
