# Baseline 10609, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,34564,0,3.2579885003
0,1,950.0000000000,34694,0,3.2702422471
0,2,950.0000000000,34783,0,3.2786313507
0,3,950.0000000000,34846,0,3.2845697050
0,4,950.0000000000,34737,0,3.2742954096
0,5,950.0000000000,34643,0,3.2654350080
0,6,950.0000000000,34689,0,3.2697709492
0,7,950.0000000000,34787,0,3.2790083891
0,8,950.0000000000,34853,0,3.2852295221
0,9,950.0000000000,34808,0,3.2809878405
0,10,950.0000000000,34612,0,3.2625129607
0,11,950.0000000000,34821,0,3.2822132152
0,12,950.0000000000,34691,0,3.2699594684
0,13,950.0000000000,34679,0,3.2688283533
0,14,950.0000000000,34659,0,3.2669431615
0,15,950.0000000000,34796,0,3.2798567254
0,16,950.0000000000,34890,0,3.2887171270
0,17,950.0000000000,34676,0,3.2685455745
0,18,950.0000000000,34678,0,3.2687340937
0,19,950.0000000000,34794,0,3.2796682062
0,20,950.0000000000,34896,0,3.2892826845
0,21,950.0000000000,34876,0,3.2873974927
0,22,950.0000000000,34697,0,3.2705250259
0,23,950.0000000000,34777,0,3.2780657932
0,24,950.0000000000,34892,0,3.2889056461
0,25,950.0000000000,34725,0,3.2731642945
0,26,950.0000000000,34817,0,3.2818361768
0,27,950.0000000000,34867,0,3.2865491564
0,28,950.0000000000,34587,0,3.2601564709
0,29,950.0000000000,34856,0,3.2855123009
1,0,475.0000000000,28250,0,2.6628334433
2,0,237.5000000000,24282,0,2.2888113866
3,0,118.7500000000,21119,0,1.9906683005
4,0,59.3750000000,19486,0,1.8367423885
5,0,29.6875000000,18620,0,1.7551135828
6,0,14.8437500000,17866,0,1.6840418513
7,0,7.4218750000,13066,0,1.2315958149
8,0,3.7109375000,11757,1,1.1082100104
8,1,3.7109375000,11760,1,1.1084927891
8,2,3.7109375000,11769,1,1.1093411255
8,3,3.7109375000,11818,1,1.1139598454
8,4,3.7109375000,11756,1,1.1081157508
8,5,3.7109375000,11750,1,1.1075501932
8,6,3.7109375000,11761,1,1.1085870487
8,7,3.7109375000,11756,1,1.1081157508
8,8,3.7109375000,11761,1,1.1085870487
8,9,3.7109375000,11862,1,1.1181072674
8,10,3.7109375000,11761,1,1.1085870487
8,11,3.7109375000,11751,1,1.1076444528
8,12,3.7109375000,11760,1,1.1084927891
8,13,3.7109375000,11884,1,1.1201809784
8,14,3.7109375000,11749,1,1.1074559336
8,15,3.7109375000,11759,1,1.1083985296
8,16,3.7109375000,11770,1,1.1094353851
8,17,3.7109375000,11756,1,1.1081157508
8,18,3.7109375000,11755,1,1.1080214912
8,19,3.7109375000,11768,1,1.1092468659
8,20,3.7109375000,11763,1,1.1087755679
8,21,3.7109375000,11764,1,1.1088698275
8,22,3.7109375000,11764,1,1.1088698275
8,23,3.7109375000,11771,1,1.1095296446
8,24,3.7109375000,11746,1,1.1071731549
8,25,3.7109375000,11846,1,1.1165991140
8,26,3.7109375000,11839,1,1.1159392968
8,27,3.7109375000,11763,1,1.1087755679
8,28,3.7109375000,11764,1,1.1088698275
8,29,3.7109375000,11755,1,1.1080214912
9,0,5.5664062500,12415,1,1.1702328212
9,1,5.5664062500,12404,1,1.1691959657
9,2,5.5664062500,12407,1,1.1694787445
9,3,5.5664062500,12398,1,1.1686304081
9,4,5.5664062500,12402,1,1.1690074465
9,5,5.5664062500,12388,1,1.1676878122
9,6,5.5664062500,12419,1,1.1706098596
9,7,5.5664062500,12483,1,1.1766424734
9,8,5.5664062500,12402,1,1.1690074465
9,9,5.5664062500,12417,1,1.1704213404
9,10,5.5664062500,12382,1,1.1671222547
9,11,5.5664062500,12412,1,1.1699500424
9,12,5.5664062500,12430,1,1.1716467151
9,13,5.5664062500,12412,1,1.1699500424
9,14,5.5664062500,12544,1,1.1823923084
9,15,5.5664062500,12479,1,1.1762654350
9,16,5.5664062500,12398,1,1.1686304081
9,17,5.5664062500,12406,1,1.1693844849
9,18,5.5664062500,12414,1,1.1701385616
9,19,5.5664062500,12382,1,1.1671222547
9,20,5.5664062500,12407,1,1.1694787445
9,21,5.5664062500,12394,1,1.1682533698
9,22,5.5664062500,12405,1,1.1692902253
9,23,5.5664062500,12400,1,1.1688189273
9,24,5.5664062500,12397,1,1.1685361486
9,25,5.5664062500,12408,1,1.1695730041
9,26,5.5664062500,12391,1,1.1679705910
9,27,5.5664062500,12419,1,1.1706098596
9,28,5.5664062500,12408,1,1.1695730041
9,29,5.5664062500,12412,1,1.1699500424
10,0,6.4941406250,12879,0,1.2139692714
11,0,6.0302734375,12383,1,1.1672165143
11,1,6.0302734375,12555,1,1.1834291639
11,2,6.0302734375,12386,1,1.1674992931
11,3,6.0302734375,12506,1,1.1788104440
11,4,6.0302734375,12382,1,1.1671222547
11,5,6.0302734375,12440,1,1.1725893110
11,6,6.0302734375,12410,1,1.1697615232
11,7,6.0302734375,12397,1,1.1685361486
11,8,6.0302734375,12405,1,1.1692902253
11,9,6.0302734375,12401,1,1.1689131869
11,10,6.0302734375,12388,1,1.1676878122
11,11,6.0302734375,12392,1,1.1680648506
11,12,6.0302734375,12381,1,1.1670279951
11,13,6.0302734375,13965,0,1.3163351871
12,0,5.7983398438,13945,0,1.3144499953
13,0,5.6823730469,13933,0,1.3133188802
14,0,5.6243896484,13990,0,1.3186916769
