# Baseline 10565.3, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,37955,1,1.1747778766
1,452.5000000000,9.5000000000,7.5000000000,25482,0,3.5924204708
2,228.7500000000,7.2500000000,6.2500000000,17517,0,2.4118576851
3,116.8750000000,6.1250000000,5.6250000000,15015,0,1.6579746907
4,60.9375000000,5.5625000000,5.3125000000,13339,0,1.4211617275
5,32.9687500000,5.2812500000,5.1562500000,12938,0,1.2625292230
6,18.9843750000,5.1406250000,5.0781250000,12632,0,1.2245747873
7,25.9765625000,5.2109375000,5.1171875000,12753,1,1.1956120508
8,15.4882812500,5.1054687500,5.0585937500,12411,0,1.2070646361
9,20.7324218750,5.1582031250,5.0878906250,12768,1,1.1746945188
