# Baseline 421849, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,735562,0,1.7436618316
0,1,950.0000000000,735962,0,1.7446100382
0,2,950.0000000000,736189,0,1.7451481454
0,3,950.0000000000,735950,0,1.7445815920
0,4,950.0000000000,735871,0,1.7443943212
0,5,950.0000000000,735852,0,1.7443492814
0,6,950.0000000000,735789,0,1.7441999388
0,7,950.0000000000,735720,0,1.7440363732
0,8,950.0000000000,735979,0,1.7446503370
0,9,950.0000000000,735978,0,1.7446479665
0,10,950.0000000000,740683,0,1.7558012464
0,11,950.0000000000,740626,0,1.7556661270
0,12,950.0000000000,740699,0,1.7558391747
0,13,950.0000000000,740695,0,1.7558296926
0,14,950.0000000000,740706,0,1.7558557683
0,15,950.0000000000,740722,0,1.7558936966
0,16,950.0000000000,740394,0,1.7551161672
0,17,950.0000000000,740446,0,1.7552394340
0,18,950.0000000000,740807,0,1.7560951905
0,19,950.0000000000,740373,0,1.7550663863
0,20,950.0000000000,740416,0,1.7551683185
0,21,950.0000000000,740410,0,1.7551540954
0,22,950.0000000000,740703,0,1.7558486567
0,23,950.0000000000,740586,0,1.7555713063
0,24,950.0000000000,740197,0,1.7546491754
0,25,950.0000000000,740665,0,1.7557585771
0,26,950.0000000000,740496,0,1.7553579598
0,27,950.0000000000,740934,0,1.7563962461
0,28,950.0000000000,740451,0,1.7552512866
0,29,950.0000000000,740609,0,1.7556258282
1,0,475.0000000000,658715,0,1.5614947529
2,0,237.5000000000,584262,0,1.3850026905
3,0,118.7500000000,549719,0,1.3031179403
4,0,59.3750000000,532698,0,1.2627693796
5,0,29.6875000000,525763,0,1.2463298479
6,0,14.8437500000,493425,1,1.1696720865
6,1,14.8437500000,498994,1,1.1828734926
6,2,14.8437500000,499164,1,1.1832764804
6,3,14.8437500000,500882,1,1.1873490277
6,4,14.8437500000,496793,1,1.1776559859
6,5,14.8437500000,498886,1,1.1826174769
6,6,14.8437500000,498877,1,1.1825961422
6,7,14.8437500000,498831,1,1.1824870985
6,8,14.8437500000,500441,1,1.1863036300
6,9,14.8437500000,494672,1,1.1726281205
6,10,14.8437500000,495357,1,1.1742519243
6,11,14.8437500000,499442,1,1.1839354840
6,12,14.8437500000,500476,1,1.1863865980
6,13,14.8437500000,493722,1,1.1703761298
6,14,14.8437500000,500136,1,1.1855806225
6,15,14.8437500000,497096,1,1.1783742524
6,16,14.8437500000,496666,1,1.1773549303
6,17,14.8437500000,500521,1,1.1864932713
6,18,14.8437500000,498793,1,1.1823970188
6,19,14.8437500000,498352,1,1.1813516211
6,20,14.8437500000,496313,1,1.1765181380
6,21,14.8437500000,494611,1,1.1724835190
6,22,14.8437500000,498585,1,1.1819039514
6,23,14.8437500000,498321,1,1.1812781351
6,24,14.8437500000,494313,1,1.1717771051
6,25,14.8437500000,494064,1,1.1711868465
6,26,14.8437500000,499782,1,1.1847414596
6,27,14.8437500000,494803,1,1.1729386581
6,28,14.8437500000,498920,1,1.1826980744
6,29,14.8437500000,499894,1,1.1850069575
7,0,22.2656250000,522509,0,1.2386161873
8,0,18.5546875000,513278,0,1.2167339498
9,0,16.6992187500,511541,0,1.2126163627
10,0,15.7714843750,502075,1,1.1901770539
10,1,15.7714843750,503386,1,1.1932848010
10,2,15.7714843750,501766,1,1.1894445643
10,3,15.7714843750,503611,1,1.1938181672
10,4,15.7714843750,504709,1,1.1964209942
10,5,15.7714843750,502712,1,1.1916870729
10,6,15.7714843750,502839,1,1.1919881285
10,7,15.7714843750,503200,1,1.1928438849
10,8,15.7714843750,502522,1,1.1912366747
10,9,15.7714843750,503983,1,1.1946999993
10,10,15.7714843750,503471,1,1.1934862949
10,11,15.7714843750,500726,1,1.1869792272
10,12,15.7714843750,503775,1,1.1942069319
10,13,15.7714843750,504039,1,1.1948327482
10,14,15.7714843750,503891,1,1.1944819118
10,15,15.7714843750,502368,1,1.1908716152
10,16,15.7714843750,501798,1,1.1895204208
10,17,15.7714843750,504835,1,1.1967196793
10,18,15.7714843750,501836,1,1.1896105004
10,19,15.7714843750,502878,1,1.1920805786
10,20,15.7714843750,503854,1,1.1943942027
10,21,15.7714843750,502705,1,1.1916704792
10,22,15.7714843750,502121,1,1.1902860976
10,23,15.7714843750,504894,1,1.1968595398
10,24,15.7714843750,504084,1,1.1949394215
10,25,15.7714843750,504063,1,1.1948896406
10,26,15.7714843750,502269,1,1.1906369341
10,27,15.7714843750,501913,1,1.1897930302
10,28,15.7714843750,502687,1,1.1916278100
10,29,15.7714843750,501505,1,1.1888258595
