# Baseline 39494, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,118584,0,3.0025826708
0,1,950.0000000000,118552,0,3.0017724211
0,2,950.0000000000,118866,0,3.0097229959
0,3,950.0000000000,118785,0,3.0076720515
0,4,950.0000000000,118797,0,3.0079758951
0,5,950.0000000000,119057,0,3.0145591735
0,6,950.0000000000,118755,0,3.0069124424
0,7,950.0000000000,118631,0,3.0037727250
0,8,950.0000000000,118784,0,3.0076467311
0,9,950.0000000000,118503,0,3.0005317263
0,10,950.0000000000,118910,0,3.0108370892
0,11,950.0000000000,119006,0,3.0132678382
0,12,950.0000000000,118710,0,3.0057730288
0,13,950.0000000000,118799,0,3.0080265357
0,14,950.0000000000,118863,0,3.0096470350
0,15,950.0000000000,118367,0,2.9970881653
0,16,950.0000000000,118563,0,3.0020509444
0,17,950.0000000000,118843,0,3.0091406290
0,18,950.0000000000,118794,0,3.0078999342
0,19,950.0000000000,118450,0,2.9991897503
0,20,950.0000000000,118519,0,3.0009368512
0,21,950.0000000000,118958,0,3.0120524637
0,22,950.0000000000,119058,0,3.0145844938
0,23,950.0000000000,118943,0,3.0116726591
0,24,950.0000000000,118622,0,3.0035448423
0,25,950.0000000000,118467,0,2.9996201955
0,26,950.0000000000,118700,0,3.0055198258
0,27,950.0000000000,118852,0,3.0093685117
0,28,950.0000000000,118587,0,3.0026586317
0,29,950.0000000000,118437,0,2.9988605864
1,0,475.0000000000,105891,0,2.6811920798
2,0,237.5000000000,80818,0,2.0463361523
3,0,118.7500000000,69722,0,1.7653820834
4,0,59.3750000000,66626,0,1.6869904289
5,0,29.6875000000,64837,0,1.6416924090
6,0,14.8437500000,54538,0,1.3809186205
7,0,7.4218750000,44616,1,1.1296905859
7,1,7.4218750000,44604,1,1.1293867423
7,2,7.4218750000,44726,1,1.1324758191
7,3,7.4218750000,44600,1,1.1292854611
7,4,7.4218750000,44682,1,1.1313617258
7,5,7.4218750000,44811,1,1.1346280448
7,6,7.4218750000,44652,1,1.1306021168
7,7,7.4218750000,44546,1,1.1279181648
7,8,7.4218750000,44694,1,1.1316655695
