# Baseline 39452.9, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,126194,0,1.2084843781
1,452.5000000000,9.5000000000,7.5000000000,89816,0,3.1985988356
2,228.7500000000,7.2500000000,6.2500000000,63299,0,2.2765373395
3,116.8750000000,6.1250000000,5.6250000000,52267,0,1.6044194470
4,60.9375000000,5.5625000000,5.3125000000,47877,0,1.3247948820
5,32.9687500000,5.2812500000,5.1562500000,46184,0,1.2135229603
6,46.9531250000,5.4218750000,5.2343750000,47011,1,1.1706110324
7,39.9609375000,5.3515625000,5.1953125000,46596,1,1.1915727361
8,43.4570312500,5.3867187500,5.2148437500,46769,1,1.1810538642
9,41.7089843750,5.3691406250,5.2050781250,46666,1,1.1854388397
