# Baseline 108, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,359,0,3.3240740741
0,1,950.0000000000,325,0,3.0092592593
0,2,950.0000000000,348,0,3.2222222222
0,3,950.0000000000,336,0,3.1111111111
0,4,950.0000000000,358,0,3.3148148148
0,5,950.0000000000,340,0,3.1481481481
0,6,950.0000000000,344,0,3.1851851852
0,7,950.0000000000,349,0,3.2314814815
0,8,950.0000000000,349,0,3.2314814815
0,9,950.0000000000,335,0,3.1018518519
0,10,950.0000000000,350,0,3.2407407407
0,11,950.0000000000,327,0,3.0277777778
0,12,950.0000000000,330,0,3.0555555556
0,13,950.0000000000,353,0,3.2685185185
0,14,950.0000000000,338,0,3.1296296296
0,15,950.0000000000,340,0,3.1481481481
0,16,950.0000000000,337,0,3.1203703704
0,17,950.0000000000,310,0,2.8703703704
0,18,950.0000000000,346,0,3.2037037037
0,19,950.0000000000,349,0,3.2314814815
0,20,950.0000000000,340,0,3.1481481481
0,21,950.0000000000,349,0,3.2314814815
0,22,950.0000000000,344,0,3.1851851852
0,23,950.0000000000,340,0,3.1481481481
0,24,950.0000000000,333,0,3.0833333333
0,25,950.0000000000,352,0,3.2592592593
0,26,950.0000000000,333,0,3.0833333333
0,27,950.0000000000,343,0,3.1759259259
0,28,950.0000000000,330,0,3.0555555556
0,29,950.0000000000,332,0,3.0740740741
1,0,475.0000000000,250,0,2.3148148148
2,0,237.5000000000,309,0,2.8611111111
3,0,118.7500000000,148,0,1.3703703704
4,0,59.3750000000,174,0,1.6111111111
5,0,29.6875000000,154,0,1.4259259259
6,0,14.8437500000,147,0,1.3611111111
7,0,7.4218750000,122,1,1.1296296296
7,1,7.4218750000,123,1,1.1388888889
7,2,7.4218750000,121,1,1.1203703704
7,3,7.4218750000,125,1,1.1574074074
7,4,7.4218750000,123,1,1.1388888889
7,5,7.4218750000,124,1,1.1481481481
7,6,7.4218750000,125,1,1.1574074074
7,7,7.4218750000,123,1,1.1388888889
7,8,7.4218750000,122,1,1.1296296296
7,9,7.4218750000,124,1,1.1481481481
7,10,7.4218750000,124,1,1.1481481481
7,11,7.4218750000,126,1,1.1666666667
7,12,7.4218750000,123,1,1.1388888889
7,13,7.4218750000,124,1,1.1481481481
7,14,7.4218750000,127,1,1.1759259259
7,15,7.4218750000,125,1,1.1574074074
7,16,7.4218750000,124,1,1.1481481481
7,17,7.4218750000,126,1,1.1666666667
7,18,7.4218750000,122,1,1.1296296296
7,19,7.4218750000,125,1,1.1574074074
7,20,7.4218750000,123,1,1.1388888889
7,21,7.4218750000,127,1,1.1759259259
7,22,7.4218750000,124,1,1.1481481481
7,23,7.4218750000,124,1,1.1481481481
7,24,7.4218750000,122,1,1.1296296296
7,25,7.4218750000,123,1,1.1388888889
7,26,7.4218750000,123,1,1.1388888889
7,27,7.4218750000,123,1,1.1388888889
7,28,7.4218750000,127,1,1.1759259259
7,29,7.4218750000,124,1,1.1481481481
8,0,11.1328125000,159,0,1.4722222222
9,0,9.2773437500,125,1,1.1574074074
9,1,9.2773437500,124,1,1.1481481481
9,2,9.2773437500,123,1,1.1388888889
9,3,9.2773437500,124,1,1.1481481481
9,4,9.2773437500,125,1,1.1574074074
9,5,9.2773437500,130,0,1.2037037037
10,0,8.3496093750,129,1,1.1944444444
10,1,8.3496093750,126,1,1.1666666667
10,2,8.3496093750,129,1,1.1944444444
10,3,8.3496093750,127,1,1.1759259259
10,4,8.3496093750,127,1,1.1759259259
10,5,8.3496093750,128,1,1.1851851852
10,6,8.3496093750,130,0,1.2037037037
11,0,7.8857421875,122,1,1.1296296296
11,1,7.8857421875,123,1,1.1388888889
11,2,7.8857421875,119,1,1.1018518519
11,3,7.8857421875,121,1,1.1203703704
11,4,7.8857421875,121,1,1.1203703704
11,5,7.8857421875,122,1,1.1296296296
11,6,7.8857421875,118,1,1.0925925926
11,7,7.8857421875,119,1,1.1018518519
11,8,7.8857421875,119,1,1.1018518519
11,9,7.8857421875,122,1,1.1296296296
11,10,7.8857421875,120,1,1.1111111111
11,11,7.8857421875,120,1,1.1111111111
11,12,7.8857421875,120,1,1.1111111111
11,13,7.8857421875,119,1,1.1018518519
11,14,7.8857421875,122,1,1.1296296296
11,15,7.8857421875,121,1,1.1203703704
11,16,7.8857421875,123,1,1.1388888889
11,17,7.8857421875,123,1,1.1388888889
11,18,7.8857421875,123,1,1.1388888889
11,19,7.8857421875,120,1,1.1111111111
11,20,7.8857421875,118,1,1.0925925926
11,21,7.8857421875,121,1,1.1203703704
11,22,7.8857421875,121,1,1.1203703704
11,23,7.8857421875,122,1,1.1296296296
11,24,7.8857421875,121,1,1.1203703704
11,25,7.8857421875,121,1,1.1203703704
11,26,7.8857421875,121,1,1.1203703704
11,27,7.8857421875,124,1,1.1481481481
11,28,7.8857421875,120,1,1.1111111111
11,29,7.8857421875,120,1,1.1111111111
12,0,8.1176757812,128,1,1.1851851852
12,1,8.1176757812,126,1,1.1666666667
12,2,8.1176757812,133,0,1.2314814815
13,0,8.0017089844,134,0,1.2407407407
14,0,7.9437255859,129,1,1.1944444444
14,1,7.9437255859,130,0,1.2037037037
