# Baseline 107.1, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,366,1,1.1828281318
1,452.5000000000,9.5000000000,7.5000000000,288,0,3.4173669468
2,228.7500000000,7.2500000000,6.2500000000,123,0,2.6890756303
3,340.6250000000,8.3750000000,6.8750000000,182,1,1.1484593838
4,172.8125000000,6.6875000000,5.9375000000,150,0,1.6993464052
5,88.9062500000,5.8437500000,5.4687500000,143,0,1.4005602241
6,46.9531250000,5.4218750000,5.2343750000,117,0,1.3352007470
7,67.9296875000,5.6328125000,5.3515625000,134,1,1.0924369748
8,36.4648437500,5.3164062500,5.1757812500,126,0,1.2511671335
9,52.1972656250,5.4746093750,5.2636718750,117,1,1.1764705882
