# Baseline 1110, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1999,0,1.8009009009
0,1,950.0000000000,1980,0,1.7837837838
0,2,950.0000000000,1994,0,1.7963963964
0,3,950.0000000000,1974,0,1.7783783784
0,4,950.0000000000,1992,0,1.7945945946
0,5,950.0000000000,1989,0,1.7918918919
0,6,950.0000000000,1998,0,1.8000000000
0,7,950.0000000000,1985,0,1.7882882883
0,8,950.0000000000,1982,0,1.7855855856
0,9,950.0000000000,1971,0,1.7756756757
0,10,950.0000000000,1992,0,1.7945945946
0,11,950.0000000000,1990,0,1.7927927928
0,12,950.0000000000,1990,0,1.7927927928
0,13,950.0000000000,1977,0,1.7810810811
0,14,950.0000000000,1985,0,1.7882882883
0,15,950.0000000000,1972,0,1.7765765766
0,16,950.0000000000,1992,0,1.7945945946
0,17,950.0000000000,1989,0,1.7918918919
0,18,950.0000000000,1972,0,1.7765765766
0,19,950.0000000000,1979,0,1.7828828829
0,20,950.0000000000,2006,0,1.8072072072
0,21,950.0000000000,1977,0,1.7810810811
0,22,950.0000000000,1975,0,1.7792792793
0,23,950.0000000000,1989,0,1.7918918919
0,24,950.0000000000,2005,0,1.8063063063
0,25,950.0000000000,1978,0,1.7819819820
0,26,950.0000000000,1969,0,1.7738738739
0,27,950.0000000000,1965,0,1.7702702703
0,28,950.0000000000,1983,0,1.7864864865
0,29,950.0000000000,1973,0,1.7774774775
1,0,475.0000000000,1856,0,1.6720720721
2,0,237.5000000000,1632,0,1.4702702703
3,0,118.7500000000,1543,0,1.3900900901
4,0,59.3750000000,1451,0,1.3072072072
5,0,29.6875000000,1411,0,1.2711711712
6,0,14.8437500000,1291,1,1.1630630631
6,1,14.8437500000,1378,0,1.2414414414
7,0,7.4218750000,1192,1,1.0738738739
7,1,7.4218750000,1189,1,1.0711711712
7,2,7.4218750000,1198,1,1.0792792793
7,3,7.4218750000,1194,1,1.0756756757
7,4,7.4218750000,1194,1,1.0756756757
7,5,7.4218750000,1196,1,1.0774774775
7,6,7.4218750000,1195,1,1.0765765766
7,7,7.4218750000,1199,1,1.0801801802
7,8,7.4218750000,1215,1,1.0945945946
7,9,7.4218750000,1215,1,1.0945945946
7,10,7.4218750000,1218,1,1.0972972973
7,11,7.4218750000,1217,1,1.0963963964
7,12,7.4218750000,1214,1,1.0936936937
7,13,7.4218750000,1218,1,1.0972972973
7,14,7.4218750000,1217,1,1.0963963964
7,15,7.4218750000,1219,1,1.0981981982
7,16,7.4218750000,1213,1,1.0927927928
7,17,7.4218750000,1217,1,1.0963963964
7,18,7.4218750000,1216,1,1.0954954955
7,19,7.4218750000,1213,1,1.0927927928
7,20,7.4218750000,1216,1,1.0954954955
7,21,7.4218750000,1217,1,1.0963963964
7,22,7.4218750000,1213,1,1.0927927928
7,23,7.4218750000,1217,1,1.0963963964
7,24,7.4218750000,1220,1,1.0990990991
7,25,7.4218750000,1217,1,1.0963963964
7,26,7.4218750000,1211,1,1.0909909910
7,27,7.4218750000,1214,1,1.0936936937
7,28,7.4218750000,1218,1,1.0972972973
7,29,7.4218750000,1217,1,1.0963963964
8,0,11.1328125000,1302,1,1.1729729730
8,1,11.1328125000,1337,0,1.2045045045
9,0,9.2773437500,1250,1,1.1261261261
9,1,9.2773437500,1232,1,1.1099099099
9,2,9.2773437500,1255,1,1.1306306306
9,3,9.2773437500,1251,1,1.1270270270
9,4,9.2773437500,1245,1,1.1216216216
9,5,9.2773437500,1237,1,1.1144144144
9,6,9.2773437500,1243,1,1.1198198198
9,7,9.2773437500,1251,1,1.1270270270
9,8,9.2773437500,1253,1,1.1288288288
9,9,9.2773437500,1243,1,1.1198198198
9,10,9.2773437500,1236,1,1.1135135135
9,11,9.2773437500,1239,1,1.1162162162
9,12,9.2773437500,1237,1,1.1144144144
9,13,9.2773437500,1240,1,1.1171171171
9,14,9.2773437500,1237,1,1.1144144144
9,15,9.2773437500,1249,1,1.1252252252
9,16,9.2773437500,1238,1,1.1153153153
9,17,9.2773437500,1240,1,1.1171171171
9,18,9.2773437500,1238,1,1.1153153153
9,19,9.2773437500,1252,1,1.1279279279
9,20,9.2773437500,1235,1,1.1126126126
9,21,9.2773437500,1237,1,1.1144144144
9,22,9.2773437500,1237,1,1.1144144144
9,23,9.2773437500,1249,1,1.1252252252
9,24,9.2773437500,1235,1,1.1126126126
9,25,9.2773437500,1237,1,1.1144144144
9,26,9.2773437500,1254,1,1.1297297297
9,27,9.2773437500,1238,1,1.1153153153
9,28,9.2773437500,1243,1,1.1198198198
9,29,9.2773437500,1251,1,1.1270270270
10,0,10.2050781250,1424,0,1.2828828829
11,0,9.7412109375,1237,1,1.1144144144
11,1,9.7412109375,1238,1,1.1153153153
11,2,9.7412109375,1248,1,1.1243243243
11,3,9.7412109375,1250,1,1.1261261261
11,4,9.7412109375,1240,1,1.1171171171
11,5,9.7412109375,1232,1,1.1099099099
11,6,9.7412109375,1246,1,1.1225225225
11,7,9.7412109375,1251,1,1.1270270270
11,8,9.7412109375,1228,1,1.1063063063
11,9,9.7412109375,1239,1,1.1162162162
11,10,9.7412109375,1224,1,1.1027027027
11,11,9.7412109375,1224,1,1.1027027027
11,12,9.7412109375,1246,1,1.1225225225
11,13,9.7412109375,1250,1,1.1261261261
11,14,9.7412109375,1238,1,1.1153153153
11,15,9.7412109375,1251,1,1.1270270270
11,16,9.7412109375,1246,1,1.1225225225
11,17,9.7412109375,1246,1,1.1225225225
