# Baseline 93, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,289,0,3.1075268817
0,1,950.0000000000,296,0,3.1827956989
0,2,950.0000000000,278,0,2.9892473118
0,3,950.0000000000,300,0,3.2258064516
0,4,950.0000000000,298,0,3.2043010753
0,5,950.0000000000,284,0,3.0537634409
0,6,950.0000000000,288,0,3.0967741935
0,7,950.0000000000,294,0,3.1612903226
0,8,950.0000000000,279,0,3.0000000000
0,9,950.0000000000,292,0,3.1397849462
0,10,950.0000000000,289,0,3.1075268817
0,11,950.0000000000,290,0,3.1182795699
0,12,950.0000000000,293,0,3.1505376344
0,13,950.0000000000,287,0,3.0860215054
0,14,950.0000000000,284,0,3.0537634409
0,15,950.0000000000,290,0,3.1182795699
0,16,950.0000000000,259,0,2.7849462366
0,17,950.0000000000,280,0,3.0107526882
0,18,950.0000000000,289,0,3.1075268817
0,19,950.0000000000,289,0,3.1075268817
0,20,950.0000000000,278,0,2.9892473118
0,21,950.0000000000,270,0,2.9032258065
0,22,950.0000000000,288,0,3.0967741935
0,23,950.0000000000,284,0,3.0537634409
0,24,950.0000000000,279,0,3.0000000000
0,25,950.0000000000,270,0,2.9032258065
0,26,950.0000000000,286,0,3.0752688172
0,27,950.0000000000,292,0,3.1397849462
0,28,950.0000000000,274,0,2.9462365591
0,29,950.0000000000,274,0,2.9462365591
1,0,475.0000000000,253,0,2.7204301075
2,0,237.5000000000,175,0,1.8817204301
3,0,118.7500000000,218,0,2.3440860215
4,0,59.3750000000,180,0,1.9354838710
5,0,29.6875000000,184,0,1.9784946237
6,0,14.8437500000,122,0,1.3118279570
7,0,7.4218750000,109,1,1.1720430108
7,1,7.4218750000,109,1,1.1720430108
7,2,7.4218750000,113,0,1.2150537634
8,0,3.7109375000,101,1,1.0860215054
8,1,3.7109375000,102,1,1.0967741935
8,2,3.7109375000,100,1,1.0752688172
8,3,3.7109375000,101,1,1.0860215054
8,4,3.7109375000,102,1,1.0967741935
8,5,3.7109375000,101,1,1.0860215054
8,6,3.7109375000,102,1,1.0967741935
8,7,3.7109375000,100,1,1.0752688172
8,8,3.7109375000,100,1,1.0752688172
8,9,3.7109375000,100,1,1.0752688172
8,10,3.7109375000,101,1,1.0860215054
8,11,3.7109375000,100,1,1.0752688172
8,12,3.7109375000,103,1,1.1075268817
8,13,3.7109375000,101,1,1.0860215054
8,14,3.7109375000,100,1,1.0752688172
8,15,3.7109375000,100,1,1.0752688172
8,16,3.7109375000,101,1,1.0860215054
8,17,3.7109375000,102,1,1.0967741935
8,18,3.7109375000,100,1,1.0752688172
8,19,3.7109375000,101,1,1.0860215054
8,20,3.7109375000,101,1,1.0860215054
8,21,3.7109375000,100,1,1.0752688172
8,22,3.7109375000,100,1,1.0752688172
8,23,3.7109375000,101,1,1.0860215054
8,24,3.7109375000,101,1,1.0860215054
8,25,3.7109375000,102,1,1.0967741935
8,26,3.7109375000,100,1,1.0752688172
8,27,3.7109375000,102,1,1.0967741935
8,28,3.7109375000,100,1,1.0752688172
