# Baseline 92.1, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,313,1,1.0924369748
1,452.5000000000,9.5000000000,7.5000000000,192,0,3.3984799131
2,228.7500000000,7.2500000000,6.2500000000,142,0,2.0846905537
3,116.8750000000,6.1250000000,5.6250000000,183,0,1.5418023887
4,60.9375000000,5.5625000000,5.3125000000,107,0,1.9869706840
5,88.9062500000,5.8437500000,5.4687500000,116,1,1.1617806732
6,46.9531250000,5.4218750000,5.2343750000,124,0,1.2595005429
7,25.9765625000,5.2109375000,5.1171875000,114,0,1.3463626493
8,15.4882812500,5.1054687500,5.0585937500,109,0,1.2377850163
9,20.7324218750,5.1582031250,5.0878906250,104,1,1.1834961998
