# Baseline 38872, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,137666,0,3.5415208891
0,1,950.0000000000,137935,0,3.5484410373
0,2,950.0000000000,137264,0,3.5311792550
0,3,950.0000000000,137676,0,3.5417781437
0,4,950.0000000000,137641,0,3.5408777526
0,5,950.0000000000,137952,0,3.5488783700
0,6,950.0000000000,137474,0,3.5365816012
0,7,950.0000000000,137470,0,3.5364786993
0,8,950.0000000000,137643,0,3.5409292035
0,9,950.0000000000,137436,0,3.5356040338
0,10,950.0000000000,137808,0,3.5451739041
0,11,950.0000000000,137519,0,3.5377392468
0,12,950.0000000000,137586,0,3.5394628524
0,13,950.0000000000,137910,0,3.5477979008
0,14,950.0000000000,137544,0,3.5383823832
0,15,950.0000000000,137579,0,3.5392827742
0,16,950.0000000000,137911,0,3.5478236263
0,17,950.0000000000,137661,0,3.5413922618
0,18,950.0000000000,137966,0,3.5492385264
0,19,950.0000000000,137706,0,3.5425499074
0,20,950.0000000000,137917,0,3.5479779790
0,21,950.0000000000,137808,0,3.5451739041
0,22,950.0000000000,137623,0,3.5404146944
0,23,950.0000000000,137610,0,3.5400802634
0,24,950.0000000000,137863,0,3.5465888043
0,25,950.0000000000,137363,0,3.5337260753
0,26,950.0000000000,137900,0,3.5475406462
0,27,950.0000000000,137755,0,3.5438104548
0,28,950.0000000000,137390,0,3.5344206627
0,29,950.0000000000,137618,0,3.5402860671
1,0,475.0000000000,115967,0,2.9833041778
2,0,237.5000000000,86022,0,2.2129553406
3,0,118.7500000000,73347,0,1.8868851616
4,0,59.3750000000,70236,0,1.8068532620
5,0,29.6875000000,65550,0,1.6863037662
6,0,14.8437500000,58730,0,1.5108561432
7,0,7.4218750000,45909,1,1.1810300473
7,1,7.4218750000,45886,1,1.1804383618
7,2,7.4218750000,45874,1,1.1801296563
7,3,7.4218750000,45863,1,1.1798466763
7,4,7.4218750000,45892,1,1.1805927146
7,5,7.4218750000,45866,1,1.1799238526
7,6,7.4218750000,46009,1,1.1836025931
7,7,7.4218750000,45963,1,1.1824192221
7,8,7.4218750000,46008,1,1.1835768677
7,9,7.4218750000,46012,1,1.1836797695
7,10,7.4218750000,45827,1,1.1789205598
7,11,7.4218750000,45921,1,1.1813387528
7,12,7.4218750000,45895,1,1.1806698909
7,13,7.4218750000,46007,1,1.1835511422
7,14,7.4218750000,45889,1,1.1805155382
7,15,7.4218750000,45978,1,1.1828051039
7,16,7.4218750000,45959,1,1.1823163202
7,17,7.4218750000,45834,1,1.1791006380
7,18,7.4218750000,45949,1,1.1820590657
7,19,7.4218750000,46043,1,1.1844772587
7,20,7.4218750000,45869,1,1.1800010290
7,21,7.4218750000,45902,1,1.1808499691
7,22,7.4218750000,45842,1,1.1793064417
7,23,7.4218750000,45900,1,1.1807985182
7,24,7.4218750000,46160,1,1.1874871373
7,25,7.4218750000,45982,1,1.1829080058
7,26,7.4218750000,45844,1,1.1793578926
7,27,7.4218750000,45877,1,1.1802068327
7,28,7.4218750000,45856,1,1.1796665981
7,29,7.4218750000,46017,1,1.1838083968
8,0,11.1328125000,48906,0,1.2581292447
9,0,9.2773437500,55136,0,1.4183988475
10,0,8.3496093750,47795,0,1.2295482610
11,0,7.8857421875,47229,0,1.2149876518
12,0,7.6538085938,47178,0,1.2136756534
13,0,7.5378417969,47761,0,1.2286735954
14,0,7.4798583984,47629,0,1.2252778349
