# Baseline 38843.666666666664, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,144376,1,1.1292073833
1,452.5000000000,9.5000000000,7.5000000000,105505,0,3.7168478774
2,228.7500000000,7.2500000000,6.2500000000,63793,0,2.7161442020
3,116.8750000000,6.1250000000,5.6250000000,53050,0,1.6423011902
4,60.9375000000,5.5625000000,5.3125000000,48405,0,1.3657310072
5,32.9687500000,5.2812500000,5.1562500000,46792,0,1.2461490934
6,18.9843750000,5.1406250000,5.0781250000,45781,0,1.2046236624
7,25.9765625000,5.2109375000,5.1171875000,46204,1,1.1785962534
8,22.4804687500,5.1757812500,5.0976562500,46115,1,1.1894860595
9,24.2285156250,5.1933593750,5.1074218750,46179,1,1.1871948237
