# Baseline 4019, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,7700,0,1.9158994775
0,1,950.0000000000,7684,0,1.9119183877
0,2,950.0000000000,7672,0,1.9089325703
0,3,950.0000000000,7695,0,1.9146553869
0,4,950.0000000000,7668,0,1.9079372978
0,5,950.0000000000,7710,0,1.9183876586
0,6,950.0000000000,7695,0,1.9146553869
0,7,950.0000000000,7694,0,1.9144065688
0,8,950.0000000000,7732,0,1.9238616571
0,9,950.0000000000,7699,0,1.9156506594
0,10,950.0000000000,7734,0,1.9243592934
0,11,950.0000000000,7639,0,1.9007215725
0,12,950.0000000000,7666,0,1.9074396616
0,13,950.0000000000,7710,0,1.9183876586
0,14,950.0000000000,7675,0,1.9096790246
0,15,950.0000000000,7717,0,1.9201293854
0,16,950.0000000000,7652,0,1.9039562080
0,17,950.0000000000,7674,0,1.9094302065
0,18,950.0000000000,7653,0,1.9042050261
0,19,950.0000000000,7704,0,1.9168947499
0,20,950.0000000000,7695,0,1.9146553869
0,21,950.0000000000,7735,0,1.9246081115
0,22,950.0000000000,7666,0,1.9074396616
0,23,950.0000000000,7698,0,1.9154018413
0,24,950.0000000000,7727,0,1.9226175666
0,25,950.0000000000,7676,0,1.9099278427
0,26,950.0000000000,7696,0,1.9149042050
0,27,950.0000000000,7690,0,1.9134112963
0,28,950.0000000000,7699,0,1.9156506594
0,29,950.0000000000,7709,0,1.9181388405
1,0,475.0000000000,7072,0,1.7596417019
2,0,237.5000000000,6083,0,1.5135605872
3,0,118.7500000000,5648,0,1.4053247076
4,0,59.3750000000,5374,0,1.3371485444
5,0,29.6875000000,5239,0,1.3035580990
6,0,14.8437500000,5302,0,1.3192336402
7,0,7.4218750000,4453,1,1.1079870615
7,1,7.4218750000,4443,1,1.1054988803
7,2,7.4218750000,4459,1,1.1094799701
7,3,7.4218750000,4458,1,1.1092311520
7,4,7.4218750000,4453,1,1.1079870615
7,5,7.4218750000,4453,1,1.1079870615
7,6,7.4218750000,4453,1,1.1079870615
7,7,7.4218750000,4456,1,1.1087335158
7,8,7.4218750000,4416,1,1.0987807912
7,9,7.4218750000,4421,1,1.1000248818
7,10,7.4218750000,4419,1,1.0995272456
7,11,7.4218750000,4421,1,1.1000248818
7,12,7.4218750000,4422,1,1.1002736999
7,13,7.4218750000,4429,1,1.1020154267
7,14,7.4218750000,4423,1,1.1005225180
7,15,7.4218750000,4425,1,1.1010201543
7,16,7.4218750000,4423,1,1.1005225180
7,17,7.4218750000,4421,1,1.1000248818
7,18,7.4218750000,4411,1,1.0975367007
7,19,7.4218750000,4418,1,1.0992784275
7,20,7.4218750000,4420,1,1.0997760637
7,21,7.4218750000,4425,1,1.1010201543
7,22,7.4218750000,4426,1,1.1012689724
7,23,7.4218750000,4420,1,1.0997760637
7,24,7.4218750000,4417,1,1.0990296094
7,25,7.4218750000,4423,1,1.1005225180
7,26,7.4218750000,4425,1,1.1010201543
7,27,7.4218750000,4422,1,1.1002736999
7,28,7.4218750000,4424,1,1.1007713362
7,29,7.4218750000,4422,1,1.1002736999
8,0,11.1328125000,5073,0,1.2622542921
9,0,9.2773437500,4856,0,1.2082607614
10,0,8.3496093750,4668,1,1.1614829560
10,1,8.3496093750,4683,1,1.1652152277
10,2,8.3496093750,4677,1,1.1637223190
10,3,8.3496093750,4631,1,1.1522766857
10,4,8.3496093750,4637,1,1.1537695944
10,5,8.3496093750,4641,1,1.1547648669
10,6,8.3496093750,4631,1,1.1522766857
10,7,8.3496093750,4623,1,1.1502861408
10,8,8.3496093750,4678,1,1.1639711371
10,9,8.3496093750,4632,1,1.1525255039
10,10,8.3496093750,4630,1,1.1520278676
10,11,8.3496093750,4681,1,1.1647175914
10,12,8.3496093750,4635,1,1.1532719582
10,13,8.3496093750,4635,1,1.1532719582
10,14,8.3496093750,4667,1,1.1612341378
10,15,8.3496093750,4672,1,1.1624782284
10,16,8.3496093750,4672,1,1.1624782284
10,17,8.3496093750,4688,1,1.1664593182
10,18,8.3496093750,4663,1,1.1602388654
10,19,8.3496093750,4632,1,1.1525255039
10,20,8.3496093750,4686,1,1.1659616820
10,21,8.3496093750,4676,1,1.1634735009
10,22,8.3496093750,4674,1,1.1629758646
10,23,8.3496093750,4683,1,1.1652152277
10,24,8.3496093750,4672,1,1.1624782284
10,25,8.3496093750,4679,1,1.1642199552
10,26,8.3496093750,4674,1,1.1629758646
10,27,8.3496093750,4655,1,1.1582483205
10,28,8.3496093750,4681,1,1.1647175914
10,29,8.3496093750,4662,1,1.1599900473
11,0,8.8134765625,4539,1,1.1293854193
11,1,8.8134765625,4544,1,1.1306295098
11,2,8.8134765625,4548,1,1.1316247823
11,3,8.8134765625,4509,1,1.1219208758
11,4,8.8134765625,4537,1,1.1288877830
11,5,8.8134765625,4511,1,1.1224185121
11,6,8.8134765625,4476,1,1.1137098781
11,7,8.8134765625,4516,1,1.1236626026
11,8,8.8134765625,4515,1,1.1234137845
11,9,8.8134765625,4521,1,1.1249066932
11,10,8.8134765625,4522,1,1.1251555113
11,11,8.8134765625,4542,1,1.1301318736
11,12,8.8134765625,4509,1,1.1219208758
11,13,8.8134765625,4507,1,1.1214232396
11,14,8.8134765625,4516,1,1.1236626026
11,15,8.8134765625,4516,1,1.1236626026
11,16,8.8134765625,4515,1,1.1234137845
11,17,8.8134765625,4473,1,1.1129634237
11,18,8.8134765625,4481,1,1.1149539686
11,19,8.8134765625,4520,1,1.1246578751
11,20,8.8134765625,4514,1,1.1231649664
11,21,8.8134765625,4517,1,1.1239114208
11,22,8.8134765625,4519,1,1.1244090570
11,23,8.8134765625,4482,1,1.1152027868
11,24,8.8134765625,4515,1,1.1234137845
11,25,8.8134765625,4471,1,1.1124657875
11,26,8.8134765625,4474,1,1.1132122419
11,27,8.8134765625,4472,1,1.1127146056
11,28,8.8134765625,4522,1,1.1251555113
11,29,8.8134765625,4486,1,1.1161980592
12,0,9.0454101562,4568,1,1.1366011446
12,1,9.0454101562,4581,1,1.1398357800
12,2,9.0454101562,4570,1,1.1370987808
12,3,9.0454101562,4635,1,1.1532719582
12,4,9.0454101562,4635,1,1.1532719582
12,5,9.0454101562,4557,1,1.1338641453
12,6,9.0454101562,4627,1,1.1512814133
12,7,9.0454101562,4547,1,1.1313759642
12,8,9.0454101562,4588,1,1.1415775068
12,9,9.0454101562,4580,1,1.1395869619
12,10,9.0454101562,4549,1,1.1318736004
12,11,9.0454101562,4637,1,1.1537695944
12,12,9.0454101562,4637,1,1.1537695944
12,13,9.0454101562,4634,1,1.1530231401
12,14,9.0454101562,4631,1,1.1522766857
12,15,9.0454101562,4576,1,1.1385916895
12,16,9.0454101562,4544,1,1.1306295098
12,17,9.0454101562,4634,1,1.1530231401
12,18,9.0454101562,4573,1,1.1378452351
12,19,9.0454101562,4633,1,1.1527743220
12,20,9.0454101562,4630,1,1.1520278676
12,21,9.0454101562,4581,1,1.1398357800
12,22,9.0454101562,4574,1,1.1380940532
12,23,9.0454101562,4547,1,1.1313759642
12,24,9.0454101562,4549,1,1.1318736004
12,25,9.0454101562,4633,1,1.1527743220
12,26,9.0454101562,4587,1,1.1413286887
