# Baseline 225, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,659,0,2.9288888889
0,1,950.0000000000,655,0,2.9111111111
0,2,950.0000000000,630,0,2.8000000000
0,3,950.0000000000,633,0,2.8133333333
0,4,950.0000000000,628,0,2.7911111111
0,5,950.0000000000,635,0,2.8222222222
0,6,950.0000000000,624,0,2.7733333333
0,7,950.0000000000,646,0,2.8711111111
0,8,950.0000000000,607,0,2.6977777778
0,9,950.0000000000,636,0,2.8266666667
0,10,950.0000000000,649,0,2.8844444444
0,11,950.0000000000,626,0,2.7822222222
0,12,950.0000000000,656,0,2.9155555556
0,13,950.0000000000,632,0,2.8088888889
0,14,950.0000000000,648,0,2.8800000000
0,15,950.0000000000,639,0,2.8400000000
0,16,950.0000000000,643,0,2.8577777778
0,17,950.0000000000,651,0,2.8933333333
0,18,950.0000000000,628,0,2.7911111111
0,19,950.0000000000,617,0,2.7422222222
0,20,950.0000000000,626,0,2.7822222222
0,21,950.0000000000,634,0,2.8177777778
0,22,950.0000000000,628,0,2.7911111111
0,23,950.0000000000,625,0,2.7777777778
0,24,950.0000000000,660,0,2.9333333333
0,25,950.0000000000,627,0,2.7866666667
0,26,950.0000000000,624,0,2.7733333333
0,27,950.0000000000,629,0,2.7955555556
0,28,950.0000000000,639,0,2.8400000000
0,29,950.0000000000,647,0,2.8755555556
1,0,475.0000000000,553,0,2.4577777778
2,0,237.5000000000,514,0,2.2844444444
3,0,118.7500000000,436,0,1.9377777778
4,0,59.3750000000,377,0,1.6755555556
5,0,29.6875000000,366,0,1.6266666667
6,0,14.8437500000,280,0,1.2444444444
7,0,7.4218750000,249,1,1.1066666667
7,1,7.4218750000,251,1,1.1155555556
7,2,7.4218750000,254,1,1.1288888889
7,3,7.4218750000,251,1,1.1155555556
7,4,7.4218750000,249,1,1.1066666667
7,5,7.4218750000,249,1,1.1066666667
7,6,7.4218750000,248,1,1.1022222222
7,7,7.4218750000,248,1,1.1022222222
7,8,7.4218750000,249,1,1.1066666667
7,9,7.4218750000,250,1,1.1111111111
7,10,7.4218750000,251,1,1.1155555556
7,11,7.4218750000,249,1,1.1066666667
7,12,7.4218750000,255,1,1.1333333333
7,13,7.4218750000,251,1,1.1155555556
7,14,7.4218750000,253,1,1.1244444444
7,15,7.4218750000,255,1,1.1333333333
7,16,7.4218750000,249,1,1.1066666667
7,17,7.4218750000,253,1,1.1244444444
7,18,7.4218750000,252,1,1.1200000000
7,19,7.4218750000,252,1,1.1200000000
7,20,7.4218750000,251,1,1.1155555556
7,21,7.4218750000,249,1,1.1066666667
7,22,7.4218750000,253,1,1.1244444444
7,23,7.4218750000,248,1,1.1022222222
7,24,7.4218750000,248,1,1.1022222222
7,25,7.4218750000,253,1,1.1244444444
7,26,7.4218750000,251,1,1.1155555556
7,27,7.4218750000,251,1,1.1155555556
7,28,7.4218750000,249,1,1.1066666667
7,29,7.4218750000,250,1,1.1111111111
8,0,11.1328125000,257,1,1.1422222222
8,1,11.1328125000,259,1,1.1511111111
8,2,11.1328125000,251,1,1.1155555556
8,3,11.1328125000,252,1,1.1200000000
8,4,11.1328125000,261,1,1.1600000000
8,5,11.1328125000,298,0,1.3244444444
9,0,9.2773437500,263,1,1.1688888889
9,1,9.2773437500,265,1,1.1777777778
9,2,9.2773437500,259,1,1.1511111111
9,3,9.2773437500,257,1,1.1422222222
9,4,9.2773437500,258,1,1.1466666667
9,5,9.2773437500,267,1,1.1866666667
9,6,9.2773437500,260,1,1.1555555556
9,7,9.2773437500,259,1,1.1511111111
9,8,9.2773437500,265,1,1.1777777778
9,9,9.2773437500,266,1,1.1822222222
9,10,9.2773437500,265,1,1.1777777778
9,11,9.2773437500,267,1,1.1866666667
9,12,9.2773437500,266,1,1.1822222222
9,13,9.2773437500,269,1,1.1955555556
9,14,9.2773437500,265,1,1.1777777778
9,15,9.2773437500,261,1,1.1600000000
9,16,9.2773437500,258,1,1.1466666667
9,17,9.2773437500,264,1,1.1733333333
9,18,9.2773437500,262,1,1.1644444444
9,19,9.2773437500,261,1,1.1600000000
9,20,9.2773437500,264,1,1.1733333333
9,21,9.2773437500,267,1,1.1866666667
9,22,9.2773437500,261,1,1.1600000000
9,23,9.2773437500,266,1,1.1822222222
9,24,9.2773437500,260,1,1.1555555556
9,25,9.2773437500,265,1,1.1777777778
9,26,9.2773437500,262,1,1.1644444444
9,27,9.2773437500,260,1,1.1555555556
9,28,9.2773437500,263,1,1.1688888889
9,29,9.2773437500,258,1,1.1466666667
10,0,10.2050781250,273,0,1.2133333333
11,0,9.7412109375,262,1,1.1644444444
11,1,9.7412109375,271,0,1.2044444444
12,0,9.5092773438,262,1,1.1644444444
12,1,9.5092773438,262,1,1.1644444444
12,2,9.5092773438,262,1,1.1644444444
12,3,9.5092773438,268,1,1.1911111111
12,4,9.5092773438,264,1,1.1733333333
12,5,9.5092773438,258,1,1.1466666667
12,6,9.5092773438,262,1,1.1644444444
12,7,9.5092773438,263,1,1.1688888889
12,8,9.5092773438,260,1,1.1555555556
12,9,9.5092773438,263,1,1.1688888889
12,10,9.5092773438,268,1,1.1911111111
12,11,9.5092773438,257,1,1.1422222222
12,12,9.5092773438,259,1,1.1511111111
12,13,9.5092773438,262,1,1.1644444444
12,14,9.5092773438,261,1,1.1600000000
12,15,9.5092773438,268,1,1.1911111111
12,16,9.5092773438,266,1,1.1822222222
12,17,9.5092773438,261,1,1.1600000000
12,18,9.5092773438,263,1,1.1688888889
12,19,9.5092773438,259,1,1.1511111111
12,20,9.5092773438,264,1,1.1733333333
12,21,9.5092773438,263,1,1.1688888889
12,22,9.5092773438,278,0,1.2355555556
13,0,9.3933105469,261,1,1.1600000000
13,1,9.3933105469,260,1,1.1555555556
13,2,9.3933105469,264,1,1.1733333333
13,3,9.3933105469,264,1,1.1733333333
13,4,9.3933105469,266,1,1.1822222222
13,5,9.3933105469,257,1,1.1422222222
13,6,9.3933105469,260,1,1.1555555556
13,7,9.3933105469,264,1,1.1733333333
13,8,9.3933105469,266,1,1.1822222222
13,9,9.3933105469,264,1,1.1733333333
13,10,9.3933105469,265,1,1.1777777778
13,11,9.3933105469,265,1,1.1777777778
13,12,9.3933105469,264,1,1.1733333333
13,13,9.3933105469,261,1,1.1600000000
13,14,9.3933105469,259,1,1.1511111111
13,15,9.3933105469,259,1,1.1511111111
13,16,9.3933105469,261,1,1.1600000000
13,17,9.3933105469,265,1,1.1777777778
13,18,9.3933105469,260,1,1.1555555556
13,19,9.3933105469,261,1,1.1600000000
13,20,9.3933105469,258,1,1.1466666667
13,21,9.3933105469,259,1,1.1511111111
13,22,9.3933105469,265,1,1.1777777778
13,23,9.3933105469,260,1,1.1555555556
13,24,9.3933105469,260,1,1.1555555556
13,25,9.3933105469,263,1,1.1688888889
13,26,9.3933105469,262,1,1.1644444444
13,27,9.3933105469,265,1,1.1777777778
13,28,9.3933105469,263,1,1.1688888889
13,29,9.3933105469,275,0,1.2222222222
14,0,9.3353271484,262,1,1.1644444444
14,1,9.3353271484,267,1,1.1866666667
14,2,9.3353271484,262,1,1.1644444444
14,3,9.3353271484,263,1,1.1688888889
14,4,9.3353271484,267,1,1.1866666667
14,5,9.3353271484,265,1,1.1777777778
14,6,9.3353271484,264,1,1.1733333333
14,7,9.3353271484,259,1,1.1511111111
14,8,9.3353271484,259,1,1.1511111111
14,9,9.3353271484,258,1,1.1466666667
14,10,9.3353271484,262,1,1.1644444444
14,11,9.3353271484,262,1,1.1644444444
14,12,9.3353271484,259,1,1.1511111111
14,13,9.3353271484,263,1,1.1688888889
14,14,9.3353271484,259,1,1.1511111111
14,15,9.3353271484,266,1,1.1822222222
14,16,9.3353271484,267,1,1.1866666667
14,17,9.3353271484,262,1,1.1644444444
14,18,9.3353271484,261,1,1.1600000000
14,19,9.3353271484,262,1,1.1644444444
14,20,9.3353271484,260,1,1.1555555556
14,21,9.3353271484,260,1,1.1555555556
14,22,9.3353271484,264,1,1.1733333333
14,23,9.3353271484,262,1,1.1644444444
14,24,9.3353271484,262,1,1.1644444444
14,25,9.3353271484,266,1,1.1822222222
14,26,9.3353271484,260,1,1.1555555556
14,27,9.3353271484,263,1,1.1688888889
14,28,9.3353271484,271,0,1.2044444444
