# Baseline 221.06666666666666, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,659,1,1.1888424539
1,452.5000000000,9.5000000000,7.5000000000,555,0,2.9810012063
2,228.7500000000,7.2500000000,6.2500000000,390,0,2.5105548854
3,116.8750000000,6.1250000000,5.6250000000,339,0,1.7641737033
4,60.9375000000,5.5625000000,5.3125000000,290,0,1.5334740651
5,32.9687500000,5.2812500000,5.1562500000,244,0,1.3118214717
6,46.9531250000,5.4218750000,5.2343750000,275,1,1.1037394451
7,25.9765625000,5.2109375000,5.1171875000,242,0,1.2439686369
8,36.4648437500,5.3164062500,5.1757812500,259,1,1.0946924005
9,31.2207031250,5.2636718750,5.1464843750,254,1,1.1715922799
