# Baseline 442894, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,798577,0,1.8030883236
0,1,950.0000000000,798966,0,1.8039666376
0,2,950.0000000000,798498,0,1.8029099514
0,3,950.0000000000,799245,0,1.8045965852
0,4,950.0000000000,798491,0,1.8028941462
0,5,950.0000000000,798792,0,1.8035737671
0,6,950.0000000000,801669,0,1.8100696781
0,7,950.0000000000,801666,0,1.8100629044
0,8,950.0000000000,801614,0,1.8099454949
0,9,950.0000000000,801253,0,1.8091304014
0,10,950.0000000000,801650,0,1.8100267784
0,11,950.0000000000,801831,0,1.8104354541
0,12,950.0000000000,801677,0,1.8100877411
0,13,950.0000000000,801646,0,1.8100177469
0,14,950.0000000000,801544,0,1.8097874435
0,15,950.0000000000,801740,0,1.8102299873
0,16,950.0000000000,801056,0,1.8086855997
0,17,950.0000000000,801671,0,1.8100741938
0,18,950.0000000000,801560,0,1.8098235695
0,19,950.0000000000,801490,0,1.8096655182
0,20,950.0000000000,801593,0,1.8098980795
0,21,950.0000000000,801912,0,1.8106183421
0,22,950.0000000000,802030,0,1.8108847715
0,23,950.0000000000,801614,0,1.8099454949
0,24,950.0000000000,801644,0,1.8100132312
0,25,950.0000000000,801725,0,1.8101961192
0,26,950.0000000000,801876,0,1.8105370585
0,27,950.0000000000,801256,0,1.8091371750
0,28,950.0000000000,801715,0,1.8101735404
0,29,950.0000000000,801956,0,1.8107176887
1,0,475.0000000000,711940,0,1.6074726684
2,0,237.5000000000,634062,0,1.4316337544
3,0,118.7500000000,593352,0,1.3397155979
3,0,118.7500000000,588921,0,1.3297109466
4,0,59.3750000000,568169,0,1.2828554914
5,0,29.6875000000,557082,0,1.2578224135
6,0,14.8437500000,529889,1,1.1964239750
6,1,14.8437500000,529122,1,1.1946921837
6,2,14.8437500000,530362,1,1.1974919507
6,3,14.8437500000,529738,1,1.1960830357
6,4,14.8437500000,529483,1,1.1955072771
6,5,14.8437500000,531941,0,1.2010571378
