# Baseline 36169, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,126831,0,3.5066216926
0,1,950.0000000000,127027,0,3.5120406978
0,2,950.0000000000,126915,0,3.5089441234
0,3,950.0000000000,127298,0,3.5195333020
0,4,950.0000000000,127016,0,3.5117365700
0,5,950.0000000000,127010,0,3.5115706821
0,6,950.0000000000,127173,0,3.5160773038
0,7,950.0000000000,127054,0,3.5127871935
0,8,950.0000000000,127119,0,3.5145843125
0,9,950.0000000000,127281,0,3.5190632862
0,10,950.0000000000,126973,0,3.5105477066
0,11,950.0000000000,127203,0,3.5169067433
0,12,950.0000000000,127130,0,3.5148884404
0,13,950.0000000000,127013,0,3.5116536260
0,14,950.0000000000,126975,0,3.5106030026
0,15,950.0000000000,127123,0,3.5146949045
0,16,950.0000000000,127244,0,3.5180403108
0,17,950.0000000000,127272,0,3.5188144544
0,18,950.0000000000,126999,0,3.5112665542
0,19,950.0000000000,126919,0,3.5090547154
0,20,950.0000000000,126765,0,3.5047969255
0,21,950.0000000000,127063,0,3.5130360253
0,22,950.0000000000,127307,0,3.5197821339
0,23,950.0000000000,127190,0,3.5165473195
0,24,950.0000000000,127026,0,3.5120130498
0,25,950.0000000000,126646,0,3.5015068152
0,26,950.0000000000,127172,0,3.5160496558
0,27,950.0000000000,126906,0,3.5086952915
0,28,950.0000000000,126851,0,3.5071746523
0,29,950.0000000000,126806,0,3.5059304930
1,0,475.0000000000,108009,0,2.9862313030
2,0,237.5000000000,80536,0,2.2266581880
3,0,118.7500000000,69057,0,1.9092869584
4,0,59.3750000000,64854,0,1.7930824739
5,0,29.6875000000,62193,0,1.7195111836
6,0,14.8437500000,59141,0,1.6351295308
7,0,7.4218750000,43990,0,1.2162348973
8,0,3.7109375000,40489,1,1.1194392988
8,1,3.7109375000,40504,1,1.1198540186
8,2,3.7109375000,40525,1,1.1204346263
8,3,3.7109375000,40482,1,1.1192457629
8,4,3.7109375000,40645,1,1.1237523846
8,5,3.7109375000,40483,1,1.1192734109
8,6,3.7109375000,40503,1,1.1198263706
8,7,3.7109375000,40485,1,1.1193287069
8,8,3.7109375000,40551,1,1.1211534740
8,9,3.7109375000,40509,1,1.1199922586
8,10,3.7109375000,40508,1,1.1199646106
8,11,3.7109375000,40519,1,1.1202687384
8,12,3.7109375000,40502,1,1.1197987227
8,13,3.7109375000,40499,1,1.1197157787
8,14,3.7109375000,40506,1,1.1199093146
8,15,3.7109375000,40518,1,1.1202410904
