# Baseline 36119.6, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,134085,1,1.1489746683
1,452.5000000000,9.5000000000,7.5000000000,93028,0,3.7122504125
2,228.7500000000,7.2500000000,6.2500000000,63723,0,2.5755545466
3,116.8750000000,6.1250000000,5.6250000000,50856,0,1.7642221952
4,60.9375000000,5.5625000000,5.3125000000,46501,0,1.4079890143
5,32.9687500000,5.2812500000,5.1562500000,44930,0,1.2874173579
6,18.9843750000,5.1406250000,5.0781250000,43980,0,1.2439229670
7,11.9921875000,5.0703125000,5.0390625000,43726,0,1.2176214576
8,8.4960937500,5.0351562500,5.0195312500,43530,0,1.2105892646
9,6.7480468750,5.0175781250,5.0097656250,43483,0,1.2051628479
