# Baseline 14751, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,40558,0,2.7495085079
0,1,950.0000000000,40395,0,2.7384584096
0,2,950.0000000000,40318,0,2.7332384245
0,3,950.0000000000,40542,0,2.7484238357
0,4,950.0000000000,40481,0,2.7442885228
0,5,950.0000000000,40169,0,2.7231374144
0,6,950.0000000000,40189,0,2.7244932547
0,7,950.0000000000,40586,0,2.7514066843
0,8,950.0000000000,40408,0,2.7393397058
0,9,950.0000000000,40486,0,2.7446274829
0,10,950.0000000000,40408,0,2.7393397058
0,11,950.0000000000,40384,0,2.7377126974
0,12,950.0000000000,40230,0,2.7272727273
0,13,950.0000000000,40329,0,2.7339841367
0,14,950.0000000000,40095,0,2.7181208054
0,15,950.0000000000,40413,0,2.7396786659
0,16,950.0000000000,40441,0,2.7415768422
0,17,950.0000000000,40365,0,2.7364246492
0,18,950.0000000000,40390,0,2.7381194495
0,19,950.0000000000,40453,0,2.7423903464
0,20,950.0000000000,40478,0,2.7440851468
0,21,950.0000000000,40539,0,2.7482204596
0,22,950.0000000000,40358,0,2.7359501051
0,23,950.0000000000,40520,0,2.7469324114
0,24,950.0000000000,40531,0,2.7476781235
0,25,950.0000000000,40481,0,2.7442885228
0,26,950.0000000000,40472,0,2.7436783947
0,27,950.0000000000,40463,0,2.7430682666
0,28,950.0000000000,40235,0,2.7276116873
0,29,950.0000000000,40461,0,2.7429326825
1,0,475.0000000000,35691,0,2.4195647753
2,0,237.5000000000,27331,0,1.8528235374
3,0,118.7500000000,24753,0,1.6780557250
4,0,59.3750000000,22501,0,1.5253881093
5,0,29.6875000000,22004,0,1.4916954783
6,0,14.8437500000,19581,0,1.3274354281
7,0,7.4218750000,17298,1,1.1726662599
7,1,7.4218750000,17297,1,1.1725984679
7,2,7.4218750000,17294,1,1.1723950919
7,3,7.4218750000,17385,1,1.1785641651
7,4,7.4218750000,17313,1,1.1736831401
7,5,7.4218750000,17437,1,1.1820893499
7,6,7.4218750000,17266,1,1.1704969155
7,7,7.4218750000,17297,1,1.1725984679
7,8,7.4218750000,17301,1,1.1728696360
7,9,7.4218750000,17293,1,1.1723272998
7,10,7.4218750000,17281,1,1.1715137957
7,11,7.4218750000,17303,1,1.1730052200
7,12,7.4218750000,17275,1,1.1711070436
7,13,7.4218750000,17264,1,1.1703613314
7,14,7.4218750000,17281,1,1.1715137957
7,15,7.4218750000,17315,1,1.1738187242
7,16,7.4218750000,17283,1,1.1716493797
7,17,7.4218750000,17287,1,1.1719205478
7,18,7.4218750000,17399,1,1.1795132533
7,19,7.4218750000,17277,1,1.1712426276
7,20,7.4218750000,17348,1,1.1760558606
7,21,7.4218750000,17280,1,1.1714460037
7,22,7.4218750000,17316,1,1.1738865162
7,23,7.4218750000,17339,1,1.1754457325
7,24,7.4218750000,17281,1,1.1715137957
7,25,7.4218750000,17277,1,1.1712426276
7,26,7.4218750000,17408,1,1.1801233815
7,27,7.4218750000,17272,1,1.1709036675
7,28,7.4218750000,17298,1,1.1726662599
7,29,7.4218750000,17306,1,1.1732085960
8,0,11.1328125000,17517,1,1.1875127110
8,1,11.1328125000,17520,1,1.1877160870
8,2,11.1328125000,17418,1,1.1808013016
8,3,11.1328125000,17350,1,1.1761914446
8,4,11.1328125000,17318,1,1.1740221002
8,5,11.1328125000,17431,1,1.1816825978
8,6,11.1328125000,17276,1,1.1711748356
8,7,11.1328125000,17523,1,1.1879194631
8,8,11.1328125000,17383,1,1.1784285811
8,9,11.1328125000,17405,1,1.1799200054
8,10,11.1328125000,17339,1,1.1754457325
8,11,11.1328125000,17373,1,1.1777506610
8,12,11.1328125000,17429,1,1.1815470138
8,13,11.1328125000,17286,1,1.1718527557
8,14,11.1328125000,17651,1,1.1965968409
8,15,11.1328125000,17370,1,1.1775472849
8,16,11.1328125000,17309,1,1.1734119721
8,17,11.1328125000,17270,1,1.1707680835
8,18,11.1328125000,17377,1,1.1780218290
8,19,11.1328125000,17323,1,1.1743610603
8,20,11.1328125000,17446,1,1.1826994780
8,21,11.1328125000,17351,1,1.1762592367
8,22,11.1328125000,17372,1,1.1776828690
8,23,11.1328125000,17387,1,1.1786997492
8,24,11.1328125000,17352,1,1.1763270287
8,25,11.1328125000,17330,1,1.1748356044
8,26,11.1328125000,17535,1,1.1887329673
8,27,11.1328125000,17334,1,1.1751067724
8,28,11.1328125000,17524,1,1.1879872551
8,29,11.1328125000,17295,1,1.1724628839
9,0,12.9882812500,18777,0,1.2729306488
10,0,12.0605468750,20266,0,1.3738729578
11,0,11.5966796875,18436,0,1.2498135720
12,0,11.3647460938,17708,0,1.2004609857
13,0,11.2487792969,17670,1,1.1978848892
13,1,11.2487792969,17678,1,1.1984272253
13,2,11.2487792969,17637,1,1.1956477527
13,3,11.2487792969,17671,1,1.1979526812
13,4,11.2487792969,17660,1,1.1972069690
13,5,11.2487792969,17725,0,1.2016134499
14,0,11.1907958984,17695,1,1.1995796895
14,1,11.1907958984,17661,1,1.1972747610
14,2,11.1907958984,17679,1,1.1984950173
14,3,11.1907958984,17651,1,1.1965968409
14,4,11.1907958984,17673,1,1.1980882652
14,5,11.1907958984,17647,1,1.1963256728
14,6,11.1907958984,17650,1,1.1965290489
14,7,11.1907958984,17685,1,1.1989017694
14,8,11.1907958984,17646,1,1.1962578808
14,9,11.1907958984,17632,1,1.1953087926
14,10,11.1907958984,17782,0,1.2054775947
