# Baseline 14719.466666666667, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,42003,0,1.2038616153
1,452.5000000000,9.5000000000,7.5000000000,30254,0,2.8535680641
2,228.7500000000,7.2500000000,6.2500000000,21062,0,2.0553733831
3,116.8750000000,6.1250000000,5.6250000000,18458,0,1.4308942353
4,60.9375000000,5.5625000000,5.3125000000,17020,0,1.2539856517
5,88.9062500000,5.8437500000,5.4687500000,17488,1,1.1562918946
6,74.9218750000,5.7031250000,5.3906250000,17299,1,1.1880865249
7,81.9140625000,5.7734375000,5.4296875000,17394,1,1.1752463857
8,78.4179687500,5.7382812500,5.4101562500,17402,1,1.1817004239
9,80.1660156250,5.7558593750,5.4199218750,17474,1,1.1822439219
