# Baseline 246, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,798,0,3.2439024390
0,1,950.0000000000,813,0,3.3048780488
0,2,950.0000000000,817,0,3.3211382114
0,3,950.0000000000,780,0,3.1707317073
0,4,950.0000000000,777,0,3.1585365854
0,5,950.0000000000,764,0,3.1056910569
0,6,950.0000000000,790,0,3.2113821138
0,7,950.0000000000,782,0,3.1788617886
0,8,950.0000000000,806,0,3.2764227642
0,9,950.0000000000,824,0,3.3495934959
0,10,950.0000000000,792,0,3.2195121951
0,11,950.0000000000,843,0,3.4268292683
0,12,950.0000000000,763,0,3.1016260163
0,13,950.0000000000,777,0,3.1585365854
0,14,950.0000000000,807,0,3.2804878049
0,15,950.0000000000,754,0,3.0650406504
0,16,950.0000000000,765,0,3.1097560976
0,17,950.0000000000,764,0,3.1056910569
0,18,950.0000000000,793,0,3.2235772358
0,19,950.0000000000,745,0,3.0284552846
0,20,950.0000000000,800,0,3.2520325203
0,21,950.0000000000,784,0,3.1869918699
0,22,950.0000000000,783,0,3.1829268293
0,23,950.0000000000,785,0,3.1910569106
0,24,950.0000000000,777,0,3.1585365854
0,25,950.0000000000,797,0,3.2398373984
0,26,950.0000000000,805,0,3.2723577236
0,27,950.0000000000,788,0,3.2032520325
0,28,950.0000000000,806,0,3.2764227642
0,29,950.0000000000,764,0,3.1056910569
1,0,475.0000000000,570,0,2.3170731707
2,0,237.5000000000,417,0,1.6951219512
3,0,118.7500000000,485,0,1.9715447154
4,0,59.3750000000,354,0,1.4390243902
5,0,29.6875000000,505,0,2.0528455285
6,0,14.8437500000,418,0,1.6991869919
7,0,7.4218750000,292,1,1.1869918699
7,1,7.4218750000,290,1,1.1788617886
7,2,7.4218750000,295,1,1.1991869919
7,3,7.4218750000,291,1,1.1829268293
7,4,7.4218750000,293,1,1.1910569106
7,5,7.4218750000,291,1,1.1829268293
7,6,7.4218750000,292,1,1.1869918699
7,7,7.4218750000,289,1,1.1747967480
7,8,7.4218750000,290,1,1.1788617886
7,9,7.4218750000,292,1,1.1869918699
7,10,7.4218750000,294,1,1.1951219512
7,11,7.4218750000,298,0,1.2113821138
8,0,3.7109375000,268,1,1.0894308943
8,1,3.7109375000,266,1,1.0813008130
8,2,3.7109375000,266,1,1.0813008130
8,3,3.7109375000,265,1,1.0772357724
8,4,3.7109375000,265,1,1.0772357724
8,5,3.7109375000,267,1,1.0853658537
8,6,3.7109375000,266,1,1.0813008130
8,7,3.7109375000,265,1,1.0772357724
8,8,3.7109375000,268,1,1.0894308943
8,9,3.7109375000,266,1,1.0813008130
8,10,3.7109375000,267,1,1.0853658537
8,11,3.7109375000,268,1,1.0894308943
8,12,3.7109375000,266,1,1.0813008130
8,13,3.7109375000,267,1,1.0853658537
8,14,3.7109375000,266,1,1.0813008130
8,15,3.7109375000,272,1,1.1056910569
8,16,3.7109375000,265,1,1.0772357724
8,17,3.7109375000,268,1,1.0894308943
8,18,3.7109375000,265,1,1.0772357724
8,19,3.7109375000,267,1,1.0853658537
8,20,3.7109375000,267,1,1.0853658537
8,21,3.7109375000,264,1,1.0731707317
8,22,3.7109375000,265,1,1.0772357724
