# Baseline 245.1, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,819,1,1.1871354035
1,452.5000000000,9.5000000000,7.5000000000,389,0,3.3414932681
2,228.7500000000,7.2500000000,6.2500000000,348,0,1.5871073031
3,116.8750000000,6.1250000000,5.6250000000,291,0,1.4198286414
4,172.8125000000,6.6875000000,5.9375000000,324,1,1.1872705018
5,88.9062500000,5.8437500000,5.4687500000,327,0,1.3219094247
6,46.9531250000,5.4218750000,5.2343750000,301,0,1.3341493268
7,25.9765625000,5.2109375000,5.1171875000,281,0,1.2280701754
8,36.4648437500,5.3164062500,5.1757812500,301,1,1.1464708282
9,20.7324218750,5.1582031250,5.0878906250,289,0,1.2280701754
