# Baseline 10370, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,18595,0,1.7931533269
0,1,950.0000000000,18597,0,1.7933461909
0,2,950.0000000000,18610,0,1.7945998071
0,3,950.0000000000,18592,0,1.7928640309
0,4,950.0000000000,18567,0,1.7904532305
0,5,950.0000000000,18625,0,1.7960462874
0,6,950.0000000000,18604,0,1.7940212150
0,7,950.0000000000,18613,0,1.7948891032
0,8,950.0000000000,18628,0,1.7963355834
0,9,950.0000000000,18585,0,1.7921890068
0,10,950.0000000000,18611,0,1.7946962392
0,11,950.0000000000,18615,0,1.7950819672
0,12,950.0000000000,18571,0,1.7908389585
0,13,950.0000000000,18603,0,1.7939247830
0,14,950.0000000000,18592,0,1.7928640309
0,15,950.0000000000,18654,0,1.7988428158
0,16,950.0000000000,18621,0,1.7956605593
0,17,950.0000000000,18624,0,1.7959498554
0,18,950.0000000000,18582,0,1.7918997107
0,19,950.0000000000,18607,0,1.7943105111
0,20,950.0000000000,18620,0,1.7955641273
0,21,950.0000000000,18604,0,1.7940212150
0,22,950.0000000000,18625,0,1.7960462874
0,23,950.0000000000,18602,0,1.7938283510
0,24,950.0000000000,18613,0,1.7948891032
0,25,950.0000000000,18615,0,1.7950819672
0,26,950.0000000000,18557,0,1.7894889103
0,27,950.0000000000,18593,0,1.7929604629
0,28,950.0000000000,18625,0,1.7960462874
0,29,950.0000000000,18626,0,1.7961427194
1,0,475.0000000000,16848,0,1.6246865959
2,0,237.5000000000,14968,0,1.4433944069
3,0,118.7500000000,13978,0,1.3479267117
4,0,59.3750000000,13547,0,1.3063645130
5,0,29.6875000000,13439,0,1.2959498554
6,0,14.8437500000,12452,0,1.2007714561
7,0,7.4218750000,11527,1,1.1115718419
7,1,7.4218750000,11522,1,1.1110896818
7,2,7.4218750000,11527,1,1.1115718419
7,3,7.4218750000,11529,1,1.1117647059
7,4,7.4218750000,11533,1,1.1121504339
7,5,7.4218750000,11534,1,1.1122468660
7,6,7.4218750000,11532,1,1.1120540019
7,7,7.4218750000,11523,1,1.1111861138
7,8,7.4218750000,11525,1,1.1113789778
7,9,7.4218750000,11524,1,1.1112825458
7,10,7.4218750000,11528,1,1.1116682739
7,11,7.4218750000,11531,1,1.1119575699
7,12,7.4218750000,11516,1,1.1105110897
7,13,7.4218750000,11533,1,1.1121504339
7,14,7.4218750000,11527,1,1.1115718419
7,15,7.4218750000,11532,1,1.1120540019
7,16,7.4218750000,11524,1,1.1112825458
7,17,7.4218750000,11522,1,1.1110896818
7,18,7.4218750000,11526,1,1.1114754098
7,19,7.4218750000,11519,1,1.1108003857
7,20,7.4218750000,11519,1,1.1108003857
7,21,7.4218750000,11528,1,1.1116682739
7,22,7.4218750000,11529,1,1.1117647059
7,23,7.4218750000,11516,1,1.1105110897
7,24,7.4218750000,11530,1,1.1118611379
7,25,7.4218750000,11523,1,1.1111861138
7,26,7.4218750000,11523,1,1.1111861138
7,27,7.4218750000,11538,1,1.1126325940
7,28,7.4218750000,11527,1,1.1115718419
7,29,7.4218750000,11526,1,1.1114754098
8,0,11.1328125000,13034,0,1.2568948891
9,0,9.2773437500,11483,1,1.1073288332
9,1,9.2773437500,11730,1,1.1311475410
