# Baseline 583, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1761,0,3.0205831904
0,1,950.0000000000,1868,0,3.2041166381
0,2,950.0000000000,1779,0,3.0514579760
0,3,950.0000000000,1847,0,3.1680960549
0,4,950.0000000000,1803,0,3.0926243568
0,5,950.0000000000,1813,0,3.1097770154
0,6,950.0000000000,1874,0,3.2144082333
0,7,950.0000000000,1820,0,3.1217838765
0,8,950.0000000000,1836,0,3.1492281304
0,9,950.0000000000,1799,0,3.0857632933
0,10,950.0000000000,1843,0,3.1612349914
0,11,950.0000000000,1836,0,3.1492281304
0,12,950.0000000000,1818,0,3.1183533448
0,13,950.0000000000,1816,0,3.1149228130
0,14,950.0000000000,1902,0,3.2624356775
0,15,950.0000000000,1766,0,3.0291595197
0,16,950.0000000000,1851,0,3.1749571184
0,17,950.0000000000,1782,0,3.0566037736
0,18,950.0000000000,1810,0,3.1046312178
0,19,950.0000000000,1868,0,3.2041166381
0,20,950.0000000000,1756,0,3.0120068611
0,21,950.0000000000,1863,0,3.1955403087
0,22,950.0000000000,1822,0,3.1252144082
0,23,950.0000000000,1796,0,3.0806174957
0,24,950.0000000000,1784,0,3.0600343053
0,25,950.0000000000,1795,0,3.0789022298
0,26,950.0000000000,1821,0,3.1234991424
0,27,950.0000000000,1820,0,3.1217838765
0,28,950.0000000000,1835,0,3.1475128645
0,29,950.0000000000,1755,0,3.0102915952
1,0,475.0000000000,1557,0,2.6706689537
2,0,237.5000000000,1425,0,2.4442538593
3,0,118.7500000000,1239,0,2.1252144082
4,0,59.3750000000,1021,0,1.7512864494
5,0,29.6875000000,1002,0,1.7186963979
6,0,14.8437500000,915,0,1.5694682676
7,0,7.4218750000,718,0,1.2315608919
8,0,3.7109375000,649,1,1.1132075472
8,1,3.7109375000,647,1,1.1097770154
8,2,3.7109375000,649,1,1.1132075472
8,3,3.7109375000,648,1,1.1114922813
8,4,3.7109375000,649,1,1.1132075472
8,5,3.7109375000,647,1,1.1097770154
8,6,3.7109375000,649,1,1.1132075472
8,7,3.7109375000,647,1,1.1097770154
8,8,3.7109375000,650,1,1.1149228130
8,9,3.7109375000,649,1,1.1132075472
8,10,3.7109375000,649,1,1.1132075472
8,11,3.7109375000,649,1,1.1132075472
8,12,3.7109375000,649,1,1.1132075472
8,13,3.7109375000,650,1,1.1149228130
8,14,3.7109375000,648,1,1.1114922813
8,15,3.7109375000,650,1,1.1149228130
8,16,3.7109375000,649,1,1.1132075472
8,17,3.7109375000,648,1,1.1114922813
8,18,3.7109375000,648,1,1.1114922813
8,19,3.7109375000,649,1,1.1132075472
8,20,3.7109375000,649,1,1.1132075472
8,21,3.7109375000,649,1,1.1132075472
8,22,3.7109375000,649,1,1.1132075472
8,23,3.7109375000,648,1,1.1114922813
8,24,3.7109375000,649,1,1.1132075472
8,25,3.7109375000,651,1,1.1166380789
8,26,3.7109375000,647,1,1.1097770154
8,27,3.7109375000,648,1,1.1114922813
8,28,3.7109375000,649,1,1.1132075472
8,29,3.7109375000,648,1,1.1114922813
9,0,5.5664062500,700,0,1.2006861063
10,0,4.6386718750,674,1,1.1560891938
10,1,4.6386718750,673,1,1.1543739280
10,2,4.6386718750,673,1,1.1543739280
10,3,4.6386718750,674,1,1.1560891938
10,4,4.6386718750,672,1,1.1526586621
10,5,4.6386718750,672,1,1.1526586621
10,6,4.6386718750,674,1,1.1560891938
10,7,4.6386718750,672,1,1.1526586621
10,8,4.6386718750,673,1,1.1543739280
10,9,4.6386718750,671,1,1.1509433962
10,10,4.6386718750,674,1,1.1560891938
10,11,4.6386718750,674,1,1.1560891938
10,12,4.6386718750,673,1,1.1543739280
10,13,4.6386718750,676,1,1.1595197256
10,14,4.6386718750,755,0,1.2950257290
11,0,4.1748046875,655,1,1.1234991424
11,1,4.1748046875,658,1,1.1286449400
11,2,4.1748046875,658,1,1.1286449400
11,3,4.1748046875,659,1,1.1303602058
11,4,4.1748046875,658,1,1.1286449400
11,5,4.1748046875,658,1,1.1286449400
11,6,4.1748046875,660,1,1.1320754717
11,7,4.1748046875,663,1,1.1372212693
11,8,4.1748046875,658,1,1.1286449400
11,9,4.1748046875,658,1,1.1286449400
11,10,4.1748046875,661,1,1.1337907376
11,11,4.1748046875,658,1,1.1286449400
11,12,4.1748046875,656,1,1.1252144082
11,13,4.1748046875,661,1,1.1337907376
11,14,4.1748046875,658,1,1.1286449400
11,15,4.1748046875,656,1,1.1252144082
11,16,4.1748046875,657,1,1.1269296741
11,17,4.1748046875,667,1,1.1440823328
11,18,4.1748046875,669,1,1.1475128645
11,19,4.1748046875,655,1,1.1234991424
11,20,4.1748046875,659,1,1.1303602058
11,21,4.1748046875,656,1,1.1252144082
11,22,4.1748046875,658,1,1.1286449400
11,23,4.1748046875,658,1,1.1286449400
11,24,4.1748046875,658,1,1.1286449400
11,25,4.1748046875,655,1,1.1234991424
11,26,4.1748046875,658,1,1.1286449400
11,27,4.1748046875,658,1,1.1286449400
11,28,4.1748046875,658,1,1.1286449400
11,29,4.1748046875,658,1,1.1286449400
12,0,4.4067382812,675,1,1.1578044597
12,1,4.4067382812,679,1,1.1646655232
12,2,4.4067382812,673,1,1.1543739280
12,3,4.4067382812,676,1,1.1595197256
12,4,4.4067382812,675,1,1.1578044597
12,5,4.4067382812,673,1,1.1543739280
12,6,4.4067382812,675,1,1.1578044597
12,7,4.4067382812,674,1,1.1560891938
12,8,4.4067382812,674,1,1.1560891938
12,9,4.4067382812,672,1,1.1526586621
12,10,4.4067382812,673,1,1.1543739280
12,11,4.4067382812,675,1,1.1578044597
12,12,4.4067382812,675,1,1.1578044597
12,13,4.4067382812,673,1,1.1543739280
12,14,4.4067382812,675,1,1.1578044597
12,15,4.4067382812,672,1,1.1526586621
12,16,4.4067382812,675,1,1.1578044597
12,17,4.4067382812,675,1,1.1578044597
12,18,4.4067382812,674,1,1.1560891938
12,19,4.4067382812,676,1,1.1595197256
12,20,4.4067382812,678,1,1.1629502573
12,21,4.4067382812,675,1,1.1578044597
12,22,4.4067382812,674,1,1.1560891938
12,23,4.4067382812,674,1,1.1560891938
12,24,4.4067382812,676,1,1.1595197256
12,25,4.4067382812,675,1,1.1578044597
12,26,4.4067382812,674,1,1.1560891938
12,27,4.4067382812,675,1,1.1578044597
12,28,4.4067382812,677,1,1.1612349914
12,29,4.4067382812,676,1,1.1595197256
13,0,4.5227050781,677,1,1.1612349914
13,1,4.5227050781,673,1,1.1543739280
