# Baseline 577.0333333333333, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,1914,1,1.1791105671
1,452.5000000000,9.5000000000,7.5000000000,1413,0,3.3169660909
2,228.7500000000,7.2500000000,6.2500000000,1017,0,2.4487320201
3,116.8750000000,6.1250000000,5.6250000000,836,0,1.7624631737
4,60.9375000000,5.5625000000,5.3125000000,748,0,1.4487897868
5,32.9687500000,5.2812500000,5.1562500000,725,0,1.2962855988
6,18.9843750000,5.1406250000,5.0781250000,708,0,1.2564265496
7,11.9921875000,5.0703125000,5.0390625000,702,0,1.2269655133
8,8.4960937500,5.0351562500,5.0195312500,700,0,1.2165675004
9,6.7480468750,5.0175781250,5.0097656250,701,0,1.2131014962
