# Baseline 9989201, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,17907623,0,1.7926982348
0,1,950.0000000000,17904490,0,1.7923845961
0,2,950.0000000000,17909389,0,1.7928750257
0,3,950.0000000000,17903647,0,1.7923002050
0,4,950.0000000000,17905162,0,1.7924518688
0,5,950.0000000000,17902202,0,1.7921555488
0,6,950.0000000000,17904601,0,1.7923957081
0,7,950.0000000000,17903975,0,1.7923330405
0,8,950.0000000000,17903588,0,1.7922942986
0,9,950.0000000000,17908545,0,1.7927905345
0,10,950.0000000000,17903890,0,1.7923245313
0,11,950.0000000000,17905000,0,1.7924356513
0,12,950.0000000000,17906282,0,1.7925639899
0,13,950.0000000000,17905431,0,1.7924787979
0,14,950.0000000000,17904319,0,1.7923674776
0,15,950.0000000000,17904814,0,1.7924170312
0,16,950.0000000000,17903098,0,1.7922452456
0,17,950.0000000000,17904015,0,1.7923370448
0,18,950.0000000000,17904285,0,1.7923640740
0,19,950.0000000000,17905001,0,1.7924357514
0,20,950.0000000000,17904638,0,1.7923994121
0,21,950.0000000000,17904899,0,1.7924255403
0,22,950.0000000000,17906456,0,1.7925814087
0,23,950.0000000000,17905100,0,1.7924456621
0,24,950.0000000000,17902754,0,1.7922108085
0,25,950.0000000000,17904960,0,1.7924316469
0,26,950.0000000000,17903717,0,1.7923072126
0,27,950.0000000000,17904352,0,1.7923707812
0,28,950.0000000000,17903937,0,1.7923292363
0,29,950.0000000000,17904249,0,1.7923604701
1,0,475.0000000000,15888600,0,1.5905776648
2,0,237.5000000000,14035534,0,1.4050707359
3,0,118.7500000000,13121447,0,1.3135632169
4,0,59.3750000000,12647664,0,1.2661336978
5,0,29.6875000000,12403504,0,1.2416913024
6,0,14.8437500000,11794439,1,1.1807189584
6,1,14.8437500000,11747712,1,1.1760412069
6,2,14.8437500000,11730861,1,1.1743542852
6,3,14.8437500000,11760179,1,1.1772892547
6,4,14.8437500000,11759353,1,1.1772065654
6,5,14.8437500000,11769553,1,1.1782276681
6,6,14.8437500000,11773263,1,1.1785990691
6,7,14.8437500000,11765806,1,1.1778525630
6,8,14.8437500000,11766792,1,1.1779512696
6,9,14.8437500000,11787027,1,1.1799769571
6,10,14.8437500000,11742133,1,1.1754827038
6,11,14.8437500000,11787641,1,1.1800384235
6,12,14.8437500000,11779828,1,1.1792562789
6,13,14.8437500000,11754385,1,1.1767092283
6,14,14.8437500000,11739503,1,1.1752194195
6,15,14.8437500000,11776210,1,1.1788940877
6,16,14.8437500000,11736808,1,1.1749496281
6,17,14.8437500000,11775775,1,1.1788505407
6,18,14.8437500000,11779600,1,1.1792334542
6,19,14.8437500000,11787087,1,1.1799829636
6,20,14.8437500000,11745433,1,1.1758130605
6,21,14.8437500000,11780219,1,1.1792954211
6,22,14.8437500000,11781798,1,1.1794534918
6,23,14.8437500000,11755245,1,1.1767953213
6,24,14.8437500000,11758638,1,1.1771349881
6,25,14.8437500000,11770266,1,1.1782990451
6,26,14.8437500000,11771686,1,1.1784411987
6,27,14.8437500000,11757957,1,1.1770668145
6,28,14.8437500000,11788047,1,1.1800790674
6,29,14.8437500000,11773695,1,1.1786423158
7,0,22.2656250000,12334573,0,1.2347907505
8,0,18.5546875000,12177445,0,1.2190609639
9,0,16.6992187500,12143792,0,1.2156920258
10,0,15.7714843750,11860592,1,1.1873414100
10,1,15.7714843750,11854554,1,1.1867369572
10,2,15.7714843750,11840687,1,1.1853487581
10,3,15.7714843750,11863938,1,1.1876763717
10,4,15.7714843750,11849405,1,1.1862215006
10,5,15.7714843750,11839376,1,1.1852175164
10,6,15.7714843750,11840657,1,1.1853457549
10,7,15.7714843750,11860011,1,1.1872832472
10,8,15.7714843750,11846176,1,1.1858982515
10,9,15.7714843750,11859952,1,1.1872773408
10,10,15.7714843750,11845892,1,1.1858698208
10,11,15.7714843750,11821243,1,1.1834022561
10,12,15.7714843750,11857298,1,1.1870116539
10,13,15.7714843750,11850369,1,1.1863180048
10,14,15.7714843750,11846269,1,1.1859075616
10,15,15.7714843750,11845538,1,1.1858343825
10,16,15.7714843750,11851086,1,1.1863897823
10,17,15.7714843750,11850558,1,1.1863369252
10,18,15.7714843750,11855368,1,1.1868184452
10,19,15.7714843750,11851129,1,1.1863940870
10,20,15.7714843750,11863413,1,1.1876238150
10,21,15.7714843750,11836590,1,1.1849386152
10,22,15.7714843750,11844404,1,1.1857208600
10,23,15.7714843750,11849087,1,1.1861896662
10,24,15.7714843750,11847393,1,1.1860200831
10,25,15.7714843750,11851729,1,1.1864541518
10,26,15.7714843750,11852834,1,1.1865647713
10,27,15.7714843750,11848043,1,1.1860851534
10,28,15.7714843750,11852896,1,1.1865709780
10,29,15.7714843750,11844744,1,1.1857548967
11,0,16.2353515625,12187490,0,1.2200665499
12,0,16.0034179688,12183656,0,1.2196827354
13,0,15.8874511719,12192802,0,1.2205983241
14,0,15.8294677734,12016167,0,1.2029157287
