# Baseline 1080643, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,3118960,0,2.8862075635
0,1,950.0000000000,3118977,0,2.8862232948
0,2,950.0000000000,3119476,0,2.8866850570
0,3,950.0000000000,3117770,0,2.8851063672
0,4,950.0000000000,3119004,0,2.8862482800
0,5,950.0000000000,3118568,0,2.8858448165
0,6,950.0000000000,3119157,0,2.8863898623
0,7,950.0000000000,3119413,0,2.8866267583
0,8,950.0000000000,3117773,0,2.8851091434
0,9,950.0000000000,3118627,0,2.8858994136
0,10,950.0000000000,3119496,0,2.8867035645
0,11,950.0000000000,3120272,0,2.8874216554
0,12,950.0000000000,3118740,0,2.8860039810
0,13,950.0000000000,3119548,0,2.8867516840
0,14,950.0000000000,3119324,0,2.8865444000
0,15,950.0000000000,3118634,0,2.8859058912
0,16,950.0000000000,3119152,0,2.8863852355
0,17,950.0000000000,3118821,0,2.8860789363
0,18,950.0000000000,3118836,0,2.8860928170
0,19,950.0000000000,3119277,0,2.8865009073
0,20,950.0000000000,3118895,0,2.8861474141
0,21,950.0000000000,3143485,0,2.9089023850
0,22,950.0000000000,3141773,0,2.9073181430
0,23,950.0000000000,3143335,0,2.9087635787
0,24,950.0000000000,3143422,0,2.9088440863
0,25,950.0000000000,3142755,0,2.9082268612
0,26,950.0000000000,3138853,0,2.9046160480
0,27,950.0000000000,3143334,0,2.9087626533
0,28,950.0000000000,3142219,0,2.9077308602
0,29,950.0000000000,3143147,0,2.9085896082
1,0,475.0000000000,2663979,0,2.4651795274
2,0,237.5000000000,2194571,0,2.0308011064
3,0,118.7500000000,1862643,0,1.7236432383
4,0,59.3750000000,1721483,0,1.5930173054
5,0,29.6875000000,1662208,0,1.5381657032
6,0,14.8437500000,1433334,0,1.3263714289
7,0,7.4218750000,1252604,1,1.1591284078
7,1,7.4218750000,1252625,1,1.1591478407
7,2,7.4218750000,1253475,1,1.1599344094
7,3,7.4218750000,1252452,1,1.1589877508
7,4,7.4218750000,1252593,1,1.1591182287
7,5,7.4218750000,1254537,1,1.1609171577
7,6,7.4218750000,1253647,1,1.1600935739
7,7,7.4218750000,1254216,1,1.1606201123
7,8,7.4218750000,1254480,1,1.1608644113
7,9,7.4218750000,1252778,1,1.1592894231
7,10,7.4218750000,1252638,1,1.1591598706
7,11,7.4218750000,1253152,1,1.1596355133
7,12,7.4218750000,1252873,1,1.1593773337
7,13,7.4218750000,1254031,1,1.1604489179
7,14,7.4218750000,1254224,1,1.1606275153
7,15,7.4218750000,1254306,1,1.1607033960
7,16,7.4218750000,1252636,1,1.1591580198
7,17,7.4218750000,1256025,1,1.1622941156
7,18,7.4218750000,1294151,1,1.1975749623
7,19,7.4218750000,1294313,1,1.1977248731
7,20,7.4218750000,1294018,1,1.1974518874
7,21,7.4218750000,1294823,1,1.1981968143
7,22,7.4218750000,1294746,1,1.1981255604
7,23,7.4218750000,1294805,1,1.1981801576
7,24,7.4218750000,1292689,1,1.1962220641
7,25,7.4218750000,1292620,1,1.1961582132
7,26,7.4218750000,1293859,1,1.1973047528
7,27,7.4218750000,1294640,1,1.1980274707
7,28,7.4218750000,1292758,1,1.1962859150
7,29,7.4218750000,1294535,1,1.1979303063
8,0,11.1328125000,1431988,0,1.3251258741
9,0,9.2773437500,1234518,1,1.1423920758
9,1,9.2773437500,1236473,1,1.1442011839
9,2,9.2773437500,1236477,1,1.1442048854
9,3,9.2773437500,1235970,1,1.1437357203
9,4,9.2773437500,1236846,1,1.1445463488
9,5,9.2773437500,1236983,1,1.1446731252
9,6,9.2773437500,1234206,1,1.1421033588
9,7,9.2773437500,1237336,1,1.1449997825
9,8,9.2773437500,1234135,1,1.1420376572
9,9,9.2773437500,1234869,1,1.1427168824
9,10,9.2773437500,1236527,1,1.1442511542
9,11,9.2773437500,1234553,1,1.1424244640
9,12,9.2773437500,1235525,1,1.1433239284
9,13,9.2773437500,1238233,1,1.1458298439
9,14,9.2773437500,1236139,1,1.1438921087
9,15,9.2773437500,1232324,1,1.1403618031
9,16,9.2773437500,1234514,1,1.1423883743
9,17,9.2773437500,1235677,1,1.1434645854
9,18,9.2773437500,1239194,1,1.1467191293
9,19,9.2773437500,1235289,1,1.1431055399
9,20,9.2773437500,1233776,1,1.1417054476
9,21,9.2773437500,1236074,1,1.1438319593
9,22,9.2773437500,1237811,1,1.1454393357
9,23,9.2773437500,1234168,1,1.1420681946
9,24,9.2773437500,1236238,1,1.1439837208
9,25,9.2773437500,1237860,1,1.1454846790
9,26,9.2773437500,1236598,1,1.1443168558
9,27,9.2773437500,1237111,1,1.1447915732
9,28,9.2773437500,1235395,1,1.1432036297
9,29,9.2773437500,1235564,1,1.1433600181
10,0,10.2050781250,1253707,1,1.1601490964
10,1,10.2050781250,1251989,1,1.1585593022
10,2,10.2050781250,1251961,1,1.1585333917
10,3,10.2050781250,1252176,1,1.1587323473
10,4,10.2050781250,1253226,1,1.1597039910
10,5,10.2050781250,1251467,1,1.1580762565
10,6,10.2050781250,1252892,1,1.1593949158
10,7,10.2050781250,1253115,1,1.1596012744
10,8,10.2050781250,1253326,1,1.1597965285
10,9,10.2050781250,1253446,1,1.1599075735
10,10,10.2050781250,1254029,1,1.1604470672
10,11,10.2050781250,1258060,1,1.1641772537
10,12,10.2050781250,1257582,1,1.1637349245
10,13,10.2050781250,1257761,1,1.1639005666
10,14,10.2050781250,1256806,1,1.1630168335
10,15,10.2050781250,1257863,1,1.1639949549
10,16,10.2050781250,1252280,1,1.1588285863
10,17,10.2050781250,1252522,1,1.1590525271
10,18,10.2050781250,1254270,1,1.1606700825
10,19,10.2050781250,1253899,1,1.1603267684
10,20,10.2050781250,1251586,1,1.1581863761
10,21,10.2050781250,1253997,1,1.1604174552
10,22,10.2050781250,1253903,1,1.1603304699
10,23,10.2050781250,1256191,1,1.1624477279
10,24,10.2050781250,1256025,1,1.1622941156
10,25,10.2050781250,1257996,1,1.1641180297
10,26,10.2050781250,1253578,1,1.1600297230
10,27,10.2050781250,1253612,1,1.1600611858
10,28,10.2050781250,1253531,1,1.1599862304
10,29,10.2050781250,1253123,1,1.1596086774
11,0,10.6689453125,1420686,0,1.3146672861
12,0,10.4370117188,1422212,0,1.3160794083
13,0,10.3210449219,1422545,0,1.3163875581
14,0,10.2630615234,1422219,0,1.3160858859
