# Baseline 1080474.6333333333, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,3270851,0,1.2148344983
1,452.5000000000,9.5000000000,7.5000000000,2544024,0,3.0272353456
2,228.7500000000,7.2500000000,6.2500000000,1636102,0,2.3545430143
3,116.8750000000,6.1250000000,5.6250000000,1349585,0,1.5142437865
4,60.9375000000,5.5625000000,5.3125000000,1288163,0,1.2490668067
5,88.9062500000,5.8437500000,5.4687500000,1331367,1,1.1922195675
6,46.9531250000,5.4218750000,5.2343750000,1259143,0,1.2322056982
7,67.9296875000,5.6328125000,5.3515625000,1299400,1,1.1653610008
8,36.4648437500,5.3164062500,5.1757812500,1226113,0,1.2026196265
9,52.1972656250,5.4746093750,5.2636718750,1250207,1,1.1347911021
