# Baseline 172, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,560,0,3.2558139535
0,1,950.0000000000,539,0,3.1337209302
0,2,950.0000000000,558,0,3.2441860465
0,3,950.0000000000,545,0,3.1686046512
0,4,950.0000000000,560,0,3.2558139535
0,5,950.0000000000,547,0,3.1802325581
0,6,950.0000000000,527,0,3.0639534884
0,7,950.0000000000,546,0,3.1744186047
0,8,950.0000000000,528,0,3.0697674419
0,9,950.0000000000,557,0,3.2383720930
0,10,950.0000000000,533,0,3.0988372093
0,11,950.0000000000,540,0,3.1395348837
0,12,950.0000000000,552,0,3.2093023256
0,13,950.0000000000,546,0,3.1744186047
0,14,950.0000000000,535,0,3.1104651163
0,15,950.0000000000,559,0,3.2500000000
0,16,950.0000000000,532,0,3.0930232558
0,17,950.0000000000,554,0,3.2209302326
0,18,950.0000000000,566,0,3.2906976744
0,19,950.0000000000,548,0,3.1860465116
0,20,950.0000000000,552,0,3.2093023256
0,21,950.0000000000,544,0,3.1627906977
0,22,950.0000000000,548,0,3.1860465116
0,23,950.0000000000,549,0,3.1918604651
0,24,950.0000000000,561,0,3.2616279070
0,25,950.0000000000,542,0,3.1511627907
0,26,950.0000000000,545,0,3.1686046512
0,27,950.0000000000,552,0,3.2093023256
0,28,950.0000000000,550,0,3.1976744186
0,29,950.0000000000,557,0,3.2383720930
1,0,475.0000000000,306,0,1.7790697674
2,0,237.5000000000,313,0,1.8197674419
3,0,118.7500000000,272,0,1.5813953488
4,0,59.3750000000,355,0,2.0639534884
5,0,29.6875000000,268,0,1.5581395349
6,0,14.8437500000,244,0,1.4186046512
7,0,7.4218750000,209,0,1.2151162791
8,0,3.7109375000,190,1,1.1046511628
8,1,3.7109375000,191,1,1.1104651163
8,2,3.7109375000,191,1,1.1104651163
8,3,3.7109375000,190,1,1.1046511628
8,4,3.7109375000,190,1,1.1046511628
8,5,3.7109375000,190,1,1.1046511628
8,6,3.7109375000,189,1,1.0988372093
8,7,3.7109375000,191,1,1.1104651163
8,8,3.7109375000,188,1,1.0930232558
8,9,3.7109375000,189,1,1.0988372093
8,10,3.7109375000,190,1,1.1046511628
8,11,3.7109375000,190,1,1.1046511628
8,12,3.7109375000,190,1,1.1046511628
8,13,3.7109375000,190,1,1.1046511628
8,14,3.7109375000,188,1,1.0930232558
8,15,3.7109375000,189,1,1.0988372093
8,16,3.7109375000,190,1,1.1046511628
8,17,3.7109375000,189,1,1.0988372093
8,18,3.7109375000,193,1,1.1220930233
8,19,3.7109375000,189,1,1.0988372093
8,20,3.7109375000,192,1,1.1162790698
8,21,3.7109375000,191,1,1.1104651163
8,22,3.7109375000,191,1,1.1104651163
8,23,3.7109375000,189,1,1.0988372093
8,24,3.7109375000,191,1,1.1104651163
8,25,3.7109375000,189,1,1.0988372093
8,26,3.7109375000,189,1,1.0988372093
8,27,3.7109375000,191,1,1.1104651163
8,28,3.7109375000,190,1,1.1046511628
8,29,3.7109375000,191,1,1.1104651163
9,0,5.5664062500,199,1,1.1569767442
9,1,5.5664062500,201,1,1.1686046512
9,2,5.5664062500,200,1,1.1627906977
9,3,5.5664062500,198,1,1.1511627907
9,4,5.5664062500,204,1,1.1860465116
9,5,5.5664062500,202,1,1.1744186047
9,6,5.5664062500,198,1,1.1511627907
9,7,5.5664062500,200,1,1.1627906977
9,8,5.5664062500,223,0,1.2965116279
10,0,4.6386718750,196,1,1.1395348837
10,1,4.6386718750,192,1,1.1162790698
10,2,4.6386718750,194,1,1.1279069767
10,3,4.6386718750,195,1,1.1337209302
10,4,4.6386718750,197,1,1.1453488372
10,5,4.6386718750,195,1,1.1337209302
10,6,4.6386718750,195,1,1.1337209302
10,7,4.6386718750,195,1,1.1337209302
10,8,4.6386718750,196,1,1.1395348837
10,9,4.6386718750,194,1,1.1279069767
10,10,4.6386718750,197,1,1.1453488372
10,11,4.6386718750,198,1,1.1511627907
10,12,4.6386718750,195,1,1.1337209302
10,13,4.6386718750,193,1,1.1220930233
10,14,4.6386718750,193,1,1.1220930233
10,15,4.6386718750,196,1,1.1395348837
10,16,4.6386718750,194,1,1.1279069767
10,17,4.6386718750,195,1,1.1337209302
10,18,4.6386718750,195,1,1.1337209302
10,19,4.6386718750,197,1,1.1453488372
10,20,4.6386718750,195,1,1.1337209302
10,21,4.6386718750,195,1,1.1337209302
