# Baseline 171.8, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,588,1,1.1570905613
1,452.5000000000,9.5000000000,7.5000000000,466,0,3.4225844005
2,228.7500000000,7.2500000000,6.2500000000,286,0,2.7124563446
3,116.8750000000,6.1250000000,5.6250000000,204,0,1.6647264261
4,172.8125000000,6.6875000000,5.9375000000,279,1,1.1874272410
5,88.9062500000,5.8437500000,5.4687500000,241,0,1.6239813737
6,46.9531250000,5.4218750000,5.2343750000,200,0,1.4027939464
7,67.9296875000,5.6328125000,5.3515625000,205,1,1.1641443539
8,57.4414062500,5.5273437500,5.2929687500,201,1,1.1932479627
9,62.6855468750,5.5800781250,5.3222656250,221,1,1.1699650757
