# Baseline 167100410, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,232074319,0,1.3888315355
0,1,950.0000000000,227042514,0,1.3587190720
0,2,950.0000000000,232613163,0,1.3920562074
0,3,950.0000000000,232864169,0,1.3935583342
0,4,950.0000000000,232883019,0,1.3936711406
0,5,950.0000000000,232879212,0,1.3936483579
0,6,950.0000000000,224143121,0,1.3413678698
0,7,950.0000000000,232635368,0,1.3921890916
0,8,950.0000000000,232676954,0,1.3924379599
0,9,950.0000000000,228075418,0,1.3649004093
0,10,950.0000000000,218377003,0,1.3068609646
0,11,950.0000000000,231660950,0,1.3863577594
0,12,950.0000000000,229075705,0,1.3708865526
0,13,950.0000000000,234002606,0,1.4003712259
0,14,950.0000000000,233978085,0,1.4002244818
0,15,950.0000000000,232433086,0,1.3909785500
0,16,950.0000000000,222303939,0,1.3303614216
0,17,950.0000000000,225202965,0,1.3477104275
0,18,950.0000000000,231873652,0,1.3876306587
0,19,950.0000000000,231865391,0,1.3875812214
0,20,950.0000000000,231877037,0,1.3876509160
0,21,950.0000000000,231904852,0,1.3878173728
0,22,950.0000000000,232593481,0,1.3919384219
0,23,950.0000000000,232594870,0,1.3919467343
0,24,950.0000000000,232608061,0,1.3920256749
0,25,950.0000000000,224588470,0,1.3440330278
0,26,950.0000000000,231990017,0,1.3883270364
0,27,950.0000000000,219758146,0,1.3151263124
0,28,950.0000000000,232036975,0,1.3886080531
0,29,950.0000000000,232009024,0,1.3884407824
1,0,475.0000000000,211895350,0,1.2680719934
2,0,237.5000000000,195227883,1,1.1683267743
2,1,237.5000000000,195196708,1,1.1681402098
2,2,237.5000000000,195225444,1,1.1683121783
2,3,237.5000000000,195256354,1,1.1684971569
2,4,237.5000000000,195215728,1,1.1682540336
2,5,237.5000000000,195200710,1,1.1681641595
2,6,237.5000000000,195199827,1,1.1681588753
2,7,237.5000000000,195241685,1,1.1684093713
2,8,237.5000000000,195229543,1,1.1683367084
2,9,237.5000000000,195238105,1,1.1683879471
2,10,237.5000000000,195224539,1,1.1683067624
2,11,237.5000000000,195210715,1,1.1682240337
2,12,237.5000000000,195220222,1,1.1682809276
2,13,237.5000000000,195223984,1,1.1683034410
2,14,237.5000000000,195215223,1,1.1682510115
2,15,237.5000000000,195219455,1,1.1682763376
2,16,237.5000000000,195247133,1,1.1684419745
2,17,237.5000000000,195217139,1,1.1682624776
2,18,237.5000000000,195212997,1,1.1682376901
2,19,237.5000000000,195215764,1,1.1682542490
2,20,237.5000000000,195229555,1,1.1683367803
2,21,237.5000000000,195230383,1,1.1683417354
2,22,237.5000000000,195222760,1,1.1682961161
2,23,237.5000000000,195228915,1,1.1683329502
2,24,237.5000000000,195198384,1,1.1681502397
2,25,237.5000000000,195212689,1,1.1682358469
2,26,237.5000000000,195217694,1,1.1682657990
2,27,237.5000000000,195206545,1,1.1681990786
2,28,237.5000000000,195231809,1,1.1683502692
2,29,237.5000000000,195215553,1,1.1682529863
3,0,356.2500000000,201955993,0,1.2085906492
4,0,296.8750000000,198613544,1,1.1885880112
4,1,296.8750000000,198606611,1,1.1885465212
4,2,296.8750000000,198619121,1,1.1886213864
4,3,296.8750000000,198608294,1,1.1885565930
4,4,296.8750000000,198595513,1,1.1884801061
4,5,296.8750000000,198558995,1,1.1882615668
4,6,296.8750000000,198544441,1,1.1881744695
4,7,296.8750000000,198552692,1,1.1882238470
4,8,296.8750000000,198549578,1,1.1882052115
4,9,296.8750000000,198539124,1,1.1881426503
4,10,296.8750000000,198561994,1,1.1882795141
4,11,296.8750000000,198533783,1,1.1881106875
4,12,296.8750000000,198570340,1,1.1883294601
4,13,296.8750000000,198560600,1,1.1882711718
4,14,296.8750000000,198554398,1,1.1882340564
4,15,296.8750000000,198562563,1,1.1882829192
4,16,296.8750000000,198560129,1,1.1882683531
4,17,296.8750000000,198567371,1,1.1883116924
4,18,296.8750000000,198560783,1,1.1882722670
