# Baseline 18430339, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,46694855,0,2.5335863328
0,1,950.0000000000,46683000,0,2.5329431000
0,2,950.0000000000,46690879,0,2.5333706016
0,3,950.0000000000,46693059,0,2.5334888848
0,4,950.0000000000,46687553,0,2.5331901383
0,5,950.0000000000,46692942,0,2.5334825366
0,6,950.0000000000,46693083,0,2.5334901870
0,7,950.0000000000,46694211,0,2.5335513905
0,8,950.0000000000,46697586,0,2.5337345124
0,9,950.0000000000,46690978,0,2.5333759732
0,10,950.0000000000,46688902,0,2.5332633328
0,11,950.0000000000,46692712,0,2.5334700572
0,12,950.0000000000,46689994,0,2.5333225829
0,13,950.0000000000,46690626,0,2.5333568742
0,14,950.0000000000,46689098,0,2.5332739675
0,15,950.0000000000,46690732,0,2.5333626256
0,16,950.0000000000,46696785,0,2.5336910515
0,17,950.0000000000,46633905,0,2.5302792857
0,18,950.0000000000,46697556,0,2.5337328847
0,19,950.0000000000,46693662,0,2.5335216026
0,20,950.0000000000,46694135,0,2.5335472668
0,21,950.0000000000,46691947,0,2.5334285495
0,22,950.0000000000,46697449,0,2.5337270790
0,23,950.0000000000,46698658,0,2.5337926774
0,24,950.0000000000,46700598,0,2.5338979386
0,25,950.0000000000,46695323,0,2.5336117258
0,26,950.0000000000,46707386,0,2.5342662444
0,27,950.0000000000,46704631,0,2.5341167626
0,28,950.0000000000,46702218,0,2.5339858372
0,29,950.0000000000,46700068,0,2.5338691817
1,0,475.0000000000,42544928,0,2.3084180926
2,0,237.5000000000,32964169,0,1.7885818053
2,0,237.5000000000,34346217,0,1.8635694655
3,0,118.7500000000,31408983,0,1.7041999607
4,0,59.3750000000,30069010,0,1.6314952210
5,0,29.6875000000,29401918,0,1.5952999020
6,0,14.8437500000,24091218,0,1.3071500204
7,0,7.4218750000,20321737,1,1.1026241568
7,1,7.4218750000,20320997,1,1.1025840056
7,2,7.4218750000,20314073,1,1.1022083207
7,3,7.4218750000,20321869,1,1.1026313189
7,4,7.4218750000,20306727,1,1.1018097388
7,5,7.4218750000,20323249,1,1.1027061955
7,6,7.4218750000,20322334,1,1.1026565491
7,7,7.4218750000,20320516,1,1.1025579074
7,8,7.4218750000,20315405,1,1.1022805929
7,9,7.4218750000,20317664,1,1.1024031625
7,10,7.4218750000,20331834,1,1.1031720035
7,11,7.4218750000,20356127,1,1.1044901019
7,12,7.4218750000,20227854,1,1.0975302191
7,13,7.4218750000,20265507,1,1.0995732092
7,14,7.4218750000,20278486,1,1.1002774284
7,15,7.4218750000,20276894,1,1.1001910491
7,16,7.4218750000,20282055,1,1.1004710765
7,17,7.4218750000,20276878,1,1.1001901810
7,18,7.4218750000,20313212,1,1.1021616043
7,19,7.4218750000,20315588,1,1.1022905222
7,20,7.4218750000,20323442,1,1.1027166673
7,21,7.4218750000,20322520,1,1.1026666411
7,22,7.4218750000,20296247,1,1.1012411112
7,23,7.4218750000,20321792,1,1.1026271410
7,24,7.4218750000,20321206,1,1.1025953456
7,25,7.4218750000,20295466,1,1.1011987354
7,26,7.4218750000,20322934,1,1.1026891041
7,27,7.4218750000,20319474,1,1.1025013702
7,28,7.4218750000,20317020,1,1.1023682201
7,29,7.4218750000,20347959,1,1.1040469196
