# Baseline 18429394.766666666, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,47877286,0,1.2863795111
1,452.5000000000,9.5000000000,7.5000000000,37711186,0,2.5978761976
2,228.7500000000,7.2500000000,6.2500000000,27282328,0,2.0462520054
3,116.8750000000,6.1250000000,5.6250000000,22883151,0,1.4803702642
4,60.9375000000,5.5625000000,5.3125000000,21031780,0,1.2416658979
5,88.9062500000,5.8437500000,5.4687500000,21864346,1,1.1412083938
6,74.9218750000,5.7031250000,5.3906250000,21493830,1,1.1863843754
7,81.9140625000,5.7734375000,5.4296875000,21678234,1,1.1662797543
8,78.4179687500,5.7382812500,5.4101562500,21585040,1,1.1762857258
9,80.1660156250,5.7558593750,5.4199218750,21630283,1,1.1712289130
