# Baseline 35849, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,64689,0,1.8044854808
0,1,950.0000000000,64748,0,1.8061312728
0,2,950.0000000000,64775,0,1.8068844319
0,3,950.0000000000,64842,0,1.8087533822
0,4,950.0000000000,64798,0,1.8075260119
0,5,950.0000000000,64818,0,1.8080839075
0,6,950.0000000000,64815,0,1.8080002232
0,7,950.0000000000,64858,0,1.8091996987
0,8,950.0000000000,64739,0,1.8058802198
0,9,950.0000000000,64712,0,1.8051270607
0,10,950.0000000000,64769,0,1.8067170632
0,11,950.0000000000,64746,0,1.8060754833
0,12,950.0000000000,64945,0,1.8116265447
0,13,950.0000000000,64843,0,1.8087812770
0,14,950.0000000000,64778,0,1.8069681163
0,15,950.0000000000,64877,0,1.8097296996
0,16,950.0000000000,64803,0,1.8076654858
0,17,950.0000000000,64787,0,1.8072191693
0,18,950.0000000000,64836,0,1.8085860136
0,19,950.0000000000,64896,0,1.8102597004
0,20,950.0000000000,64790,0,1.8073028536
0,21,950.0000000000,64782,0,1.8070796954
0,22,950.0000000000,64763,0,1.8065496946
0,23,950.0000000000,64787,0,1.8072191693
0,24,950.0000000000,64769,0,1.8067170632
0,25,950.0000000000,64692,0,1.8045691651
0,26,950.0000000000,64821,0,1.8081675918
0,27,950.0000000000,64837,0,1.8086139083
0,28,950.0000000000,64854,0,1.8090881196
0,29,950.0000000000,64829,0,1.8083907501
1,0,475.0000000000,58224,0,1.6241457223
2,0,237.5000000000,51673,0,1.4414070127
3,0,118.7500000000,48190,0,1.3442494909
4,0,59.3750000000,46183,0,1.2882646657
5,0,29.6875000000,45526,0,1.2699377946
6,0,14.8437500000,42756,1,1.1926692516
6,1,14.8437500000,44226,0,1.2336745795
7,0,7.4218750000,38907,1,1.0853022400
7,1,7.4218750000,38895,1,1.0849675026
7,2,7.4218750000,38940,1,1.0862227677
7,3,7.4218750000,38926,1,1.0858322408
7,4,7.4218750000,38921,1,1.0856927669
7,5,7.4218750000,38945,1,1.0863622416
7,6,7.4218750000,38936,1,1.0861111886
7,7,7.4218750000,38915,1,1.0855253982
7,8,7.4218750000,38926,1,1.0858322408
7,9,7.4218750000,38925,1,1.0858043460
7,10,7.4218750000,38762,1,1.0812574967
7,11,7.4218750000,38756,1,1.0810901280
7,12,7.4218750000,38727,1,1.0802811794
7,13,7.4218750000,38778,1,1.0817038132
7,14,7.4218750000,38750,1,1.0809227594
7,15,7.4218750000,38772,1,1.0815364445
7,16,7.4218750000,38747,1,1.0808390750
7,17,7.4218750000,38747,1,1.0808390750
7,18,7.4218750000,38750,1,1.0809227594
7,19,7.4218750000,38773,1,1.0815643393
7,20,7.4218750000,38773,1,1.0815643393
7,21,7.4218750000,38933,1,1.0860275043
7,22,7.4218750000,38918,1,1.0856090825
7,23,7.4218750000,38932,1,1.0859996095
7,24,7.4218750000,38937,1,1.0861390834
7,25,7.4218750000,38925,1,1.0858043460
7,26,7.4218750000,38912,1,1.0854417139
7,27,7.4218750000,38923,1,1.0857485564
7,28,7.4218750000,38914,1,1.0854975034
7,29,7.4218750000,38913,1,1.0854696086
8,0,11.1328125000,41680,1,1.1626544673
8,1,11.1328125000,41662,1,1.1621523613
8,2,11.1328125000,41657,1,1.1620128874
8,3,11.1328125000,41147,1,1.1477865491
8,4,11.1328125000,41238,1,1.1503249742
8,5,11.1328125000,41423,1,1.1554855087
8,6,11.1328125000,41377,1,1.1542023487
8,7,11.1328125000,41911,1,1.1690981617
8,8,11.1328125000,41756,1,1.1647744707
8,9,11.1328125000,41681,1,1.1626823621
8,10,11.1328125000,41749,1,1.1645792072
8,11,11.1328125000,41830,1,1.1668386845
8,12,11.1328125000,41928,1,1.1695723730
8,13,11.1328125000,41547,1,1.1589444615
8,14,11.1328125000,41753,1,1.1646907864
8,15,11.1328125000,41539,1,1.1587213032
8,16,11.1328125000,41741,1,1.1643560490
8,17,11.1328125000,41696,1,1.1631007838
8,18,11.1328125000,41316,1,1.1525007671
8,19,11.1328125000,41260,1,1.1509386594
8,20,11.1328125000,41261,1,1.1509665542
8,21,11.1328125000,41207,1,1.1494602360
8,22,11.1328125000,41337,1,1.1530865575
8,23,11.1328125000,41427,1,1.1555970878
8,24,11.1328125000,41502,1,1.1576891964
8,25,11.1328125000,41426,1,1.1555691930
8,26,11.1328125000,41675,1,1.1625149934
8,27,11.1328125000,41726,1,1.1639376273
8,28,11.1328125000,41712,1,1.1635471003
8,29,11.1328125000,41373,1,1.1540907696
9,0,12.9882812500,40540,1,1.1308544171
9,1,12.9882812500,40579,1,1.1319423136
9,2,12.9882812500,40530,1,1.1305754693
9,3,12.9882812500,40566,1,1.1315796814
9,4,12.9882812500,40571,1,1.1317191553
9,5,12.9882812500,40558,1,1.1313565232
9,6,12.9882812500,40526,1,1.1304638902
9,7,12.9882812500,41535,1,1.1586097241
9,8,12.9882812500,40550,1,1.1311333649
9,9,12.9882812500,40549,1,1.1311054702
9,10,12.9882812500,40566,1,1.1315796814
9,11,12.9882812500,41596,1,1.1603113058
9,12,12.9882812500,40563,1,1.1314959971
9,13,12.9882812500,40556,1,1.1313007336
9,14,12.9882812500,40609,1,1.1327791570
9,15,12.9882812500,41561,1,1.1593349884
9,16,12.9882812500,41582,1,1.1599207788
9,17,12.9882812500,40564,1,1.1315238919
9,18,12.9882812500,41390,1,1.1545649809
9,19,12.9882812500,41556,1,1.1591955145
9,20,12.9882812500,41531,1,1.1584981450
9,21,12.9882812500,41526,1,1.1583586711
9,22,12.9882812500,41567,1,1.1595023571
9,23,12.9882812500,40575,1,1.1318307345
9,24,12.9882812500,40509,1,1.1299896789
9,25,12.9882812500,41549,1,1.1590002511
9,26,12.9882812500,41523,1,1.1582749867
9,27,12.9882812500,40520,1,1.1302965215
9,28,12.9882812500,40556,1,1.1313007336
9,29,12.9882812500,40554,1,1.1312449441
10,0,13.9160156250,41950,1,1.1701860582
10,1,13.9160156250,41375,1,1.1541465592
10,2,13.9160156250,42252,1,1.1786102820
10,3,13.9160156250,41809,1,1.1662528941
10,4,13.9160156250,42192,1,1.1769365952
10,5,13.9160156250,42315,1,1.1803676532
10,6,13.9160156250,41383,1,1.1543697174
10,7,13.9160156250,42136,1,1.1753744874
10,8,13.9160156250,41325,1,1.1527518201
10,9,13.9160156250,41373,1,1.1540907696
10,10,13.9160156250,41355,1,1.1535886636
10,11,13.9160156250,41381,1,1.1543139279
10,12,13.9160156250,42354,1,1.1814555497
10,13,13.9160156250,41346,1,1.1533376105
10,14,13.9160156250,41467,1,1.1567128790
10,15,13.9160156250,41617,1,1.1608970962
10,16,13.9160156250,42039,1,1.1726686937
10,17,13.9160156250,41355,1,1.1535886636
10,18,13.9160156250,42076,1,1.1737008006
10,19,13.9160156250,42312,1,1.1802839689
10,20,13.9160156250,42217,1,1.1776339647
10,21,13.9160156250,42316,1,1.1803955480
10,22,13.9160156250,41999,1,1.1715529025
10,23,13.9160156250,41347,1,1.1533655053
10,24,13.9160156250,41457,1,1.1564339312
10,25,13.9160156250,42312,1,1.1802839689
10,26,13.9160156250,41371,1,1.1540349801
10,27,13.9160156250,41332,1,1.1529470836
10,28,13.9160156250,41365,1,1.1538676114
10,29,13.9160156250,41374,1,1.1541186644
11,0,14.3798828125,41537,1,1.1586655137
11,1,14.3798828125,41639,1,1.1615107813
11,2,14.3798828125,42080,1,1.1738123797
11,3,14.3798828125,41495,1,1.1574939329
11,4,14.3798828125,42053,1,1.1730592206
11,5,14.3798828125,42000,1,1.1715807972
11,6,14.3798828125,42025,1,1.1722781668
11,7,14.3798828125,41503,1,1.1577170911
11,8,14.3798828125,41438,1,1.1559039304
11,9,14.3798828125,42159,1,1.1760160674
11,10,14.3798828125,41479,1,1.1570476164
11,11,14.3798828125,41543,1,1.1588328824
11,12,14.3798828125,41952,1,1.1702418478
11,13,14.3798828125,42095,1,1.1742308014
11,14,14.3798828125,41951,1,1.1702139530
11,15,14.3798828125,42060,1,1.1732544841
11,16,14.3798828125,41595,1,1.1602834110
11,17,14.3798828125,41503,1,1.1577170911
11,18,14.3798828125,41512,1,1.1579681442
11,19,14.3798828125,42088,1,1.1740355380
11,20,14.3798828125,42088,1,1.1740355380
11,21,14.3798828125,41617,1,1.1608970962
11,22,14.3798828125,41870,1,1.1679544757
11,23,14.3798828125,42091,1,1.1741192223
11,24,14.3798828125,42022,1,1.1721944824
11,25,14.3798828125,41804,1,1.1661134202
11,26,14.3798828125,41504,1,1.1577449859
11,27,14.3798828125,41587,1,1.1600602527
11,28,14.3798828125,41952,1,1.1702418478
11,29,14.3798828125,41845,1,1.1672571062
12,0,14.6118164062,42532,1,1.1864208207
12,1,14.6118164062,41504,1,1.1577449859
12,2,14.6118164062,43145,0,1.2035203213
13,0,14.4958496094,42157,1,1.1759602778
13,1,14.4958496094,41735,1,1.1641886803
13,2,14.4958496094,41890,1,1.1685123713
13,3,14.4958496094,43194,0,1.2048871656
14,0,14.4378662109,41505,1,1.1577728807
14,1,14.4378662109,42609,1,1.1885687188
14,2,14.4378662109,41490,1,1.1573544590
14,3,14.4378662109,41760,1,1.1648860498
14,4,14.4378662109,42538,1,1.1865881893
14,5,14.4378662109,42705,1,1.1912466178
14,6,14.4378662109,43237,0,1.2060866412
