# Baseline 3282, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,10420,0,3.1748933577
0,1,950.0000000000,10441,0,3.1812918952
0,2,950.0000000000,10306,0,3.1401584400
0,3,950.0000000000,10361,0,3.1569165143
0,4,950.0000000000,10439,0,3.1806825107
0,5,950.0000000000,10359,0,3.1563071298
0,6,950.0000000000,10436,0,3.1797684339
0,7,950.0000000000,10300,0,3.1383302864
0,8,950.0000000000,10362,0,3.1572212066
0,9,950.0000000000,10344,0,3.1517367459
0,10,950.0000000000,10329,0,3.1471663620
0,11,950.0000000000,10299,0,3.1380255941
0,12,950.0000000000,10279,0,3.1319317489
0,13,950.0000000000,10396,0,3.1675807434
0,14,950.0000000000,10332,0,3.1480804388
0,15,950.0000000000,10329,0,3.1471663620
0,16,950.0000000000,10403,0,3.1697135893
0,17,950.0000000000,10476,0,3.1919561243
0,18,950.0000000000,10208,0,3.1102985984
0,19,950.0000000000,10317,0,3.1435100548
0,20,950.0000000000,10257,0,3.1252285192
0,21,950.0000000000,10425,0,3.1764168190
0,22,950.0000000000,10346,0,3.1523461304
0,23,950.0000000000,10247,0,3.1221815966
0,24,950.0000000000,10298,0,3.1377209019
0,25,950.0000000000,10380,0,3.1627056673
0,26,950.0000000000,10248,0,3.1224862888
0,27,950.0000000000,10335,0,3.1489945155
0,28,950.0000000000,10304,0,3.1395490555
0,29,950.0000000000,10234,0,3.1182205972
1,0,475.0000000000,8451,0,2.5749542962
2,0,237.5000000000,6587,0,2.0070079220
3,0,118.7500000000,6055,0,1.8449116392
4,0,59.3750000000,5680,0,1.7306520414
5,0,29.6875000000,5508,0,1.6782449726
6,0,14.8437500000,4250,0,1.2949421085
7,0,7.4218750000,3845,1,1.1715417428
7,1,7.4218750000,3837,1,1.1691042048
7,2,7.4218750000,3822,1,1.1645338208
7,3,7.4218750000,3835,1,1.1684948202
7,4,7.4218750000,3834,1,1.1681901280
7,5,7.4218750000,3829,1,1.1666666667
7,6,7.4218750000,3834,1,1.1681901280
7,7,7.4218750000,3832,1,1.1675807434
7,8,7.4218750000,3821,1,1.1642291286
7,9,7.4218750000,3861,1,1.1764168190
7,10,7.4218750000,3833,1,1.1678854357
7,11,7.4218750000,3892,1,1.1858622791
7,12,7.4218750000,3850,1,1.1730652041
7,13,7.4218750000,3825,1,1.1654478976
7,14,7.4218750000,3834,1,1.1681901280
7,15,7.4218750000,3842,1,1.1706276661
7,16,7.4218750000,3830,1,1.1669713589
7,17,7.4218750000,3837,1,1.1691042048
7,18,7.4218750000,3835,1,1.1684948202
7,19,7.4218750000,3841,1,1.1703229738
7,20,7.4218750000,3852,1,1.1736745887
7,21,7.4218750000,3852,1,1.1736745887
7,22,7.4218750000,3834,1,1.1681901280
7,23,7.4218750000,3838,1,1.1694088970
7,24,7.4218750000,3837,1,1.1691042048
7,25,7.4218750000,3822,1,1.1645338208
7,26,7.4218750000,3809,1,1.1605728215
7,27,7.4218750000,3824,1,1.1651432054
7,28,7.4218750000,3819,1,1.1636197441
7,29,7.4218750000,3828,1,1.1663619744
8,0,11.1328125000,4449,0,1.3555758684
9,0,9.2773437500,3917,1,1.1934795856
9,1,9.2773437500,4033,0,1.2288238879
10,0,8.3496093750,3834,1,1.1681901280
10,1,8.3496093750,3831,1,1.1672760512
10,2,8.3496093750,3847,1,1.1721511274
10,3,8.3496093750,3850,1,1.1730652041
10,4,8.3496093750,3866,1,1.1779402803
10,5,8.3496093750,3832,1,1.1675807434
10,6,8.3496093750,3902,1,1.1889092017
10,7,8.3496093750,4001,0,1.2190737355
11,0,7.8857421875,3797,1,1.1569165143
11,1,7.8857421875,3808,1,1.1602681292
11,2,7.8857421875,3801,1,1.1581352834
11,3,7.8857421875,3792,1,1.1553930530
11,4,7.8857421875,3802,1,1.1584399756
11,5,7.8857421875,3798,1,1.1572212066
11,6,7.8857421875,3797,1,1.1569165143
11,7,7.8857421875,3804,1,1.1590493601
11,8,7.8857421875,3806,1,1.1596587447
11,9,7.8857421875,3797,1,1.1569165143
11,10,7.8857421875,3808,1,1.1602681292
11,11,7.8857421875,3821,1,1.1642291286
11,12,7.8857421875,3800,1,1.1578305911
11,13,7.8857421875,3802,1,1.1584399756
11,14,7.8857421875,3798,1,1.1572212066
11,15,7.8857421875,3806,1,1.1596587447
11,16,7.8857421875,3804,1,1.1590493601
11,17,7.8857421875,3804,1,1.1590493601
11,18,7.8857421875,3797,1,1.1569165143
11,19,7.8857421875,3808,1,1.1602681292
11,20,7.8857421875,3792,1,1.1553930530
11,21,7.8857421875,3829,1,1.1666666667
11,22,7.8857421875,3839,1,1.1697135893
11,23,7.8857421875,3831,1,1.1672760512
11,24,7.8857421875,3828,1,1.1663619744
11,25,7.8857421875,3834,1,1.1681901280
11,26,7.8857421875,3819,1,1.1636197441
11,27,7.8857421875,3835,1,1.1684948202
11,28,7.8857421875,3841,1,1.1703229738
11,29,7.8857421875,3822,1,1.1645338208
12,0,8.1176757812,3834,1,1.1681901280
12,1,8.1176757812,3906,1,1.1901279707
12,2,8.1176757812,3827,1,1.1660572821
12,3,8.1176757812,3858,1,1.1755027422
12,4,8.1176757812,3844,1,1.1712370506
12,5,8.1176757812,3839,1,1.1697135893
12,6,8.1176757812,3834,1,1.1681901280
12,7,8.1176757812,3892,1,1.1858622791
12,8,8.1176757812,3857,1,1.1751980500
12,9,8.1176757812,3841,1,1.1703229738
12,10,8.1176757812,3857,1,1.1751980500
12,11,8.1176757812,3839,1,1.1697135893
12,12,8.1176757812,3839,1,1.1697135893
12,13,8.1176757812,3836,1,1.1687995125
12,14,8.1176757812,3809,1,1.1605728215
12,15,8.1176757812,3818,1,1.1633150518
12,16,8.1176757812,3917,1,1.1934795856
12,17,8.1176757812,3835,1,1.1684948202
12,18,8.1176757812,3855,1,1.1745886654
12,19,8.1176757812,3848,1,1.1724558196
12,20,8.1176757812,3839,1,1.1697135893
12,21,8.1176757812,3825,1,1.1654478976
12,22,8.1176757812,3851,1,1.1733698964
12,23,8.1176757812,3840,1,1.1700182815
12,24,8.1176757812,3840,1,1.1700182815
12,25,8.1176757812,3869,1,1.1788543571
12,26,8.1176757812,3869,1,1.1788543571
12,27,8.1176757812,3834,1,1.1681901280
12,28,8.1176757812,3864,1,1.1773308958
12,29,8.1176757812,3910,1,1.1913467398
13,0,8.2336425781,3842,1,1.1706276661
13,1,8.2336425781,3846,1,1.1718464351
13,2,8.2336425781,3842,1,1.1706276661
13,3,8.2336425781,3855,1,1.1745886654
13,4,8.2336425781,3958,0,1.2059719683
14,0,8.1756591797,3839,1,1.1697135893
14,1,8.1756591797,3932,1,1.1980499695
14,2,8.1756591797,3871,1,1.1794637416
14,3,8.1756591797,3843,1,1.1709323583
14,4,8.1756591797,3841,1,1.1703229738
14,5,8.1756591797,3846,1,1.1718464351
14,6,8.1756591797,3844,1,1.1712370506
14,7,8.1756591797,3834,1,1.1681901280
14,8,8.1756591797,3861,1,1.1764168190
14,9,8.1756591797,3849,1,1.1727605119
14,10,8.1756591797,3831,1,1.1672760512
14,11,8.1756591797,3837,1,1.1691042048
14,12,8.1756591797,3849,1,1.1727605119
14,13,8.1756591797,3837,1,1.1691042048
14,14,8.1756591797,3833,1,1.1678854357
14,15,8.1756591797,3835,1,1.1684948202
14,16,8.1756591797,3831,1,1.1672760512
14,17,8.1756591797,3842,1,1.1706276661
14,18,8.1756591797,3850,1,1.1730652041
14,19,8.1756591797,3843,1,1.1709323583
14,20,8.1756591797,3830,1,1.1669713589
14,21,8.1756591797,3839,1,1.1697135893
14,22,8.1756591797,3852,1,1.1736745887
14,23,8.1756591797,3848,1,1.1724558196
14,24,8.1756591797,3838,1,1.1694088970
14,25,8.1756591797,3835,1,1.1684948202
14,26,8.1756591797,3837,1,1.1691042048
14,27,8.1756591797,3832,1,1.1675807434
14,28,8.1756591797,3847,1,1.1721511274
14,29,8.1756591797,3975,0,1.2111517367
