# Baseline 3274.266666666667, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,11137,1,1.1736838498
1,452.5000000000,9.5000000000,7.5000000000,7401,0,3.4013723175
2,228.7500000000,7.2500000000,6.2500000000,5312,0,2.2603534634
3,116.8750000000,6.1250000000,5.6250000000,4432,0,1.6223480067
4,60.9375000000,5.5625000000,5.3125000000,4011,0,1.3535855357
5,32.9687500000,5.2812500000,5.1562500000,3865,0,1.2250071263
6,46.9531250000,5.4218750000,5.2343750000,3888,1,1.1804169890
7,39.9609375000,5.3515625000,5.1953125000,3916,1,1.1874414627
8,43.4570312500,5.3867187500,5.2148437500,4030,1,1.1959929959
9,24.2285156250,5.1933593750,5.1074218750,3779,0,1.2308099524
