# Baseline 629, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1148,0,1.8251192369
0,1,950.0000000000,1161,0,1.8457869634
0,2,950.0000000000,1195,0,1.8998410175
0,3,950.0000000000,1166,0,1.8537360890
0,4,950.0000000000,1161,0,1.8457869634
0,5,950.0000000000,1205,0,1.9157392687
0,6,950.0000000000,1139,0,1.8108108108
0,7,950.0000000000,1194,0,1.8982511924
0,8,950.0000000000,1199,0,1.9062003180
0,9,950.0000000000,1194,0,1.8982511924
0,10,950.0000000000,1144,0,1.8187599364
0,11,950.0000000000,1189,0,1.8903020668
0,12,950.0000000000,1159,0,1.8426073132
0,13,950.0000000000,1199,0,1.9062003180
0,14,950.0000000000,1134,0,1.8028616852
0,15,950.0000000000,1156,0,1.8378378378
0,16,950.0000000000,1156,0,1.8378378378
0,17,950.0000000000,1187,0,1.8871224165
0,18,950.0000000000,1181,0,1.8775834658
0,19,950.0000000000,1207,0,1.9189189189
0,20,950.0000000000,1192,0,1.8950715421
0,21,950.0000000000,1146,0,1.8219395866
0,22,950.0000000000,1164,0,1.8505564388
0,23,950.0000000000,1183,0,1.8807631161
0,24,950.0000000000,1189,0,1.8903020668
0,25,950.0000000000,1159,0,1.8426073132
0,26,950.0000000000,1154,0,1.8346581876
0,27,950.0000000000,1158,0,1.8410174881
0,28,950.0000000000,1148,0,1.8251192369
0,29,950.0000000000,1167,0,1.8553259141
1,0,475.0000000000,1113,0,1.7694753577
2,0,237.5000000000,1034,0,1.6438791733
3,0,118.7500000000,917,0,1.4578696343
4,0,59.3750000000,862,0,1.3704292528
5,0,29.6875000000,799,0,1.2702702703
6,0,14.8437500000,757,0,1.2034976153
7,0,7.4218750000,702,1,1.1160572337
7,1,7.4218750000,705,1,1.1208267091
7,2,7.4218750000,704,1,1.1192368839
7,3,7.4218750000,702,1,1.1160572337
7,4,7.4218750000,704,1,1.1192368839
7,5,7.4218750000,704,1,1.1192368839
7,6,7.4218750000,705,1,1.1208267091
7,7,7.4218750000,704,1,1.1192368839
7,8,7.4218750000,701,1,1.1144674086
7,9,7.4218750000,706,1,1.1224165342
7,10,7.4218750000,701,1,1.1144674086
7,11,7.4218750000,703,1,1.1176470588
7,12,7.4218750000,704,1,1.1192368839
7,13,7.4218750000,704,1,1.1192368839
7,14,7.4218750000,706,1,1.1224165342
7,15,7.4218750000,702,1,1.1160572337
7,16,7.4218750000,705,1,1.1208267091
7,17,7.4218750000,704,1,1.1192368839
7,18,7.4218750000,705,1,1.1208267091
7,19,7.4218750000,705,1,1.1208267091
7,20,7.4218750000,705,1,1.1208267091
7,21,7.4218750000,704,1,1.1192368839
7,22,7.4218750000,700,1,1.1128775835
7,23,7.4218750000,691,1,1.0985691574
7,24,7.4218750000,692,1,1.1001589825
7,25,7.4218750000,690,1,1.0969793323
7,26,7.4218750000,693,1,1.1017488076
7,27,7.4218750000,693,1,1.1017488076
7,28,7.4218750000,692,1,1.1001589825
7,29,7.4218750000,693,1,1.1017488076
8,0,11.1328125000,770,0,1.2241653418
9,0,9.2773437500,716,1,1.1383147854
9,1,9.2773437500,705,1,1.1208267091
9,2,9.2773437500,711,1,1.1303656598
9,3,9.2773437500,709,1,1.1271860095
9,4,9.2773437500,710,1,1.1287758347
9,5,9.2773437500,708,1,1.1255961844
9,6,9.2773437500,709,1,1.1271860095
9,7,9.2773437500,712,1,1.1319554849
9,8,9.2773437500,713,1,1.1335453100
9,9,9.2773437500,716,1,1.1383147854
9,10,9.2773437500,711,1,1.1303656598
9,11,9.2773437500,709,1,1.1271860095
9,12,9.2773437500,709,1,1.1271860095
9,13,9.2773437500,714,1,1.1351351351
9,14,9.2773437500,710,1,1.1287758347
9,15,9.2773437500,710,1,1.1287758347
9,16,9.2773437500,715,1,1.1367249603
9,17,9.2773437500,712,1,1.1319554849
9,18,9.2773437500,712,1,1.1319554849
9,19,9.2773437500,713,1,1.1335453100
9,20,9.2773437500,709,1,1.1271860095
9,21,9.2773437500,712,1,1.1319554849
9,22,9.2773437500,712,1,1.1319554849
9,23,9.2773437500,711,1,1.1303656598
9,24,9.2773437500,708,1,1.1255961844
9,25,9.2773437500,716,1,1.1383147854
9,26,9.2773437500,707,1,1.1240063593
9,27,9.2773437500,710,1,1.1287758347
9,28,9.2773437500,709,1,1.1271860095
9,29,9.2773437500,709,1,1.1271860095
10,0,10.2050781250,733,1,1.1653418124
10,1,10.2050781250,730,1,1.1605723370
10,2,10.2050781250,735,1,1.1685214626
10,3,10.2050781250,733,1,1.1653418124
10,4,10.2050781250,732,1,1.1637519873
10,5,10.2050781250,734,1,1.1669316375
10,6,10.2050781250,724,1,1.1510333863
10,7,10.2050781250,733,1,1.1653418124
10,8,10.2050781250,724,1,1.1510333863
10,9,10.2050781250,735,1,1.1685214626
10,10,10.2050781250,721,1,1.1462639110
10,11,10.2050781250,734,1,1.1669316375
10,12,10.2050781250,739,1,1.1748807631
10,13,10.2050781250,737,1,1.1717011129
10,14,10.2050781250,726,1,1.1542130366
10,15,10.2050781250,737,1,1.1717011129
10,16,10.2050781250,725,1,1.1526232114
10,17,10.2050781250,728,1,1.1573926868
10,18,10.2050781250,729,1,1.1589825119
10,19,10.2050781250,731,1,1.1621621622
10,20,10.2050781250,735,1,1.1685214626
10,21,10.2050781250,723,1,1.1494435612
10,22,10.2050781250,728,1,1.1573926868
10,23,10.2050781250,735,1,1.1685214626
10,24,10.2050781250,725,1,1.1526232114
10,25,10.2050781250,731,1,1.1621621622
10,26,10.2050781250,733,1,1.1653418124
10,27,10.2050781250,727,1,1.1558028617
10,28,10.2050781250,734,1,1.1669316375
10,29,10.2050781250,728,1,1.1573926868
11,0,10.6689453125,732,1,1.1637519873
11,1,10.6689453125,725,1,1.1526232114
11,2,10.6689453125,733,1,1.1653418124
11,3,10.6689453125,734,1,1.1669316375
11,4,10.6689453125,734,1,1.1669316375
11,5,10.6689453125,729,1,1.1589825119
11,6,10.6689453125,730,1,1.1605723370
11,7,10.6689453125,731,1,1.1621621622
11,8,10.6689453125,753,1,1.1971383148
11,9,10.6689453125,731,1,1.1621621622
11,10,10.6689453125,746,1,1.1860095390
11,11,10.6689453125,730,1,1.1605723370
11,12,10.6689453125,744,1,1.1828298887
11,13,10.6689453125,731,1,1.1621621622
11,14,10.6689453125,728,1,1.1573926868
11,15,10.6689453125,742,1,1.1796502385
11,16,10.6689453125,730,1,1.1605723370
11,17,10.6689453125,737,1,1.1717011129
11,18,10.6689453125,735,1,1.1685214626
11,19,10.6689453125,733,1,1.1653418124
11,20,10.6689453125,729,1,1.1589825119
11,21,10.6689453125,735,1,1.1685214626
11,22,10.6689453125,732,1,1.1637519873
11,23,10.6689453125,731,1,1.1621621622
11,24,10.6689453125,726,1,1.1542130366
11,25,10.6689453125,746,1,1.1860095390
11,26,10.6689453125,735,1,1.1685214626
11,27,10.6689453125,731,1,1.1621621622
11,28,10.6689453125,733,1,1.1653418124
11,29,10.6689453125,726,1,1.1542130366
12,0,10.9008789062,742,1,1.1796502385
12,1,10.9008789062,744,1,1.1828298887
12,2,10.9008789062,742,1,1.1796502385
12,3,10.9008789062,757,0,1.2034976153
13,0,10.7849121094,740,1,1.1764705882
13,1,10.7849121094,742,1,1.1796502385
13,2,10.7849121094,741,1,1.1780604134
13,3,10.7849121094,743,1,1.1812400636
13,4,10.7849121094,754,1,1.1987281399
13,5,10.7849121094,743,1,1.1812400636
13,6,10.7849121094,740,1,1.1764705882
13,7,10.7849121094,741,1,1.1780604134
13,8,10.7849121094,742,1,1.1796502385
13,9,10.7849121094,741,1,1.1780604134
13,10,10.7849121094,736,1,1.1701112878
13,11,10.7849121094,740,1,1.1764705882
13,12,10.7849121094,748,1,1.1891891892
13,13,10.7849121094,738,1,1.1732909380
13,14,10.7849121094,740,1,1.1764705882
13,15,10.7849121094,743,1,1.1812400636
13,16,10.7849121094,739,1,1.1748807631
13,17,10.7849121094,740,1,1.1764705882
13,18,10.7849121094,737,1,1.1717011129
13,19,10.7849121094,737,1,1.1717011129
13,20,10.7849121094,742,1,1.1796502385
13,21,10.7849121094,733,1,1.1653418124
13,22,10.7849121094,743,1,1.1812400636
13,23,10.7849121094,738,1,1.1732909380
13,24,10.7849121094,742,1,1.1796502385
13,25,10.7849121094,738,1,1.1732909380
13,26,10.7849121094,745,1,1.1844197138
13,27,10.7849121094,741,1,1.1780604134
13,28,10.7849121094,741,1,1.1780604134
13,29,10.7849121094,739,1,1.1748807631
14,0,10.8428955078,749,1,1.1907790143
14,1,10.8428955078,745,1,1.1844197138
14,2,10.8428955078,733,1,1.1653418124
14,3,10.8428955078,741,1,1.1780604134
14,4,10.8428955078,739,1,1.1748807631
