# Baseline 66, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,191,0,2.8939393939
0,1,950.0000000000,185,0,2.8030303030
0,2,950.0000000000,183,0,2.7727272727
0,3,950.0000000000,183,0,2.7727272727
0,4,950.0000000000,187,0,2.8333333333
0,5,950.0000000000,218,0,3.3030303030
0,6,950.0000000000,182,0,2.7575757576
0,7,950.0000000000,209,0,3.1666666667
0,8,950.0000000000,206,0,3.1212121212
0,9,950.0000000000,209,0,3.1666666667
0,10,950.0000000000,181,0,2.7424242424
0,11,950.0000000000,189,0,2.8636363636
0,12,950.0000000000,197,0,2.9848484848
0,13,950.0000000000,218,0,3.3030303030
0,14,950.0000000000,200,0,3.0303030303
0,15,950.0000000000,192,0,2.9090909091
0,16,950.0000000000,180,0,2.7272727273
0,17,950.0000000000,177,0,2.6818181818
0,18,950.0000000000,182,0,2.7575757576
0,19,950.0000000000,187,0,2.8333333333
0,20,950.0000000000,167,0,2.5303030303
0,21,950.0000000000,189,0,2.8636363636
0,22,950.0000000000,199,0,3.0151515152
0,23,950.0000000000,198,0,3.0000000000
0,24,950.0000000000,184,0,2.7878787879
0,25,950.0000000000,188,0,2.8484848485
0,26,950.0000000000,188,0,2.8484848485
0,27,950.0000000000,181,0,2.7424242424
0,28,950.0000000000,197,0,2.9848484848
0,29,950.0000000000,179,0,2.7121212121
1,0,475.0000000000,171,0,2.5909090909
2,0,237.5000000000,176,0,2.6666666667
3,0,118.7500000000,92,0,1.3939393939
4,0,59.3750000000,121,0,1.8333333333
5,0,29.6875000000,89,0,1.3484848485
6,0,14.8437500000,106,0,1.6060606061
7,0,7.4218750000,73,1,1.1060606061
7,1,7.4218750000,72,1,1.0909090909
7,2,7.4218750000,72,1,1.0909090909
7,3,7.4218750000,74,1,1.1212121212
7,4,7.4218750000,72,1,1.0909090909
7,5,7.4218750000,73,1,1.1060606061
7,6,7.4218750000,73,1,1.1060606061
7,7,7.4218750000,75,1,1.1363636364
7,8,7.4218750000,75,1,1.1363636364
7,9,7.4218750000,74,1,1.1212121212
7,10,7.4218750000,72,1,1.0909090909
7,11,7.4218750000,76,1,1.1515151515
7,12,7.4218750000,73,1,1.1060606061
7,13,7.4218750000,76,1,1.1515151515
7,14,7.4218750000,73,1,1.1060606061
7,15,7.4218750000,73,1,1.1060606061
7,16,7.4218750000,74,1,1.1212121212
7,17,7.4218750000,73,1,1.1060606061
7,18,7.4218750000,72,1,1.0909090909
7,19,7.4218750000,71,1,1.0757575758
7,20,7.4218750000,73,1,1.1060606061
7,21,7.4218750000,72,1,1.0909090909
7,22,7.4218750000,73,1,1.1060606061
7,23,7.4218750000,76,1,1.1515151515
7,24,7.4218750000,75,1,1.1363636364
7,25,7.4218750000,73,1,1.1060606061
7,26,7.4218750000,73,1,1.1060606061
7,27,7.4218750000,73,1,1.1060606061
7,28,7.4218750000,72,1,1.0909090909
7,29,7.4218750000,72,1,1.0909090909
8,0,11.1328125000,80,0,1.2121212121
9,0,9.2773437500,77,1,1.1666666667
9,1,9.2773437500,76,1,1.1515151515
9,2,9.2773437500,79,1,1.1969696970
9,3,9.2773437500,89,0,1.3484848485
10,0,8.3496093750,76,1,1.1515151515
10,1,8.3496093750,78,1,1.1818181818
10,2,8.3496093750,74,1,1.1212121212
10,3,8.3496093750,75,1,1.1363636364
10,4,8.3496093750,75,1,1.1363636364
10,5,8.3496093750,74,1,1.1212121212
10,6,8.3496093750,74,1,1.1212121212
10,7,8.3496093750,78,1,1.1818181818
10,8,8.3496093750,77,1,1.1666666667
10,9,8.3496093750,75,1,1.1363636364
10,10,8.3496093750,74,1,1.1212121212
10,11,8.3496093750,75,1,1.1363636364
10,12,8.3496093750,74,1,1.1212121212
10,13,8.3496093750,73,1,1.1060606061
10,14,8.3496093750,76,1,1.1515151515
10,15,8.3496093750,74,1,1.1212121212
10,16,8.3496093750,73,1,1.1060606061
10,17,8.3496093750,74,1,1.1212121212
10,18,8.3496093750,76,1,1.1515151515
10,19,8.3496093750,74,1,1.1212121212
10,20,8.3496093750,76,1,1.1515151515
10,21,8.3496093750,75,1,1.1363636364
10,22,8.3496093750,76,1,1.1515151515
10,23,8.3496093750,75,1,1.1363636364
10,24,8.3496093750,78,1,1.1818181818
10,25,8.3496093750,75,1,1.1363636364
10,26,8.3496093750,75,1,1.1363636364
10,27,8.3496093750,74,1,1.1212121212
10,28,8.3496093750,78,1,1.1818181818
10,29,8.3496093750,76,1,1.1515151515
11,0,8.8134765625,78,1,1.1818181818
11,1,8.8134765625,75,1,1.1363636364
11,2,8.8134765625,75,1,1.1363636364
11,3,8.8134765625,76,1,1.1515151515
11,4,8.8134765625,76,1,1.1515151515
11,5,8.8134765625,76,1,1.1515151515
11,6,8.8134765625,76,1,1.1515151515
11,7,8.8134765625,75,1,1.1363636364
11,8,8.8134765625,77,1,1.1666666667
11,9,8.8134765625,78,1,1.1818181818
11,10,8.8134765625,80,0,1.2121212121
12,0,8.5815429688,74,1,1.1212121212
12,1,8.5815429688,75,1,1.1363636364
12,2,8.5815429688,75,1,1.1363636364
12,3,8.5815429688,76,1,1.1515151515
12,4,8.5815429688,81,0,1.2272727273
13,0,8.4655761719,75,1,1.1363636364
13,1,8.4655761719,79,1,1.1969696970
13,2,8.4655761719,83,0,1.2575757576
14,0,8.4075927734,77,1,1.1666666667
14,1,8.4075927734,76,1,1.1515151515
14,2,8.4075927734,77,1,1.1666666667
14,3,8.4075927734,77,1,1.1666666667
14,4,8.4075927734,75,1,1.1363636364
14,5,8.4075927734,80,0,1.2121212121
