# Baseline 63.166666666666664, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,206,1,1.1541515657
1,452.5000000000,9.5000000000,7.5000000000,153,0,3.2612137203
2,228.7500000000,7.2500000000,6.2500000000,75,0,2.4221635884
3,340.6250000000,8.3750000000,6.8750000000,147,1,1.1873350923
4,172.8125000000,6.6875000000,5.9375000000,120,0,2.3271767810
5,88.9062500000,5.8437500000,5.4687500000,72,0,1.8997361478
6,130.8593750000,6.2656250000,5.7031250000,124,1,1.1398416887
7,67.9296875000,5.6328125000,5.3515625000,72,0,1.9630606860
8,99.3945312500,5.9492187500,5.5273437500,71,1,1.1398416887
9,83.6621093750,5.7910156250,5.4394531250,72,1,1.1240105541
