# Baseline 825108, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,2743828,0,3.3254167939
0,1,950.0000000000,2742662,0,3.3240036456
0,2,950.0000000000,2743654,0,3.3252059124
0,3,950.0000000000,2742674,0,3.3240181891
0,4,950.0000000000,2742435,0,3.3237285301
0,5,950.0000000000,2742901,0,3.3242933046
0,6,950.0000000000,2742831,0,3.3242084673
0,7,950.0000000000,2742169,0,3.3234061480
0,8,950.0000000000,2739482,0,3.3201496047
0,9,950.0000000000,2742212,0,3.3234582624
0,10,950.0000000000,2743073,0,3.3245017622
0,11,950.0000000000,2742365,0,3.3236436927
0,12,950.0000000000,2742721,0,3.3240751514
0,13,950.0000000000,2743035,0,3.3244557076
0,14,950.0000000000,2742617,0,3.3239491073
0,15,950.0000000000,2743132,0,3.3245732680
0,16,950.0000000000,2743872,0,3.3254701203
0,17,950.0000000000,2742766,0,3.3241296897
0,18,950.0000000000,2743611,0,3.3251537980
0,19,950.0000000000,2742330,0,3.3236012740
0,20,950.0000000000,2742757,0,3.3241187820
0,21,950.0000000000,2742896,0,3.3242872448
0,22,950.0000000000,2742150,0,3.3233831208
0,23,950.0000000000,2743678,0,3.3252349995
0,24,950.0000000000,2740995,0,3.3219833040
0,25,950.0000000000,2743840,0,3.3254313375
0,26,950.0000000000,2743136,0,3.3245781158
0,27,950.0000000000,2742504,0,3.3238121555
0,28,950.0000000000,2743858,0,3.3254531528
0,29,950.0000000000,2742294,0,3.3235576434
1,0,475.0000000000,2385451,0,2.8910772893
2,0,237.5000000000,1974747,0,2.3933194200
3,0,118.7500000000,1804051,0,2.1864422597
4,0,59.3750000000,1706460,0,2.0681656220
5,0,29.6875000000,1655392,0,2.0062731182
6,0,14.8437500000,1477510,0,1.7906867949
7,0,7.4218750000,1096920,0,1.3294259661
8,0,3.7109375000,949503,1,1.1507620821
8,1,3.7109375000,949467,1,1.1507184514
8,2,3.7109375000,949864,1,1.1511996005
8,3,3.7109375000,949413,1,1.1506530054
8,4,3.7109375000,950078,1,1.1514589605
8,5,3.7109375000,949758,1,1.1510711325
8,6,3.7109375000,950149,1,1.1515450099
8,7,3.7109375000,949413,1,1.1506530054
8,8,3.7109375000,950067,1,1.1514456289
8,9,3.7109375000,950908,1,1.1524648894
8,10,3.7109375000,949812,1,1.1511365785
8,11,3.7109375000,949391,1,1.1506263422
8,12,3.7109375000,950634,1,1.1521328117
8,13,3.7109375000,949593,1,1.1508711587
8,14,3.7109375000,949609,1,1.1508905501
8,15,3.7109375000,949749,1,1.1510602248
8,16,3.7109375000,950838,1,1.1523800521
8,17,3.7109375000,949746,1,1.1510565890
8,18,3.7109375000,949510,1,1.1507705658
8,19,3.7109375000,949336,1,1.1505596843
8,20,3.7109375000,949647,1,1.1509366047
8,21,3.7109375000,949775,1,1.1510917359
8,22,3.7109375000,949462,1,1.1507123916
8,23,3.7109375000,950802,1,1.1523364214
8,24,3.7109375000,950872,1,1.1524212588
8,25,3.7109375000,949821,1,1.1511474861
8,26,3.7109375000,949953,1,1.1513074652
8,27,3.7109375000,949417,1,1.1506578533
8,28,3.7109375000,949636,1,1.1509232731
8,29,3.7109375000,949976,1,1.1513353403
9,0,5.5664062500,966111,1,1.1708903562
9,1,5.5664062500,967266,1,1.1722901729
9,2,5.5664062500,965741,1,1.1704419300
9,3,5.5664062500,965308,1,1.1699171502
9,4,5.5664062500,965697,1,1.1703886037
9,5,5.5664062500,966155,1,1.1709436825
9,6,5.5664062500,965589,1,1.1702577117
9,7,5.5664062500,965894,1,1.1706273603
9,8,5.5664062500,966892,1,1.1718368989
9,9,5.5664062500,967302,1,1.1723338036
9,10,5.5664062500,966063,1,1.1708321820
9,11,5.5664062500,966293,1,1.1711109334
9,12,5.5664062500,966933,1,1.1718865894
9,13,5.5664062500,965804,1,1.1705182837
9,14,5.5664062500,967301,1,1.1723325916
9,15,5.5664062500,966406,1,1.1712478851
9,16,5.5664062500,967596,1,1.1726901206
9,17,5.5664062500,966287,1,1.1711036616
9,18,5.5664062500,967511,1,1.1725871037
