# Baseline 824939.7333333333, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,2892515,1,1.1398416887
1,452.5000000000,9.5000000000,7.5000000000,2267662,0,3.5063349274
2,228.7500000000,7.2500000000,6.2500000000,1439009,0,2.7488820193
3,116.8750000000,6.1250000000,5.6250000000,1155301,0,1.7443807612
4,60.9375000000,5.5625000000,5.3125000000,1048609,0,1.4004671533
5,32.9687500000,5.2812500000,5.1562500000,1013526,0,1.2711340691
6,18.9843750000,5.1406250000,5.0781250000,994917,0,1.2286061139
7,11.9921875000,5.0703125000,5.0390625000,977598,0,1.2060481024
8,15.4882812500,5.1054687500,5.0585937500,981495,1,1.1850538415
9,13.7402343750,5.0878906250,5.0488281250,979171,1,1.1897778230
