# Baseline 844062, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1480069,0,1.7535074438
0,1,950.0000000000,1479818,0,1.7532100722
0,2,950.0000000000,1479932,0,1.7533451334
0,3,950.0000000000,1479690,0,1.7530584246
0,4,950.0000000000,1479864,0,1.7532645706
0,5,950.0000000000,1479800,0,1.7531887468
0,6,950.0000000000,1479807,0,1.7531970400
0,7,950.0000000000,1479463,0,1.7527894870
0,8,950.0000000000,1479941,0,1.7533557961
0,9,950.0000000000,1479743,0,1.7531212162
0,10,950.0000000000,1479955,0,1.7533723826
0,11,950.0000000000,1479540,0,1.7528807126
0,12,950.0000000000,1479771,0,1.7531543891
0,13,950.0000000000,1480122,0,1.7535702354
0,14,950.0000000000,1479332,0,1.7526342852
0,15,950.0000000000,1480048,0,1.7534825641
0,16,950.0000000000,1479895,0,1.7533012978
0,17,950.0000000000,1479425,0,1.7527444666
0,18,950.0000000000,1480111,0,1.7535572031
0,19,950.0000000000,1486112,0,1.7606668704
0,20,950.0000000000,1485759,0,1.7602486547
0,21,950.0000000000,1486138,0,1.7606976739
0,22,950.0000000000,1486034,0,1.7605744602
0,23,950.0000000000,1486126,0,1.7606834569
0,24,950.0000000000,1485702,0,1.7601811241
0,25,950.0000000000,1486350,0,1.7609488403
0,26,950.0000000000,1485767,0,1.7602581327
0,27,950.0000000000,1485582,0,1.7600389545
0,28,950.0000000000,1485840,0,1.7603446192
0,29,950.0000000000,1485716,0,1.7601977106
1,0,475.0000000000,1339272,0,1.5866986074
2,0,237.5000000000,1159810,0,1.3740815248
3,0,118.7500000000,1100437,0,1.3037395357
4,0,59.3750000000,1068582,0,1.2659994171
5,0,29.6875000000,1048085,0,1.2417156560
6,0,14.8437500000,989883,1,1.1727610057
6,1,14.8437500000,990929,1,1.1740002512
6,2,14.8437500000,1021418,0,1.2101220053
7,0,7.4218750000,943135,1,1.1173764486
7,1,7.4218750000,953752,1,1.1299549085
7,2,7.4218750000,953798,1,1.1300094069
7,3,7.4218750000,953705,1,1.1298992254
7,4,7.4218750000,953703,1,1.1298968559
7,5,7.4218750000,953808,1,1.1300212544
7,6,7.4218750000,953662,1,1.1298482813
7,7,7.4218750000,953676,1,1.1298648677
7,8,7.4218750000,953716,1,1.1299122576
7,9,7.4218750000,953774,1,1.1299809730
7,10,7.4218750000,953730,1,1.1299288441
7,11,7.4218750000,953739,1,1.1299395068
7,12,7.4218750000,953861,1,1.1300840460
7,13,7.4218750000,953622,1,1.1298008914
7,14,7.4218750000,953712,1,1.1299075186
7,15,7.4218750000,953772,1,1.1299786035
7,16,7.4218750000,953779,1,1.1299868967
7,17,7.4218750000,953676,1,1.1298648677
7,18,7.4218750000,953655,1,1.1298399881
7,19,7.4218750000,953597,1,1.1297712727
7,20,7.4218750000,953662,1,1.1298482813
7,21,7.4218750000,953702,1,1.1298956712
7,22,7.4218750000,953761,1,1.1299655712
7,23,7.4218750000,953662,1,1.1298482813
7,24,7.4218750000,953712,1,1.1299075186
7,25,7.4218750000,953707,1,1.1299015949
