# Baseline 98834, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,309756,0,3.1341036485
0,1,950.0000000000,309922,0,3.1357832325
0,2,950.0000000000,309757,0,3.1341137665
0,3,950.0000000000,309709,0,3.1336281037
0,4,950.0000000000,309711,0,3.1336483396
0,5,950.0000000000,309596,0,3.1324847724
0,6,950.0000000000,309821,0,3.1347613170
0,7,950.0000000000,310044,0,3.1370176255
0,8,950.0000000000,309801,0,3.1345589574
0,9,950.0000000000,309932,0,3.1358844122
0,10,950.0000000000,309747,0,3.1340125868
0,11,950.0000000000,310353,0,3.1401440800
0,12,950.0000000000,309719,0,3.1337292834
0,13,950.0000000000,309873,0,3.1352874517
0,14,950.0000000000,310129,0,3.1378776534
0,15,950.0000000000,310216,0,3.1387579173
0,16,950.0000000000,310169,0,3.1382823725
0,17,950.0000000000,310091,0,3.1374931704
0,18,950.0000000000,309978,0,3.1363498391
0,19,950.0000000000,309650,0,3.1330311431
0,20,950.0000000000,310199,0,3.1385859117
0,21,950.0000000000,309667,0,3.1332031487
0,22,950.0000000000,310187,0,3.1384644960
0,23,950.0000000000,310127,0,3.1378574175
0,24,950.0000000000,309938,0,3.1359451201
0,25,950.0000000000,309778,0,3.1343262440
0,26,950.0000000000,309553,0,3.1320496995
0,27,950.0000000000,310103,0,3.1376145861
0,28,950.0000000000,309415,0,3.1306534189
0,29,950.0000000000,309866,0,3.1352166259
1,0,475.0000000000,266814,0,2.6996175405
2,0,237.5000000000,218573,0,2.2115162798
3,0,118.7500000000,199421,0,2.0177368112
4,0,59.3750000000,185307,0,1.8749317037
5,0,29.6875000000,180580,0,1.8271040330
6,0,14.8437500000,161649,0,1.6355606370
7,0,7.4218750000,118945,0,1.2034826072
8,0,3.7109375000,108068,1,1.0934293866
8,1,3.7109375000,108133,1,1.0940870551
8,2,3.7109375000,108013,1,1.0928728980
8,3,3.7109375000,108094,1,1.0936924540
8,4,3.7109375000,108129,1,1.0940465832
8,5,3.7109375000,108358,1,1.0963635996
8,6,3.7109375000,108165,1,1.0944108303
8,7,3.7109375000,108143,1,1.0941882348
8,8,3.7109375000,108122,1,1.0939757573
8,9,3.7109375000,108097,1,1.0937228079
8,10,3.7109375000,108030,1,1.0930449036
8,11,3.7109375000,108178,1,1.0945423640
8,12,3.7109375000,108030,1,1.0930449036
8,13,3.7109375000,108198,1,1.0947447235
8,14,3.7109375000,108029,1,1.0930347856
8,15,3.7109375000,108226,1,1.0950280268
8,16,3.7109375000,108077,1,1.0935204484
