# Baseline 98739.43333333333, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,331775,1,1.1869606475
1,452.5000000000,9.5000000000,7.5000000000,252253,0,3.3601063810
2,228.7500000000,7.2500000000,6.2500000000,160284,0,2.5547341268
3,116.8750000000,6.1250000000,5.6250000000,136030,0,1.6233028142
4,60.9375000000,5.5625000000,5.3125000000,122658,0,1.3776664035
5,32.9687500000,5.2812500000,5.1562500000,118339,0,1.2422392540
6,46.9531250000,5.4218750000,5.2343750000,120535,1,1.1984978646
7,25.9765625000,5.2109375000,5.1171875000,116822,0,1.2207382191
8,36.4648437500,5.3164062500,5.1757812500,118871,1,1.1831341953
9,20.7324218750,5.1582031250,5.0878906250,116604,0,1.2038857829
