# Baseline 968, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1771,0,1.8295454545
0,1,950.0000000000,1788,0,1.8471074380
0,2,950.0000000000,1782,0,1.8409090909
0,3,950.0000000000,1786,0,1.8450413223
0,4,950.0000000000,1785,0,1.8440082645
0,5,950.0000000000,1783,0,1.8419421488
0,6,950.0000000000,1800,0,1.8595041322
0,7,950.0000000000,1790,0,1.8491735537
0,8,950.0000000000,1810,0,1.8698347107
0,9,950.0000000000,1767,0,1.8254132231
0,10,950.0000000000,1790,0,1.8491735537
0,11,950.0000000000,1816,0,1.8760330579
0,12,950.0000000000,1787,0,1.8460743802
0,13,950.0000000000,1776,0,1.8347107438
0,14,950.0000000000,1763,0,1.8212809917
0,15,950.0000000000,1793,0,1.8522727273
0,16,950.0000000000,1780,0,1.8388429752
0,17,950.0000000000,1784,0,1.8429752066
0,18,950.0000000000,1778,0,1.8367768595
0,19,950.0000000000,1800,0,1.8595041322
0,20,950.0000000000,1780,0,1.8388429752
0,21,950.0000000000,1811,0,1.8708677686
0,22,950.0000000000,1781,0,1.8398760331
0,23,950.0000000000,1788,0,1.8471074380
0,24,950.0000000000,1787,0,1.8460743802
0,25,950.0000000000,1787,0,1.8460743802
0,26,950.0000000000,1792,0,1.8512396694
0,27,950.0000000000,1796,0,1.8553719008
0,28,950.0000000000,1785,0,1.8440082645
0,29,950.0000000000,1788,0,1.8471074380
1,0,475.0000000000,1640,0,1.6942148760
2,0,237.5000000000,1483,0,1.5320247934
3,0,118.7500000000,1406,0,1.4524793388
4,0,59.3750000000,1289,0,1.3316115702
5,0,29.6875000000,1270,0,1.3119834711
6,0,14.8437500000,1143,1,1.1807851240
6,1,14.8437500000,1261,0,1.3026859504
7,0,7.4218750000,1081,1,1.1167355372
7,1,7.4218750000,1081,1,1.1167355372
7,2,7.4218750000,1080,1,1.1157024793
7,3,7.4218750000,1082,1,1.1177685950
7,4,7.4218750000,1083,1,1.1188016529
7,5,7.4218750000,1081,1,1.1167355372
7,6,7.4218750000,1084,1,1.1198347107
7,7,7.4218750000,1081,1,1.1167355372
7,8,7.4218750000,1082,1,1.1177685950
7,9,7.4218750000,1087,1,1.1229338843
7,10,7.4218750000,1080,1,1.1157024793
7,11,7.4218750000,1083,1,1.1188016529
7,12,7.4218750000,1082,1,1.1177685950
7,13,7.4218750000,1084,1,1.1198347107
7,14,7.4218750000,1078,1,1.1136363636
7,15,7.4218750000,1081,1,1.1167355372
7,16,7.4218750000,1082,1,1.1177685950
7,17,7.4218750000,1080,1,1.1157024793
7,18,7.4218750000,1084,1,1.1198347107
7,19,7.4218750000,1083,1,1.1188016529
7,20,7.4218750000,1081,1,1.1167355372
7,21,7.4218750000,1081,1,1.1167355372
7,22,7.4218750000,1079,1,1.1146694215
7,23,7.4218750000,1084,1,1.1198347107
7,24,7.4218750000,1081,1,1.1167355372
7,25,7.4218750000,1080,1,1.1157024793
7,26,7.4218750000,1083,1,1.1188016529
7,27,7.4218750000,1083,1,1.1188016529
7,28,7.4218750000,1080,1,1.1157024793
7,29,7.4218750000,1079,1,1.1146694215
8,0,11.1328125000,1240,0,1.2809917355
9,0,9.2773437500,1080,1,1.1157024793
9,1,9.2773437500,1090,1,1.1260330579
9,2,9.2773437500,1101,1,1.1373966942
9,3,9.2773437500,1069,1,1.1043388430
9,4,9.2773437500,1088,1,1.1239669421
9,5,9.2773437500,1090,1,1.1260330579
9,6,9.2773437500,1091,1,1.1270661157
9,7,9.2773437500,1091,1,1.1270661157
9,8,9.2773437500,1081,1,1.1167355372
9,9,9.2773437500,1070,1,1.1053719008
9,10,9.2773437500,1077,1,1.1126033058
9,11,9.2773437500,1089,1,1.1250000000
9,12,9.2773437500,1070,1,1.1053719008
9,13,9.2773437500,1088,1,1.1239669421
9,14,9.2773437500,1082,1,1.1177685950
9,15,9.2773437500,1090,1,1.1260330579
9,16,9.2773437500,1090,1,1.1260330579
9,17,9.2773437500,1082,1,1.1177685950
9,18,9.2773437500,1080,1,1.1157024793
9,19,9.2773437500,1083,1,1.1188016529
9,20,9.2773437500,1088,1,1.1239669421
9,21,9.2773437500,1093,1,1.1291322314
9,22,9.2773437500,1090,1,1.1260330579
9,23,9.2773437500,1097,1,1.1332644628
9,24,9.2773437500,1093,1,1.1291322314
9,25,9.2773437500,1077,1,1.1126033058
9,26,9.2773437500,1092,1,1.1280991736
9,27,9.2773437500,1078,1,1.1136363636
9,28,9.2773437500,1069,1,1.1043388430
