# Baseline 26, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,101,0,3.8846153846
0,1,950.0000000000,97,0,3.7307692308
0,2,950.0000000000,100,0,3.8461538462
0,3,950.0000000000,100,0,3.8461538462
0,4,950.0000000000,92,0,3.5384615385
0,5,950.0000000000,92,0,3.5384615385
0,6,950.0000000000,90,0,3.4615384615
0,7,950.0000000000,107,0,4.1153846154
0,8,950.0000000000,91,0,3.5000000000
0,9,950.0000000000,95,0,3.6538461538
0,10,950.0000000000,95,0,3.6538461538
0,11,950.0000000000,95,0,3.6538461538
0,12,950.0000000000,99,0,3.8076923077
0,13,950.0000000000,92,0,3.5384615385
0,14,950.0000000000,103,0,3.9615384615
0,15,950.0000000000,86,0,3.3076923077
0,16,950.0000000000,103,0,3.9615384615
0,17,950.0000000000,94,0,3.6153846154
0,18,950.0000000000,96,0,3.6923076923
0,19,950.0000000000,104,0,4.0000000000
0,20,950.0000000000,104,0,4.0000000000
0,21,950.0000000000,91,0,3.5000000000
0,22,950.0000000000,91,0,3.5000000000
0,23,950.0000000000,89,0,3.4230769231
0,24,950.0000000000,90,0,3.4615384615
0,25,950.0000000000,87,0,3.3461538462
0,26,950.0000000000,94,0,3.6153846154
0,27,950.0000000000,91,0,3.5000000000
0,28,950.0000000000,96,0,3.6923076923
0,29,950.0000000000,97,0,3.7307692308
1,0,475.0000000000,81,0,3.1153846154
2,0,237.5000000000,82,0,3.1538461538
3,0,118.7500000000,44,0,1.6923076923
4,0,59.3750000000,55,0,2.1153846154
5,0,29.6875000000,59,0,2.2692307692
6,0,14.8437500000,43,0,1.6538461538
7,0,7.4218750000,33,0,1.2692307692
8,0,3.7109375000,30,1,1.1538461538
8,1,3.7109375000,30,1,1.1538461538
8,2,3.7109375000,30,1,1.1538461538
8,3,3.7109375000,31,1,1.1923076923
8,4,3.7109375000,30,1,1.1538461538
8,5,3.7109375000,30,1,1.1538461538
8,6,3.7109375000,30,1,1.1538461538
8,7,3.7109375000,30,1,1.1538461538
8,8,3.7109375000,29,1,1.1153846154
8,9,3.7109375000,29,1,1.1153846154
8,10,3.7109375000,30,1,1.1538461538
8,11,3.7109375000,29,1,1.1153846154
8,12,3.7109375000,30,1,1.1538461538
8,13,3.7109375000,31,1,1.1923076923
8,14,3.7109375000,30,1,1.1538461538
8,15,3.7109375000,30,1,1.1538461538
8,16,3.7109375000,30,1,1.1538461538
8,17,3.7109375000,31,1,1.1923076923
8,18,3.7109375000,29,1,1.1153846154
8,19,3.7109375000,30,1,1.1538461538
8,20,3.7109375000,30,1,1.1538461538
8,21,3.7109375000,29,1,1.1153846154
8,22,3.7109375000,30,1,1.1538461538
8,23,3.7109375000,30,1,1.1538461538
8,24,3.7109375000,29,1,1.1153846154
8,25,3.7109375000,30,1,1.1538461538
8,26,3.7109375000,30,1,1.1538461538
8,27,3.7109375000,30,1,1.1538461538
8,28,3.7109375000,30,1,1.1538461538
8,29,3.7109375000,29,1,1.1153846154
9,0,5.5664062500,34,0,1.3076923077
