# Baseline 26, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,103,1,1.1809263641
1,452.5000000000,9.5000000000,7.5000000000,55,0,3.9615384615
2,228.7500000000,7.2500000000,6.2500000000,72,0,2.1153846154
3,116.8750000000,6.1250000000,5.6250000000,34,0,2.7692307692
4,60.9375000000,5.5625000000,5.3125000000,33,0,1.3076923077
5,32.9687500000,5.2812500000,5.1562500000,35,0,1.2692307692
6,18.9843750000,5.1406250000,5.0781250000,32,0,1.3461538462
7,11.9921875000,5.0703125000,5.0390625000,34,0,1.2307692308
8,8.4960937500,5.0351562500,5.0195312500,32,0,1.3076923077
9,6.7480468750,5.0175781250,5.0097656250,31,0,1.2307692308
