# Baseline 221561, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,658960,0,2.9741696418
0,1,950.0000000000,659429,0,2.9762864403
0,2,950.0000000000,658914,0,2.9739620240
0,3,950.0000000000,659211,0,2.9753025126
0,4,950.0000000000,659666,0,2.9773561231
0,5,950.0000000000,659229,0,2.9753837544
0,6,950.0000000000,659581,0,2.9769724816
0,7,950.0000000000,659277,0,2.9756003990
0,8,950.0000000000,659302,0,2.9757132347
0,9,950.0000000000,658921,0,2.9739936180
0,10,950.0000000000,659084,0,2.9747293071
0,11,950.0000000000,659148,0,2.9750181666
0,12,950.0000000000,659507,0,2.9766384878
0,13,950.0000000000,658549,0,2.9723146222
0,14,950.0000000000,658831,0,2.9735874093
0,15,950.0000000000,659365,0,2.9759975808
0,16,950.0000000000,659191,0,2.9752122440
0,17,950.0000000000,658823,0,2.9735513019
0,18,950.0000000000,658843,0,2.9736415705
0,19,950.0000000000,659337,0,2.9758712048
0,20,950.0000000000,659472,0,2.9764805178
0,21,950.0000000000,659729,0,2.9776404692
0,22,950.0000000000,659537,0,2.9767738907
0,23,950.0000000000,659893,0,2.9783806717
0,24,950.0000000000,659166,0,2.9750994083
0,25,950.0000000000,659000,0,2.9743501790
0,26,950.0000000000,659824,0,2.9780692450
0,27,950.0000000000,659496,0,2.9765888401
0,28,950.0000000000,659232,0,2.9753972947
0,29,950.0000000000,659374,0,2.9760382017
1,0,475.0000000000,568646,0,2.5665437509
2,0,237.5000000000,462997,0,2.0897044155
3,0,118.7500000000,402386,0,1.8161409273
4,0,59.3750000000,374009,0,1.6880633324
5,0,29.6875000000,355365,0,1.6039149489
6,0,14.8437500000,313680,0,1.4157726315
7,0,7.4218750000,252065,1,1.1376776599
7,1,7.4218750000,251971,1,1.1372533975
7,2,7.4218750000,252067,1,1.1376866867
7,3,7.4218750000,251890,1,1.1368878097
7,4,7.4218750000,252404,1,1.1392077125
7,5,7.4218750000,252246,1,1.1384945907
7,6,7.4218750000,252029,1,1.1375151764
7,7,7.4218750000,252061,1,1.1376596062
7,8,7.4218750000,252034,1,1.1375377436
7,9,7.4218750000,252075,1,1.1377227942
7,10,7.4218750000,251863,1,1.1367659471
7,11,7.4218750000,252221,1,1.1383817549
7,12,7.4218750000,251808,1,1.1365177084
7,13,7.4218750000,252211,1,1.1383366206
7,14,7.4218750000,252302,1,1.1387473427
7,15,7.4218750000,252053,1,1.1376234987
7,16,7.4218750000,252278,1,1.1386390204
7,17,7.4218750000,252290,1,1.1386931816
7,18,7.4218750000,252437,1,1.1393566557
7,19,7.4218750000,252226,1,1.1384043221
7,20,7.4218750000,251797,1,1.1364680607
7,21,7.4218750000,252374,1,1.1390723097
7,22,7.4218750000,252049,1,1.1376054450
7,23,7.4218750000,251805,1,1.1365041682
7,24,7.4218750000,252393,1,1.1391580648
7,25,7.4218750000,251799,1,1.1364770876
7,26,7.4218750000,252069,1,1.1376957136
7,27,7.4218750000,252192,1,1.1382508655
7,28,7.4218750000,252041,1,1.1375693376
7,29,7.4218750000,252623,1,1.1401961537
8,0,11.1328125000,316611,0,1.4290014939
9,0,9.2773437500,260026,1,1.1736090738
9,1,9.2773437500,259897,1,1.1730268414
9,2,9.2773437500,259518,1,1.1713162515
9,3,9.2773437500,259564,1,1.1715238693
9,4,9.2773437500,260189,1,1.1743447628
9,5,9.2773437500,259726,1,1.1722550449
9,6,9.2773437500,259429,1,1.1709145563
9,7,9.2773437500,260211,1,1.1744440583
9,8,9.2773437500,260204,1,1.1744124643
9,9,9.2773437500,259768,1,1.1724446089
9,10,9.2773437500,259769,1,1.1724491224
9,11,9.2773437500,260473,1,1.1756265769
9,12,9.2773437500,259845,1,1.1727921430
9,13,9.2773437500,260522,1,1.1758477349
9,14,9.2773437500,259596,1,1.1716682990
9,15,9.2773437500,258933,1,1.1686758951
9,16,9.2773437500,259886,1,1.1729771936
9,17,9.2773437500,260120,1,1.1740333362
9,18,9.2773437500,260546,1,1.1759560572
9,19,9.2773437500,260800,1,1.1771024684
9,20,9.2773437500,259809,1,1.1726296596
9,21,9.2773437500,260197,1,1.1743808703
9,22,9.2773437500,260051,1,1.1737219095
9,23,9.2773437500,259748,1,1.1723543403
9,24,9.2773437500,259945,1,1.1732434860
9,25,9.2773437500,259709,1,1.1721783166
9,26,9.2773437500,260066,1,1.1737896110
9,27,9.2773437500,260732,1,1.1767955552
9,28,9.2773437500,260362,1,1.1751255862
9,29,9.2773437500,259751,1,1.1723678806
10,0,10.2050781250,271976,0,1.2275445588
11,0,9.7412109375,262104,1,1.1829879807
11,1,9.7412109375,262568,1,1.1850822121
11,2,9.7412109375,261901,1,1.1820717545
11,3,9.7412109375,261869,1,1.1819273248
11,4,9.7412109375,262380,1,1.1842336873
11,5,9.7412109375,262203,1,1.1834348103
11,6,9.7412109375,262265,1,1.1837146429
11,7,9.7412109375,261605,1,1.1807357793
11,8,9.7412109375,262037,1,1.1826855809
11,9,9.7412109375,262160,1,1.1832407328
11,10,9.7412109375,262386,1,1.1842607679
11,11,9.7412109375,261750,1,1.1813902266
11,12,9.7412109375,262432,1,1.1844683857
11,13,9.7412109375,262492,1,1.1847391915
11,14,9.7412109375,262868,1,1.1864362410
11,15,9.7412109375,261958,1,1.1823290200
11,16,9.7412109375,262553,1,1.1850145107
11,17,9.7412109375,262003,1,1.1825321243
11,18,9.7412109375,262161,1,1.1832452462
11,19,9.7412109375,262543,1,1.1849693764
11,20,9.7412109375,262463,1,1.1846083020
11,21,9.7412109375,262192,1,1.1833851626
11,22,9.7412109375,262107,1,1.1830015210
11,23,9.7412109375,262710,1,1.1857231191
11,24,9.7412109375,262178,1,1.1833219745
11,25,9.7412109375,262031,1,1.1826585004
11,26,9.7412109375,262392,1,1.1842878485
11,27,9.7412109375,261484,1,1.1801896543
11,28,9.7412109375,262083,1,1.1828931987
11,29,9.7412109375,262117,1,1.1830466553
12,0,9.9731445312,274573,0,1.2392659358
13,0,9.8571777344,278495,0,1.2569676071
14,0,9.7991943359,276081,0,1.2460721878
