# Baseline 221522.46666666667, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,692575,1,1.1923076923
1,452.5000000000,9.5000000000,7.5000000000,531867,0,3.1264323227
2,228.7500000000,7.2500000000,6.2500000000,338523,0,2.4009618889
3,116.8750000000,6.1250000000,5.6250000000,283300,0,1.5281655405
4,60.9375000000,5.5625000000,5.3125000000,263017,0,1.2788770560
5,88.9062500000,5.8437500000,5.4687500000,272643,1,1.1873152369
6,46.9531250000,5.4218750000,5.2343750000,259402,0,1.2307690687
7,67.9296875000,5.6328125000,5.3515625000,267220,1,1.1709963504
8,36.4648437500,5.3164062500,5.1757812500,255710,0,1.2062884818
9,52.1972656250,5.4746093750,5.2636718750,260166,1,1.1543298693
