# Baseline 316, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,988,0,3.1265822785
0,1,950.0000000000,952,0,3.0126582278
0,2,950.0000000000,938,0,2.9683544304
0,3,950.0000000000,991,0,3.1360759494
0,4,950.0000000000,954,0,3.0189873418
0,5,950.0000000000,924,0,2.9240506329
0,6,950.0000000000,955,0,3.0221518987
0,7,950.0000000000,977,0,3.0917721519
0,8,950.0000000000,985,0,3.1170886076
0,9,950.0000000000,958,0,3.0316455696
0,10,950.0000000000,962,0,3.0443037975
0,11,950.0000000000,988,0,3.1265822785
0,12,950.0000000000,995,0,3.1487341772
0,13,950.0000000000,968,0,3.0632911392
0,14,950.0000000000,968,0,3.0632911392
0,15,950.0000000000,932,0,2.9493670886
0,16,950.0000000000,944,0,2.9873417722
0,17,950.0000000000,993,0,3.1424050633
0,18,950.0000000000,972,0,3.0759493671
0,19,950.0000000000,991,0,3.1360759494
0,20,950.0000000000,967,0,3.0601265823
0,21,950.0000000000,959,0,3.0348101266
0,22,950.0000000000,988,0,3.1265822785
0,23,950.0000000000,961,0,3.0411392405
0,24,950.0000000000,957,0,3.0284810127
0,25,950.0000000000,943,0,2.9841772152
0,26,950.0000000000,984,0,3.1139240506
0,27,950.0000000000,931,0,2.9462025316
0,28,950.0000000000,951,0,3.0094936709
0,29,950.0000000000,970,0,3.0696202532
1,0,475.0000000000,632,0,2.0000000000
2,0,237.5000000000,676,0,2.1392405063
3,0,118.7500000000,534,0,1.6898734177
4,0,59.3750000000,540,0,1.7088607595
5,0,29.6875000000,438,0,1.3860759494
6,0,14.8437500000,445,0,1.4082278481
7,0,7.4218750000,367,1,1.1613924051
7,1,7.4218750000,369,1,1.1677215190
7,2,7.4218750000,372,1,1.1772151899
7,3,7.4218750000,372,1,1.1772151899
7,4,7.4218750000,370,1,1.1708860759
7,5,7.4218750000,370,1,1.1708860759
7,6,7.4218750000,369,1,1.1677215190
7,7,7.4218750000,367,1,1.1613924051
7,8,7.4218750000,371,1,1.1740506329
7,9,7.4218750000,369,1,1.1677215190
7,10,7.4218750000,374,1,1.1835443038
7,11,7.4218750000,370,1,1.1708860759
7,12,7.4218750000,367,1,1.1613924051
7,13,7.4218750000,370,1,1.1708860759
7,14,7.4218750000,373,1,1.1803797468
7,15,7.4218750000,374,1,1.1835443038
7,16,7.4218750000,368,1,1.1645569620
7,17,7.4218750000,372,1,1.1772151899
7,18,7.4218750000,369,1,1.1677215190
7,19,7.4218750000,371,1,1.1740506329
7,20,7.4218750000,371,1,1.1740506329
7,21,7.4218750000,374,1,1.1835443038
7,22,7.4218750000,371,1,1.1740506329
7,23,7.4218750000,371,1,1.1740506329
7,24,7.4218750000,370,1,1.1708860759
7,25,7.4218750000,372,1,1.1772151899
7,26,7.4218750000,371,1,1.1740506329
7,27,7.4218750000,370,1,1.1708860759
7,28,7.4218750000,373,1,1.1803797468
7,29,7.4218750000,367,1,1.1613924051
8,0,11.1328125000,401,0,1.2689873418
9,0,9.2773437500,379,1,1.1993670886
9,1,9.2773437500,368,1,1.1645569620
9,2,9.2773437500,364,1,1.1518987342
9,3,9.2773437500,373,1,1.1803797468
9,4,9.2773437500,372,1,1.1772151899
9,5,9.2773437500,372,1,1.1772151899
9,6,9.2773437500,368,1,1.1645569620
9,7,9.2773437500,376,1,1.1898734177
9,8,9.2773437500,375,1,1.1867088608
9,9,9.2773437500,365,1,1.1550632911
9,10,9.2773437500,367,1,1.1613924051
9,11,9.2773437500,369,1,1.1677215190
9,12,9.2773437500,359,1,1.1360759494
9,13,9.2773437500,367,1,1.1613924051
9,14,9.2773437500,366,1,1.1582278481
9,15,9.2773437500,367,1,1.1613924051
9,16,9.2773437500,361,1,1.1424050633
9,17,9.2773437500,371,1,1.1740506329
9,18,9.2773437500,369,1,1.1677215190
9,19,9.2773437500,370,1,1.1708860759
9,20,9.2773437500,367,1,1.1613924051
9,21,9.2773437500,373,1,1.1803797468
9,22,9.2773437500,371,1,1.1740506329
9,23,9.2773437500,372,1,1.1772151899
9,24,9.2773437500,370,1,1.1708860759
9,25,9.2773437500,379,1,1.1993670886
9,26,9.2773437500,371,1,1.1740506329
9,27,9.2773437500,372,1,1.1772151899
9,28,9.2773437500,367,1,1.1613924051
9,29,9.2773437500,374,1,1.1835443038
10,0,10.2050781250,379,1,1.1993670886
10,1,10.2050781250,393,0,1.2436708861
11,0,9.7412109375,383,0,1.2120253165
12,0,9.5092773438,394,0,1.2468354430
13,0,9.3933105469,382,0,1.2088607595
14,0,9.3353271484,378,1,1.1962025316
14,1,9.3353271484,385,0,1.2183544304
