# Baseline 311.5, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,1020,1,1.1744452105
1,452.5000000000,9.5000000000,7.5000000000,694,0,3.2744783307
2,228.7500000000,7.2500000000,6.2500000000,449,0,2.2279293740
3,116.8750000000,6.1250000000,5.6250000000,403,0,1.4414125201
4,60.9375000000,5.5625000000,5.3125000000,407,0,1.2937399679
5,32.9687500000,5.2812500000,5.1562500000,389,0,1.3065810594
6,18.9843750000,5.1406250000,5.0781250000,372,0,1.2487961477
7,25.9765625000,5.2109375000,5.1171875000,365,1,1.1942215088
8,22.4804687500,5.1757812500,5.0976562500,366,1,1.1717495987
9,24.2285156250,5.1933593750,5.1074218750,371,1,1.1749598716
