# Baseline 1614, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,2791,0,1.7292441140
0,1,950.0000000000,2785,0,1.7255266419
0,2,950.0000000000,2788,0,1.7273853779
0,3,950.0000000000,2769,0,1.7156133829
0,4,950.0000000000,2785,0,1.7255266419
0,5,950.0000000000,2765,0,1.7131350682
0,6,950.0000000000,2784,0,1.7249070632
0,7,950.0000000000,2789,0,1.7280049566
0,8,950.0000000000,2815,0,1.7441140025
0,9,950.0000000000,2782,0,1.7236679058
0,10,950.0000000000,2780,0,1.7224287485
0,11,950.0000000000,2788,0,1.7273853779
0,12,950.0000000000,2781,0,1.7230483271
0,13,950.0000000000,2764,0,1.7125154895
0,14,950.0000000000,2789,0,1.7280049566
0,15,950.0000000000,2792,0,1.7298636927
0,16,950.0000000000,2770,0,1.7162329616
0,17,950.0000000000,2789,0,1.7280049566
0,18,950.0000000000,2787,0,1.7267657993
0,19,950.0000000000,2786,0,1.7261462206
0,20,950.0000000000,2785,0,1.7255266419
0,21,950.0000000000,2781,0,1.7230483271
0,22,950.0000000000,2810,0,1.7410161090
0,23,950.0000000000,2764,0,1.7125154895
0,24,950.0000000000,2776,0,1.7199504337
0,25,950.0000000000,2787,0,1.7267657993
0,26,950.0000000000,2779,0,1.7218091698
0,27,950.0000000000,2792,0,1.7298636927
0,28,950.0000000000,2785,0,1.7255266419
0,29,950.0000000000,2800,0,1.7348203222
1,0,475.0000000000,2518,0,1.5600991326
2,0,237.5000000000,2352,0,1.4572490706
3,0,118.7500000000,2151,0,1.3327137546
4,0,59.3750000000,2083,0,1.2905824040
5,0,29.6875000000,2043,0,1.2657992565
6,0,14.8437500000,1894,1,1.1734820322
6,1,14.8437500000,1892,1,1.1722428748
6,2,14.8437500000,1894,1,1.1734820322
6,3,14.8437500000,1889,1,1.1703841388
6,4,14.8437500000,1882,1,1.1660470880
6,5,14.8437500000,1898,1,1.1759603470
6,6,14.8437500000,1891,1,1.1716232962
6,7,14.8437500000,1897,1,1.1753407683
6,8,14.8437500000,1885,1,1.1679058240
6,9,14.8437500000,1901,1,1.1778190830
6,10,14.8437500000,1890,1,1.1710037175
6,11,14.8437500000,1885,1,1.1679058240
6,12,14.8437500000,1885,1,1.1679058240
6,13,14.8437500000,1892,1,1.1722428748
6,14,14.8437500000,1902,1,1.1784386617
6,15,14.8437500000,1886,1,1.1685254027
6,16,14.8437500000,1883,1,1.1666666667
6,17,14.8437500000,1881,1,1.1654275093
6,18,14.8437500000,1897,1,1.1753407683
6,19,14.8437500000,1893,1,1.1728624535
6,20,14.8437500000,1889,1,1.1703841388
6,21,14.8437500000,1894,1,1.1734820322
6,22,14.8437500000,1890,1,1.1710037175
6,23,14.8437500000,1888,1,1.1697645601
6,24,14.8437500000,1895,1,1.1741016109
6,25,14.8437500000,1887,1,1.1691449814
6,26,14.8437500000,1873,1,1.1604708798
6,27,14.8437500000,1891,1,1.1716232962
6,28,14.8437500000,1898,1,1.1759603470
6,29,14.8437500000,1883,1,1.1666666667
7,0,22.2656250000,1965,0,1.2174721190
8,0,18.5546875000,2119,0,1.3128872367
9,0,16.6992187500,1970,0,1.2205700124
10,0,15.7714843750,1894,1,1.1734820322
10,1,15.7714843750,1982,0,1.2280049566
11,0,15.3076171875,1879,1,1.1641883519
11,1,15.3076171875,1871,1,1.1592317224
11,2,15.3076171875,1878,1,1.1635687732
11,3,15.3076171875,2032,0,1.2589838910
12,0,15.0756835938,2015,0,1.2484510533
13,0,14.9597167969,2019,0,1.2509293680
14,0,14.9017333984,1872,1,1.1598513011
14,1,14.9017333984,1892,1,1.1722428748
14,2,14.9017333984,1876,1,1.1623296159
14,3,14.9017333984,1884,1,1.1672862454
14,4,14.9017333984,1870,1,1.1586121437
14,5,14.9017333984,2025,0,1.2546468401
