# Baseline 166, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,526,0,3.1686746988
0,1,950.0000000000,564,0,3.3975903614
0,2,950.0000000000,562,0,3.3855421687
0,3,950.0000000000,550,0,3.3132530120
0,4,950.0000000000,547,0,3.2951807229
0,5,950.0000000000,570,0,3.4337349398
0,6,950.0000000000,573,0,3.4518072289
0,7,950.0000000000,562,0,3.3855421687
0,8,950.0000000000,579,0,3.4879518072
0,9,950.0000000000,540,0,3.2530120482
0,10,950.0000000000,542,0,3.2650602410
0,11,950.0000000000,579,0,3.4879518072
0,12,950.0000000000,570,0,3.4337349398
0,13,950.0000000000,562,0,3.3855421687
0,14,950.0000000000,550,0,3.3132530120
0,15,950.0000000000,557,0,3.3554216867
0,16,950.0000000000,611,0,3.6807228916
0,17,950.0000000000,553,0,3.3313253012
0,18,950.0000000000,550,0,3.3132530120
0,19,950.0000000000,560,0,3.3734939759
0,20,950.0000000000,547,0,3.2951807229
0,21,950.0000000000,552,0,3.3253012048
0,22,950.0000000000,547,0,3.2951807229
0,23,950.0000000000,557,0,3.3554216867
0,24,950.0000000000,553,0,3.3313253012
0,25,950.0000000000,562,0,3.3855421687
0,26,950.0000000000,558,0,3.3614457831
0,27,950.0000000000,584,0,3.5180722892
0,28,950.0000000000,559,0,3.3674698795
0,29,950.0000000000,537,0,3.2349397590
1,0,475.0000000000,555,0,3.3433734940
2,0,237.5000000000,293,0,1.7650602410
3,0,118.7500000000,384,0,2.3132530120
4,0,59.3750000000,337,0,2.0301204819
5,0,29.6875000000,270,0,1.6265060241
6,0,14.8437500000,240,0,1.4457831325
7,0,7.4218750000,203,0,1.2228915663
8,0,3.7109375000,182,1,1.0963855422
8,1,3.7109375000,182,1,1.0963855422
8,2,3.7109375000,181,1,1.0903614458
8,3,3.7109375000,183,1,1.1024096386
8,4,3.7109375000,181,1,1.0903614458
8,5,3.7109375000,182,1,1.0963855422
8,6,3.7109375000,183,1,1.1024096386
8,7,3.7109375000,182,1,1.0963855422
8,8,3.7109375000,184,1,1.1084337349
8,9,3.7109375000,183,1,1.1024096386
8,10,3.7109375000,182,1,1.0963855422
8,11,3.7109375000,182,1,1.0963855422
8,12,3.7109375000,183,1,1.1024096386
8,13,3.7109375000,181,1,1.0903614458
8,14,3.7109375000,182,1,1.0963855422
8,15,3.7109375000,183,1,1.1024096386
8,16,3.7109375000,185,1,1.1144578313
8,17,3.7109375000,181,1,1.0903614458
8,18,3.7109375000,183,1,1.1024096386
8,19,3.7109375000,186,1,1.1204819277
8,20,3.7109375000,182,1,1.0963855422
8,21,3.7109375000,181,1,1.0903614458
8,22,3.7109375000,182,1,1.0963855422
8,23,3.7109375000,182,1,1.0963855422
8,24,3.7109375000,183,1,1.1024096386
