# Baseline 160.2, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,627,1,1.1910112360
1,452.5000000000,9.5000000000,7.5000000000,459,0,3.9138576779
2,228.7500000000,7.2500000000,6.2500000000,329,0,2.8651685393
3,116.8750000000,6.1250000000,5.6250000000,269,0,2.0536828964
4,60.9375000000,5.5625000000,5.3125000000,222,0,1.6791510612
5,32.9687500000,5.2812500000,5.1562500000,198,0,1.3857677903
6,18.9843750000,5.1406250000,5.0781250000,203,0,1.2359550562
7,11.9921875000,5.0703125000,5.0390625000,199,0,1.2671660424
8,8.4960937500,5.0351562500,5.0195312500,196,0,1.2421972534
9,6.7480468750,5.0175781250,5.0097656250,193,0,1.2234706617
