# Baseline 2818882, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,5165444,0,1.8324442102
0,1,950.0000000000,5165587,0,1.8324949395
0,2,950.0000000000,5205040,0,1.8464909138
0,3,950.0000000000,5203536,0,1.8459573689
0,4,950.0000000000,5204626,0,1.8463440470
0,5,950.0000000000,5203222,0,1.8458459772
0,6,950.0000000000,5203442,0,1.8459240224
0,7,950.0000000000,5204506,0,1.8463014770
0,8,950.0000000000,5204946,0,1.8464575672
0,9,950.0000000000,5203528,0,1.8459545309
0,10,950.0000000000,5204205,0,1.8461946970
0,11,950.0000000000,5204196,0,1.8461915043
0,12,950.0000000000,5203807,0,1.8460535063
0,13,950.0000000000,5203132,0,1.8458140497
0,14,950.0000000000,5204365,0,1.8462514571
0,15,950.0000000000,5204030,0,1.8461326157
0,16,950.0000000000,5202789,0,1.8456923702
0,17,950.0000000000,5204126,0,1.8461666718
0,18,950.0000000000,5203797,0,1.8460499588
0,19,950.0000000000,5203549,0,1.8459619807
0,20,950.0000000000,5203925,0,1.8460953669
0,21,950.0000000000,5203143,0,1.8458179519
0,22,950.0000000000,5204346,0,1.8462447169
0,23,950.0000000000,5204073,0,1.8461478700
0,24,950.0000000000,5204359,0,1.8462493286
0,25,950.0000000000,5204324,0,1.8462369124
0,26,950.0000000000,5202893,0,1.8457292643
0,27,950.0000000000,5203571,0,1.8459697852
0,28,950.0000000000,5203769,0,1.8460400258
0,29,950.0000000000,5204685,0,1.8463649773
1,0,475.0000000000,4566896,0,1.6201089652
2,0,237.5000000000,4025366,0,1.4280008883
3,0,118.7500000000,3801957,0,1.3487464179
4,0,59.3750000000,3677347,0,1.3045409492
5,0,29.6875000000,3620314,0,1.2843084599
6,0,14.8437500000,3337895,1,1.1841201583
6,1,14.8437500000,3358760,1,1.1915220289
6,2,14.8437500000,3391648,0,1.2031890657
6,2,14.8437500000,3471907,0,1.2316609918
7,0,7.4218750000,3118349,1,1.1062360893
7,1,7.4218750000,3118640,1,1.1063393218
7,2,7.4218750000,3118461,1,1.1062758214
7,3,7.4218750000,3118470,1,1.1062790142
7,4,7.4218750000,3118407,1,1.1062566649
7,5,7.4218750000,3103457,1,1.1009531438
7,6,7.4218750000,3063576,1,1.0868053363
7,7,7.4218750000,3063659,1,1.0868347806
7,8,7.4218750000,3063861,1,1.0869064402
7,9,7.4218750000,3063434,1,1.0867549617
7,10,7.4218750000,3063531,1,1.0867893725
7,11,7.4218750000,3063442,1,1.0867577997
7,12,7.4218750000,3063382,1,1.0867365147
7,13,7.4218750000,3063331,1,1.0867184224
7,14,7.4218750000,3063743,1,1.0868645796
7,15,7.4218750000,3063471,1,1.0867680875
7,16,7.4218750000,3063290,1,1.0867038776
7,17,7.4218750000,3063586,1,1.0868088838
7,18,7.4218750000,3063574,1,1.0868046268
7,19,7.4218750000,3063395,1,1.0867411264
7,20,7.4218750000,3063787,1,1.0868801887
7,21,7.4218750000,3063475,1,1.0867695065
7,22,7.4218750000,3063650,1,1.0868315878
7,23,7.4218750000,3063620,1,1.0868209453
7,24,7.4218750000,3063668,1,1.0868379734
7,25,7.4218750000,3094636,1,1.0978238890
7,26,7.4218750000,3109580,1,1.1031252816
7,27,7.4218750000,3109389,1,1.1030575242
7,28,7.4218750000,3109423,1,1.1030695857
7,29,7.4218750000,3109686,1,1.1031628851
8,0,11.1328125000,3221489,1,1.1428250633
8,1,11.1328125000,3485057,0,1.2363259619
9,0,9.2773437500,3127870,1,1.1096136695
9,1,9.2773437500,3121564,1,1.1073766124
9,2,9.2773437500,3122296,1,1.1076362898
9,3,9.2773437500,3123260,1,1.1079782694
9,4,9.2773437500,3125200,1,1.1086664855
9,5,9.2773437500,3122201,1,1.1076025885
9,6,9.2773437500,3124043,1,1.1082560391
9,7,9.2773437500,3123738,1,1.1081478402
9,8,9.2773437500,3129181,1,1.1100787475
9,9,9.2773437500,3127457,1,1.1094671575
9,10,9.2773437500,3118146,1,1.1061640750
9,11,9.2773437500,3121929,1,1.1075060964
9,12,9.2773437500,3124291,1,1.1083440172
9,13,9.2773437500,3123813,1,1.1081744465
9,14,9.2773437500,3124812,1,1.1085288423
9,15,9.2773437500,3119085,1,1.1064971858
9,16,9.2773437500,3119626,1,1.1066891058
9,17,9.2773437500,3123236,1,1.1079697554
9,18,9.2773437500,3125891,1,1.1089116182
9,19,9.2773437500,3122339,1,1.1076515441
9,20,9.2773437500,3127218,1,1.1093823722
9,21,9.2773437500,3118827,1,1.1064056601
9,22,9.2773437500,3127465,1,1.1094699956
9,23,9.2773437500,3122853,1,1.1078338859
9,24,9.2773437500,3123114,1,1.1079264758
9,25,9.2773437500,3119930,1,1.1067969500
9,26,9.2773437500,3120582,1,1.1070282474
9,27,9.2773437500,3126381,1,1.1090854459
9,28,9.2773437500,3128604,1,1.1098740565
9,29,9.2773437500,3121785,1,1.1074550123
10,0,10.2050781250,3200734,1,1.1354622152
10,1,10.2050781250,3200914,1,1.1355260703
10,2,10.2050781250,3201939,1,1.1358896896
10,3,10.2050781250,3200273,1,1.1352986751
10,4,10.2050781250,3199955,1,1.1351858645
10,5,10.2050781250,3199081,1,1.1348758125
10,6,10.2050781250,3205806,1,1.1372615101
10,7,10.2050781250,3214754,1,1.1404358182
10,8,10.2050781250,3201067,1,1.1355803471
10,9,10.2050781250,3200988,1,1.1355523218
10,10,10.2050781250,3202023,1,1.1359194886
10,11,10.2050781250,3198411,1,1.1346381296
10,12,10.2050781250,3200873,1,1.1355115255
10,13,10.2050781250,3208442,1,1.1381966326
10,14,10.2050781250,3215692,1,1.1407685742
10,15,10.2050781250,3213879,1,1.1401254114
10,16,10.2050781250,3214251,1,1.1402573786
10,17,10.2050781250,3215381,1,1.1406582468
