# Baseline 267229, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,758225,0,2.8373604661
0,1,950.0000000000,758163,0,2.8371284554
0,2,950.0000000000,758537,0,2.8385280041
0,3,950.0000000000,758457,0,2.8382286354
0,4,950.0000000000,758317,0,2.8377047401
0,5,950.0000000000,758487,0,2.8383408986
0,6,950.0000000000,758694,0,2.8391155152
0,7,950.0000000000,759537,0,2.8422701129
0,8,950.0000000000,757944,0,2.8363089335
0,9,950.0000000000,758376,0,2.8379255246
0,10,950.0000000000,758733,0,2.8392614574
0,11,950.0000000000,758281,0,2.8375700242
0,12,950.0000000000,758440,0,2.8381650195
0,13,950.0000000000,758446,0,2.8381874722
0,14,950.0000000000,758709,0,2.8391716468
0,15,950.0000000000,758784,0,2.8394523050
0,16,950.0000000000,757922,0,2.8362266071
0,17,950.0000000000,758796,0,2.8394972103
0,18,950.0000000000,758703,0,2.8391491941
0,19,950.0000000000,759096,0,2.8406198429
0,20,950.0000000000,758460,0,2.8382398617
0,21,950.0000000000,758708,0,2.8391679047
0,22,950.0000000000,758770,0,2.8393999154
0,23,950.0000000000,758589,0,2.8387225937
0,24,950.0000000000,757997,0,2.8365072653
0,25,950.0000000000,758581,0,2.8386926569
0,26,950.0000000000,758666,0,2.8390107361
0,27,950.0000000000,759197,0,2.8409977959
0,28,950.0000000000,759017,0,2.8403242163
0,29,950.0000000000,758745,0,2.8393063627
1,0,475.0000000000,669696,0,2.5060753137
2,0,237.5000000000,544391,0,2.0371703670
3,0,118.7500000000,468137,0,1.7518196004
4,0,59.3750000000,427677,0,1.6004138772
5,0,29.6875000000,414489,0,1.5510629460
6,0,14.8437500000,374248,0,1.4004767447
7,0,7.4218750000,307051,1,1.1490182577
7,1,7.4218750000,306883,1,1.1483895835
7,2,7.4218750000,307089,1,1.1491604579
7,3,7.4218750000,307162,1,1.1494336318
7,4,7.4218750000,305225,1,1.1421851670
7,5,7.4218750000,305196,1,1.1420766459
7,6,7.4218750000,305075,1,1.1416238507
7,7,7.4218750000,305101,1,1.1417211455
7,8,7.4218750000,304718,1,1.1402879179
7,9,7.4218750000,304652,1,1.1400409387
7,10,7.4218750000,305400,1,1.1428400361
7,11,7.4218750000,305186,1,1.1420392248
7,12,7.4218750000,305148,1,1.1418970246
7,13,7.4218750000,305438,1,1.1429822362
7,14,7.4218750000,305272,1,1.1423610461
7,15,7.4218750000,305342,1,1.1426229938
7,16,7.4218750000,305457,1,1.1430533363
7,17,7.4218750000,305084,1,1.1416575297
7,18,7.4218750000,305195,1,1.1420729038
7,19,7.4218750000,307122,1,1.1492839475
7,20,7.4218750000,306796,1,1.1480640200
7,21,7.4218750000,306908,1,1.1484831362
7,22,7.4218750000,306996,1,1.1488124418
7,23,7.4218750000,306955,1,1.1486590153
7,24,7.4218750000,307052,1,1.1490219999
7,25,7.4218750000,306707,1,1.1477309723
7,26,7.4218750000,307321,1,1.1500286271
7,27,7.4218750000,307116,1,1.1492614948
7,28,7.4218750000,307249,1,1.1497591953
7,29,7.4218750000,307021,1,1.1489059945
8,0,11.1328125000,334079,0,1.2501599752
9,0,9.2773437500,317434,1,1.1878725737
9,1,9.2773437500,318669,1,1.1924940781
9,2,9.2773437500,317739,1,1.1890139169
9,3,9.2773437500,317599,1,1.1884900217
9,4,9.2773437500,318006,1,1.1900130600
9,5,9.2773437500,317593,1,1.1884675690
9,6,9.2773437500,317867,1,1.1894929068
9,7,9.2773437500,319440,1,1.1953792440
9,8,9.2773437500,318540,1,1.1920113461
9,9,9.2773437500,317398,1,1.1877378578
9,10,9.2773437500,317849,1,1.1894255489
9,11,9.2773437500,318602,1,1.1922433568
9,12,9.2773437500,317421,1,1.1878239263
9,13,9.2773437500,322321,0,1.2061602596
10,0,8.3496093750,316352,1,1.1838236120
10,1,8.3496093750,315987,1,1.1824577422
10,2,8.3496093750,320939,0,1.2009886652
11,0,7.8857421875,302883,1,1.1334211482
11,1,7.8857421875,302902,1,1.1334922482
11,2,7.8857421875,302493,1,1.1319617257
11,3,7.8857421875,302480,1,1.1319130783
11,4,7.8857421875,302547,1,1.1321637996
11,5,7.8857421875,301034,1,1.1265019889
11,6,7.8857421875,300855,1,1.1258321515
11,7,7.8857421875,300687,1,1.1252034772
11,8,7.8857421875,301210,1,1.1271606001
11,9,7.8857421875,300913,1,1.1260491938
11,10,7.8857421875,301122,1,1.1268312945
11,11,7.8857421875,301147,1,1.1269248472
11,12,7.8857421875,301048,1,1.1265543785
11,13,7.8857421875,300759,1,1.1254729090
11,14,7.8857421875,301219,1,1.1271942791
11,15,7.8857421875,302365,1,1.1314827358
11,16,7.8857421875,302374,1,1.1315164148
11,17,7.8857421875,302636,1,1.1324968473
11,18,7.8857421875,302241,1,1.1310187143
11,19,7.8857421875,302911,1,1.1335259272
11,20,7.8857421875,303474,1,1.1356327345
11,21,7.8857421875,303396,1,1.1353408500
11,22,7.8857421875,303510,1,1.1357674504
11,23,7.8857421875,303499,1,1.1357262872
11,24,7.8857421875,301583,1,1.1285564067
11,25,7.8857421875,302504,1,1.1320028889
11,26,7.8857421875,302555,1,1.1321937365
11,27,7.8857421875,302883,1,1.1334211482
11,28,7.8857421875,302514,1,1.1320403100
11,29,7.8857421875,302428,1,1.1317184886
12,0,8.1176757812,320345,1,1.1987658525
12,1,8.1176757812,319846,1,1.1968985402
12,2,8.1176757812,318954,1,1.1935605791
12,3,8.1176757812,318727,1,1.1927111204
12,4,8.1176757812,322947,0,1.2085028197
13,0,8.0017089844,321741,0,1.2039898364
14,0,7.9437255859,321659,0,1.2036829835
