# Baseline 267074.5333333333, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,800119,0,1.2047440699
1,452.5000000000,9.5000000000,7.5000000000,533400,0,2.9958640759
2,228.7500000000,7.2500000000,6.2500000000,412250,0,1.9971952898
3,116.8750000000,6.1250000000,5.6250000000,345409,0,1.5435765996
4,60.9375000000,5.5625000000,5.3125000000,316763,0,1.2933056390
5,88.9062500000,5.8437500000,5.4687500000,330970,1,1.1860471908
6,46.9531250000,5.4218750000,5.2343750000,312120,0,1.2392420792
7,67.9296875000,5.6328125000,5.3515625000,325689,1,1.1686625307
8,36.4648437500,5.3164062500,5.1757812500,314641,0,1.2194685728
9,52.1972656250,5.4746093750,5.2636718750,320327,1,1.1781018432
