# Baseline 2701685, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,4896975,0,1.8125632707
0,1,950.0000000000,4897420,0,1.8127279827
0,2,950.0000000000,4896993,0,1.8125699332
0,3,950.0000000000,4878542,0,1.8057404916
0,4,950.0000000000,4877016,0,1.8051756589
0,5,950.0000000000,4878553,0,1.8057445631
0,6,950.0000000000,4878443,0,1.8057038478
0,7,950.0000000000,4878115,0,1.8055824421
0,8,950.0000000000,4879653,0,1.8061517164
0,9,950.0000000000,4878636,0,1.8057752847
0,10,950.0000000000,4877914,0,1.8055080441
0,11,950.0000000000,4878302,0,1.8056516581
0,12,950.0000000000,4878246,0,1.8056309303
0,13,950.0000000000,4878347,0,1.8056683144
0,14,950.0000000000,4879344,0,1.8060373434
0,15,950.0000000000,4878328,0,1.8056612818
0,16,950.0000000000,4879492,0,1.8060921240
0,17,950.0000000000,4879064,0,1.8059337043
0,18,950.0000000000,4879691,0,1.8061657817
0,19,950.0000000000,4879811,0,1.8062101985
0,20,950.0000000000,4879198,0,1.8059833030
0,21,950.0000000000,4880143,0,1.8063330847
0,22,950.0000000000,4879477,0,1.8060865719
0,23,950.0000000000,4879441,0,1.8060732469
0,24,950.0000000000,4879547,0,1.8061124817
0,25,950.0000000000,4879428,0,1.8060684351
0,26,950.0000000000,4878577,0,1.8057534465
0,27,950.0000000000,4877702,0,1.8054295745
0,28,950.0000000000,4878720,0,1.8058063764
0,29,950.0000000000,4877448,0,1.8053355591
1,0,475.0000000000,4296004,0,1.5901202398
2,0,237.5000000000,3795480,0,1.4048565988
3,0,118.7500000000,3562086,0,1.3184682892
4,0,59.3750000000,3467943,0,1.2836222580
5,0,29.6875000000,3400389,0,1.2586178626
6,0,14.8437500000,3244243,0,1.2008220796
7,0,7.4218750000,2983345,1,1.1042534566
7,1,7.4218750000,2983326,1,1.1042464240
7,2,7.4218750000,2983263,1,1.1042231052
7,3,7.4218750000,2983135,1,1.1041757274
7,4,7.4218750000,2983445,1,1.1042904706
7,5,7.4218750000,2983275,1,1.1042275469
7,6,7.4218750000,2983498,1,1.1043100880
7,7,7.4218750000,2983202,1,1.1042005267
7,8,7.4218750000,2983497,1,1.1043097178
7,9,7.4218750000,2983567,1,1.1043356276
7,10,7.4218750000,2983479,1,1.1043030553
7,11,7.4218750000,2983331,1,1.1042482747
7,12,7.4218750000,2983522,1,1.1043189713
7,13,7.4218750000,2983471,1,1.1043000942
7,14,7.4218750000,2983257,1,1.1042208844
7,15,7.4218750000,2983471,1,1.1043000942
7,16,7.4218750000,2983324,1,1.1042456837
7,17,7.4218750000,2983403,1,1.1042749247
7,18,7.4218750000,2983417,1,1.1042801067
7,19,7.4218750000,2983453,1,1.1042934317
7,20,7.4218750000,2983320,1,1.1042442032
7,21,7.4218750000,2983445,1,1.1042904706
7,22,7.4218750000,2983268,1,1.1042249559
7,23,7.4218750000,2983396,1,1.1042723337
7,24,7.4218750000,2983378,1,1.1042656712
7,25,7.4218750000,2983320,1,1.1042442032
7,26,7.4218750000,2983086,1,1.1041575905
7,27,7.4218750000,2972663,1,1.1002996278
7,28,7.4218750000,2968348,1,1.0987024764
7,29,7.4218750000,2968330,1,1.0986958139
8,0,11.1328125000,3385490,0,1.2531031560
9,0,9.2773437500,3035736,1,1.1236454287
9,1,9.2773437500,3030688,1,1.1217769651
9,2,9.2773437500,3032850,1,1.1225772064
9,3,9.2773437500,3043107,1,1.1263737260
9,4,9.2773437500,3030290,1,1.1216296496
9,5,9.2773437500,3038350,1,1.1246129730
9,6,9.2773437500,3041679,1,1.1258451670
9,7,9.2773437500,3046322,1,1.1275637241
9,8,9.2773437500,3031708,1,1.1221545073
9,9,9.2773437500,3045825,1,1.1273797649
9,10,9.2773437500,3039438,1,1.1250156847
9,11,9.2773437500,3035000,1,1.1233730061
9,12,9.2773437500,3020686,1,1.1180748311
9,13,9.2773437500,3042280,1,1.1260676208
9,14,9.2773437500,3033133,1,1.1226819559
9,15,9.2773437500,3037925,1,1.1244556638
9,16,9.2773437500,3047010,1,1.1278183800
9,17,9.2773437500,3021195,1,1.1182632320
9,18,9.2773437500,3035082,1,1.1234033575
9,19,9.2773437500,3044552,1,1.1269085774
9,20,9.2773437500,3034444,1,1.1231672086
9,21,9.2773437500,3043548,1,1.1265369575
9,22,9.2773437500,3020501,1,1.1180063553
9,23,9.2773437500,3039190,1,1.1249238901
9,24,9.2773437500,3042468,1,1.1261372070
9,25,9.2773437500,3026137,1,1.1200924608
9,26,9.2773437500,3044805,1,1.1270022227
9,27,9.2773437500,3033390,1,1.1227770817
9,28,9.2773437500,3041115,1,1.1256364084
9,29,9.2773437500,3028020,1,1.1207894333
10,0,10.2050781250,3126520,1,1.1572481618
10,1,10.2050781250,3126192,1,1.1571267561
10,2,10.2050781250,3127247,1,1.1575172531
10,3,10.2050781250,3127786,1,1.1577167582
10,4,10.2050781250,3125337,1,1.1568102869
10,5,10.2050781250,3125037,1,1.1566992451
10,6,10.2050781250,3126256,1,1.1571504450
10,7,10.2050781250,3123888,1,1.1562739550
10,8,10.2050781250,3113617,1,1.1524722534
10,9,10.2050781250,3118701,1,1.1543540420
10,10,10.2050781250,3116264,1,1.1534520124
10,11,10.2050781250,3118834,1,1.1544032706
10,12,10.2050781250,3113201,1,1.1523182754
10,13,10.2050781250,3117079,1,1.1537536759
10,14,10.2050781250,3124308,1,1.1564294135
10,15,10.2050781250,3124811,1,1.1566155936
10,16,10.2050781250,3125046,1,1.1567025764
10,17,10.2050781250,3127880,1,1.1577515513
10,18,10.2050781250,3125851,1,1.1570005386
10,19,10.2050781250,3127340,1,1.1575516761
10,20,10.2050781250,3126278,1,1.1571585881
10,21,10.2050781250,3125731,1,1.1569561218
10,22,10.2050781250,3125905,1,1.1570205261
10,23,10.2050781250,3128064,1,1.1578196570
10,24,10.2050781250,3127320,1,1.1575442733
10,25,10.2050781250,3125925,1,1.1570279289
10,26,10.2050781250,3127278,1,1.1575287274
10,27,10.2050781250,3126783,1,1.1573455085
10,28,10.2050781250,3125211,1,1.1567636494
10,29,10.2050781250,3126737,1,1.1573284820
11,0,10.6689453125,3117650,1,1.1539650255
11,1,10.6689453125,3112257,1,1.1519688639
11,2,10.6689453125,3113395,1,1.1523900825
