# Baseline 272366, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,722934,0,2.6542740283
0,1,950.0000000000,722588,0,2.6530036789
0,2,950.0000000000,722616,0,2.6531064817
0,3,950.0000000000,722434,0,2.6524382632
0,4,950.0000000000,722433,0,2.6524345917
0,5,950.0000000000,722785,0,2.6537269703
0,6,950.0000000000,722903,0,2.6541602109
0,7,950.0000000000,722772,0,2.6536792404
0,8,950.0000000000,722667,0,2.6532937298
0,9,950.0000000000,722547,0,2.6528531461
0,10,950.0000000000,722322,0,2.6520270518
0,11,950.0000000000,722929,0,2.6542556707
0,12,950.0000000000,722939,0,2.6542923860
0,13,950.0000000000,722601,0,2.6530514088
0,14,950.0000000000,723074,0,2.6547880426
0,15,950.0000000000,722207,0,2.6516048259
0,16,950.0000000000,722708,0,2.6534442625
0,17,950.0000000000,722572,0,2.6529449344
0,18,950.0000000000,722621,0,2.6531248394
0,19,950.0000000000,722088,0,2.6511679138
0,20,950.0000000000,722656,0,2.6532533429
0,21,950.0000000000,722650,0,2.6532313137
0,22,950.0000000000,722590,0,2.6530110219
0,23,950.0000000000,722290,0,2.6519095629
0,24,950.0000000000,722541,0,2.6528311170
0,25,950.0000000000,722270,0,2.6518361323
0,26,950.0000000000,722153,0,2.6514065632
0,27,950.0000000000,722292,0,2.6519169059
0,28,950.0000000000,722221,0,2.6516562273
0,29,950.0000000000,722524,0,2.6527687009
1,0,475.0000000000,627588,0,2.3042083079
2,0,237.5000000000,509530,0,1.8707547932
3,0,118.7500000000,455479,0,1.6723049132
4,0,59.3750000000,422973,0,1.5529581519
5,0,29.6875000000,408650,0,1.5003708246
6,0,14.8437500000,357021,0,1.3108133908
7,0,7.4218750000,302353,1,1.1100981767
7,1,7.4218750000,302310,1,1.1099403009
7,2,7.4218750000,302213,1,1.1095841625
7,3,7.4218750000,302311,1,1.1099439724
7,4,7.4218750000,302265,1,1.1097750821
7,5,7.4218750000,302522,1,1.1107186653
7,6,7.4218750000,301954,1,1.1086332362
7,7,7.4218750000,302449,1,1.1104506436
7,8,7.4218750000,302549,1,1.1108177966
7,9,7.4218750000,302590,1,1.1109683294
7,10,7.4218750000,302213,1,1.1095841625
7,11,7.4218750000,302190,1,1.1094997173
7,12,7.4218750000,301982,1,1.1087360390
7,13,7.4218750000,302385,1,1.1102156657
7,14,7.4218750000,302206,1,1.1095584618
7,15,7.4218750000,302274,1,1.1098081258
7,16,7.4218750000,302706,1,1.1113942269
7,17,7.4218750000,302467,1,1.1105167312
7,18,7.4218750000,302165,1,1.1094079290
7,19,7.4218750000,302281,1,1.1098338265
7,20,7.4218750000,302281,1,1.1098338265
7,21,7.4218750000,302364,1,1.1101385636
7,22,7.4218750000,302579,1,1.1109279425
7,23,7.4218750000,302375,1,1.1101789504
7,24,7.4218750000,302112,1,1.1092133379
7,25,7.4218750000,302041,1,1.1089526593
7,26,7.4218750000,302013,1,1.1088498564
7,27,7.4218750000,302524,1,1.1107260084
7,28,7.4218750000,302600,1,1.1110050447
7,29,7.4218750000,302107,1,1.1091949803
8,0,11.1328125000,328033,0,1.2043830728
9,0,9.2773437500,320423,1,1.1764427278
9,1,9.2773437500,319348,1,1.1724958328
9,2,9.2773437500,317949,1,1.1673593620
9,3,9.2773437500,318229,1,1.1683873905
9,4,9.2773437500,320608,1,1.1771219609
9,5,9.2773437500,319798,1,1.1741480214
9,6,9.2773437500,318919,1,1.1709207463
9,7,9.2773437500,317380,1,1.1652702613
9,8,9.2773437500,319332,1,1.1724370883
9,9,9.2773437500,317941,1,1.1673299898
9,10,9.2773437500,317719,1,1.1665149101
9,11,9.2773437500,318458,1,1.1692281709
9,12,9.2773437500,317567,1,1.1659568375
9,13,9.2773437500,317527,1,1.1658099763
9,14,9.2773437500,320029,1,1.1749961449
9,15,9.2773437500,321350,1,1.1798462363
9,16,9.2773437500,320979,1,1.1784840986
9,17,9.2773437500,322511,1,1.1841088829
9,18,9.2773437500,320341,1,1.1761416623
9,19,9.2773437500,320394,1,1.1763362534
9,20,9.2773437500,319111,1,1.1716256802
9,21,9.2773437500,320926,1,1.1782895075
9,22,9.2773437500,319606,1,1.1734430876
9,23,9.2773437500,318333,1,1.1687692296
9,24,9.2773437500,318292,1,1.1686186969
9,25,9.2773437500,319022,1,1.1712989140
9,26,9.2773437500,321372,1,1.1799270100
9,27,9.2773437500,318997,1,1.1712071257
9,28,9.2773437500,318260,1,1.1685012079
9,29,9.2773437500,319719,1,1.1738579705
10,0,10.2050781250,323512,1,1.1877840847
10,1,10.2050781250,322698,1,1.1847954591
10,2,10.2050781250,328533,0,1.2062188379
11,0,9.7412109375,329840,0,1.2110175279
12,0,9.5092773438,327551,0,1.2026133952
13,0,9.3933105469,331249,0,1.2161907140
14,0,9.3353271484,329213,0,1.2087154784
