# Baseline 272275.86666666664, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,763604,1,1.1993917803
1,452.5000000000,9.5000000000,7.5000000000,613239,0,2.8045232556
2,228.7500000000,7.2500000000,6.2500000000,388978,0,2.2522708586
3,116.8750000000,6.1250000000,5.6250000000,340569,0,1.4286172504
4,60.9375000000,5.5625000000,5.3125000000,314891,0,1.2508233071
5,88.9062500000,5.8437500000,5.4687500000,332582,1,1.1565145448
6,46.9531250000,5.4218750000,5.2343750000,311937,0,1.2214890878
7,67.9296875000,5.6328125000,5.3515625000,319962,1,1.1456652542
8,57.4414062500,5.5273437500,5.2929687500,313954,1,1.1751390379
9,62.6855468750,5.5800781250,5.3222656250,315837,1,1.1530731822
