# Baseline 1713402, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,3060632,0,1.7862894989
0,1,950.0000000000,3061456,0,1.7867704135
0,2,950.0000000000,3061361,0,1.7867149682
0,3,950.0000000000,3061982,0,1.7870774051
0,4,950.0000000000,3061605,0,1.7868573750
0,5,950.0000000000,3061461,0,1.7867733317
0,6,950.0000000000,3061882,0,1.7870190416
0,7,950.0000000000,3061260,0,1.7866560212
0,8,950.0000000000,3061683,0,1.7869028984
0,9,950.0000000000,3061779,0,1.7869589273
0,10,950.0000000000,3061209,0,1.7866262558
0,11,950.0000000000,3062073,0,1.7871305158
0,12,950.0000000000,3062023,0,1.7871013341
0,13,950.0000000000,3061679,0,1.7869005639
0,14,950.0000000000,3061875,0,1.7870149562
0,15,950.0000000000,3061422,0,1.7867505699
0,16,950.0000000000,3061749,0,1.7869414183
0,17,950.0000000000,3062034,0,1.7871077540
0,18,950.0000000000,3061596,0,1.7868521223
0,19,950.0000000000,3061602,0,1.7868556241
0,20,950.0000000000,3060645,0,1.7862970861
0,21,950.0000000000,3061891,0,1.7870242944
0,22,950.0000000000,3061618,0,1.7868649622
0,23,950.0000000000,3061711,0,1.7869192402
0,24,950.0000000000,3062255,0,1.7872367372
0,25,950.0000000000,3062193,0,1.7872005519
0,26,950.0000000000,3061715,0,1.7869215747
0,27,950.0000000000,3061517,0,1.7868060152
0,28,950.0000000000,3061257,0,1.7866542703
0,29,950.0000000000,3061046,0,1.7865311235
1,0,475.0000000000,2681867,0,1.5652292924
2,0,237.5000000000,2380482,0,1.3893307000
3,0,118.7500000000,2250900,0,1.3137022135
4,0,59.3750000000,2175898,0,1.2699284815
5,0,29.6875000000,2130144,0,1.2432248824
6,0,14.8437500000,2036405,1,1.1885155965
6,1,14.8437500000,2034543,1,1.1874288696
6,2,14.8437500000,2024272,1,1.1814343627
6,3,14.8437500000,2026914,1,1.1829763243
6,4,14.8437500000,2028243,1,1.1837519741
6,5,14.8437500000,2028628,1,1.1839766733
6,6,14.8437500000,2026247,1,1.1825870403
6,7,14.8437500000,2022062,1,1.1801445312
6,8,14.8437500000,2028738,1,1.1840408731
6,9,14.8437500000,2027610,1,1.1833825337
6,10,14.8437500000,2030571,1,1.1851106746
6,11,14.8437500000,2019864,1,1.1788617032
6,12,14.8437500000,2025850,1,1.1823553375
6,13,14.8437500000,2034751,1,1.1875502655
6,14,14.8437500000,2032093,1,1.1859989658
6,15,14.8437500000,2026721,1,1.1828636829
6,16,14.8437500000,2031595,1,1.1857083160
6,17,14.8437500000,2025635,1,1.1822298562
6,18,14.8437500000,2024531,1,1.1815855240
6,19,14.8437500000,2033472,1,1.1868037974
6,20,14.8437500000,2026405,1,1.1826792545
6,21,14.8437500000,2030527,1,1.1850849946
6,22,14.8437500000,2030492,1,1.1850645675
6,23,14.8437500000,2036627,1,1.1886451632
6,24,14.8437500000,2027839,1,1.1835161859
6,25,14.8437500000,2030572,1,1.1851112582
6,26,14.8437500000,2026761,1,1.1828870283
6,27,14.8437500000,2025204,1,1.1819783098
6,28,14.8437500000,2034867,1,1.1876179671
6,29,14.8437500000,2031005,1,1.1853639718
7,0,22.2656250000,2119038,0,1.2367430410
8,0,18.5546875000,2114602,0,1.2341540397
9,0,16.6992187500,2100322,0,1.2258197434
10,0,15.7714843750,2057766,0,1.2009826065
11,0,15.3076171875,2033311,1,1.1867098323
11,1,15.3076171875,2031547,1,1.1856803015
11,2,15.3076171875,2030210,1,1.1848999826
11,3,15.3076171875,2031827,1,1.1858437191
11,4,15.3076171875,2031335,1,1.1855565711
11,5,15.3076171875,2030090,1,1.1848299465
11,6,15.3076171875,2030096,1,1.1848334483
11,7,15.3076171875,2030438,1,1.1850330512
11,8,15.3076171875,2032853,1,1.1864425278
11,9,15.3076171875,2030725,1,1.1852005542
11,10,15.3076171875,2029341,1,1.1843928045
11,11,15.3076171875,2030867,1,1.1852834303
11,12,15.3076171875,2031847,1,1.1858553918
11,13,15.3076171875,2030740,1,1.1852093087
11,14,15.3076171875,2030588,1,1.1851205963
11,15,15.3076171875,2029131,1,1.1842702413
11,16,15.3076171875,2029165,1,1.1842900849
11,17,15.3076171875,2031474,1,1.1856376962
11,18,15.3076171875,2031518,1,1.1856633761
11,19,15.3076171875,2033426,1,1.1867769502
11,20,15.3076171875,2028085,1,1.1836597599
11,21,15.3076171875,2027147,1,1.1831123111
11,22,15.3076171875,2028766,1,1.1840572148
11,23,15.3076171875,2029437,1,1.1844488334
11,24,15.3076171875,2028999,1,1.1841932016
11,25,15.3076171875,2033658,1,1.1869123533
11,26,15.3076171875,2029716,1,1.1846116673
11,27,15.3076171875,2029734,1,1.1846221727
11,28,15.3076171875,2032472,1,1.1862201632
11,29,15.3076171875,2034275,1,1.1872724556
12,0,15.5395507812,2076270,0,1.2117821737
13,0,15.4235839844,2072532,0,1.2096005491
14,0,15.3656005859,2040483,1,1.1908956567
14,1,15.3656005859,2041522,1,1.1915020526
14,2,15.3656005859,2041502,1,1.1914903800
14,3,15.3656005859,2039967,1,1.1905945015
14,4,15.3656005859,2041398,1,1.1914296820
14,5,15.3656005859,2041157,1,1.1912890262
14,6,15.3656005859,2041009,1,1.1912026483
14,7,15.3656005859,2040302,1,1.1907900189
14,8,15.3656005859,2042190,1,1.1918919203
14,9,15.3656005859,2039881,1,1.1905443089
14,10,15.3656005859,2041873,1,1.1917069082
14,11,15.3656005859,2041152,1,1.1912861080
14,12,15.3656005859,2041792,1,1.1916596339
14,13,15.3656005859,2041211,1,1.1913205424
14,14,15.3656005859,2041329,1,1.1913894112
14,15,15.3656005859,2041029,1,1.1912143210
14,16,15.3656005859,2040709,1,1.1910275580
14,17,15.3656005859,2039754,1,1.1904701874
14,18,15.3656005859,2041360,1,1.1914075039
14,19,15.3656005859,2040790,1,1.1910748324
14,20,15.3656005859,2040237,1,1.1907520827
14,21,15.3656005859,2039819,1,1.1905081236
14,22,15.3656005859,2040550,1,1.1909347602
14,23,15.3656005859,2040603,1,1.1909656928
14,24,15.3656005859,2041735,1,1.1916263667
14,25,15.3656005859,2040948,1,1.1911670466
14,26,15.3656005859,2040964,1,1.1911763848
14,27,15.3656005859,2040319,1,1.1907999407
14,28,15.3656005859,2042051,1,1.1918107951
14,29,15.3656005859,2040807,1,1.1910847542
