# Baseline 204314, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,755635,0,3.6984005012
0,1,950.0000000000,755869,0,3.6995457972
0,2,950.0000000000,755564,0,3.6980529969
0,3,950.0000000000,756563,0,3.7029425296
0,4,950.0000000000,756181,0,3.7010728584
0,5,950.0000000000,755707,0,3.6987528999
0,6,950.0000000000,756370,0,3.7019979052
0,7,950.0000000000,756282,0,3.7015671956
0,8,950.0000000000,756323,0,3.7017678671
0,9,950.0000000000,756248,0,3.7014007851
0,10,950.0000000000,756529,0,3.7027761191
0,11,950.0000000000,756745,0,3.7038333154
0,12,950.0000000000,756397,0,3.7021300547
0,13,950.0000000000,755613,0,3.6982928238
0,14,950.0000000000,756362,0,3.7019587498
0,15,950.0000000000,755934,0,3.6998639349
0,16,950.0000000000,755908,0,3.6997366798
0,17,950.0000000000,756432,0,3.7023013597
0,18,950.0000000000,755985,0,3.7001135507
0,19,950.0000000000,756119,0,3.7007694040
0,20,950.0000000000,756295,0,3.7016308231
0,21,950.0000000000,756043,0,3.7003974275
0,22,950.0000000000,755980,0,3.7000890786
0,23,950.0000000000,755956,0,3.6999716123
0,24,950.0000000000,755759,0,3.6990074102
0,25,950.0000000000,755987,0,3.7001233396
0,26,950.0000000000,755615,0,3.6983026126
0,27,950.0000000000,756205,0,3.7011903247
0,28,950.0000000000,756063,0,3.7004953160
0,29,950.0000000000,755436,0,3.6974265102
1,0,475.0000000000,646806,0,3.1657448829
2,0,237.5000000000,543690,0,2.6610511272
3,0,118.7500000000,493308,0,2.4144600957
4,0,59.3750000000,464142,0,2.2717092319
5,0,29.6875000000,450950,0,2.2071419482
6,0,14.8437500000,386862,0,1.8934678975
7,0,7.4218750000,261431,0,1.2795549987
8,0,3.7109375000,231456,1,1.1328445432
8,1,3.7109375000,231834,1,1.1346946367
8,2,3.7109375000,231448,1,1.1328053878
8,3,3.7109375000,231669,1,1.1338870562
8,4,3.7109375000,231538,1,1.1332458862
8,5,3.7109375000,231475,1,1.1329375373
8,6,3.7109375000,231580,1,1.1334514522
8,7,3.7109375000,231327,1,1.1322131621
8,8,3.7109375000,231838,1,1.1347142144
8,9,3.7109375000,231572,1,1.1334122968
8,10,3.7109375000,231453,1,1.1328298599
8,11,3.7109375000,234240,1,1.1464706285
8,12,3.7109375000,234190,1,1.1462259072
8,13,3.7109375000,234076,1,1.1456679425
8,14,3.7109375000,234408,1,1.1472928923
8,15,3.7109375000,234523,1,1.1478557514
8,16,3.7109375000,234525,1,1.1478655403
8,17,3.7109375000,234140,1,1.1459811858
8,18,3.7109375000,234132,1,1.1459420304
8,19,3.7109375000,234278,1,1.1466566168
8,20,3.7109375000,234207,1,1.1463091124
8,21,3.7109375000,234193,1,1.1462405905
8,22,3.7109375000,234205,1,1.1462993236
8,23,3.7109375000,234137,1,1.1459665025
8,24,3.7109375000,234155,1,1.1460546022
8,25,3.7109375000,234123,1,1.1458979806
8,26,3.7109375000,234149,1,1.1460252357
8,27,3.7109375000,234561,1,1.1480417397
8,28,3.7109375000,234140,1,1.1459811858
8,29,3.7109375000,234082,1,1.1456973090
9,0,5.5664062500,248200,0,1.2147968323
10,0,4.6386718750,237776,1,1.1637773231
10,1,4.6386718750,237797,1,1.1638801061
10,2,4.6386718750,238020,1,1.1649715634
10,3,4.6386718750,237898,1,1.1643744433
10,4,4.6386718750,237636,1,1.1630921033
10,5,4.6386718750,237762,1,1.1637088012
10,6,4.6386718750,237853,1,1.1641541940
10,7,4.6386718750,237750,1,1.1636500680
10,8,4.6386718750,237751,1,1.1636549625
10,9,4.6386718750,237714,1,1.1634738687
10,10,4.6386718750,238059,1,1.1651624460
10,11,4.6386718750,237928,1,1.1645212761
10,12,4.6386718750,237833,1,1.1640563055
10,13,4.6386718750,237620,1,1.1630137925
10,14,4.6386718750,237923,1,1.1644968039
10,15,4.6386718750,237680,1,1.1633074581
10,16,4.6386718750,237979,1,1.1647708919
10,17,4.6386718750,237766,1,1.1637283789
10,18,4.6386718750,237728,1,1.1635423906
10,19,4.6386718750,237581,1,1.1628229098
10,20,4.6386718750,237702,1,1.1634151355
10,21,4.6386718750,237754,1,1.1636696457
10,22,4.6386718750,238028,1,1.1650107188
