# Baseline 204252.23333333334, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,812352,1,1.1599889622
1,452.5000000000,9.5000000000,7.5000000000,576507,0,3.9772000861
2,228.7500000000,7.2500000000,6.2500000000,361443,0,2.8225248292
3,116.8750000000,6.1250000000,5.6250000000,294788,0,1.7695914218
4,60.9375000000,5.5625000000,5.3125000000,266394,0,1.4432547208
5,32.9687500000,5.2812500000,5.1562500000,257605,0,1.3042403290
6,18.9843750000,5.1406250000,5.0781250000,252427,0,1.2612101997
7,11.9921875000,5.0703125000,5.0390625000,245741,0,1.2358591917
8,8.4960937500,5.0351562500,5.0195312500,244649,0,1.2031251555
9,10.2441406250,5.0527343750,5.0292968750,245494,1,1.1977788248
